POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
507011259,5,0,0,0,0,3,71,0,0,0,0,80,0,0,0,0,0,4,11,3,0,0,0,16,34,9,3,0,0,48,5,0,0,0,0,9,0,0,0,0,0,5,14,0,0,0,0,18,171,14,20,7,0,210,7,0,4,0,0,8,8,0,3,0,0,12,88,12,14,0,4,122,4,0,3,0,0,9,1823,157,238,45,12,2271
507011260,30,0,3,0,0,31,291,5,0,0,0,300,12,3,3,0,0,21,102,5,0,0,0,110,237,11,4,0,0,257,58,0,0,0,0,65,9,0,0,0,0,9,26,0,0,0,0,26,958,26,31,0,0,1021,46,0,0,0,0,52,34,0,3,0,0,45,601,18,9,0,3,624,28,4,0,0,0,34,8471,336,217,33,30,9089
507021164,0,0,0,0,0,0,31,0,3,0,0,34,4,0,0,0,0,3,9,0,0,0,0,9,24,3,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,148,40,34,4,0,226,4,0,0,0,0,7,7,0,0,0,0,10,107,17,10,0,0,138,3,0,0,0,0,3,1578,270,261,41,9,2159
507021165,39,4,4,0,0,43,228,0,6,4,0,240,26,0,8,0,0,33,152,5,0,0,0,164,271,12,20,0,0,306,83,5,3,0,0,88,32,0,0,0,0,33,89,0,9,0,0,98,1635,112,141,17,4,1914,131,11,22,4,0,160,60,10,12,0,0,86,1166,64,76,9,3,1323,54,3,0,0,5,68,16305,1076,1191,154,74,18789
507021166,3,0,0,0,0,3,123,4,0,0,0,131,9,0,0,0,0,5,13,3,3,0,0,26,51,3,0,0,0,61,12,0,0,0,0,14,5,0,0,0,0,5,18,4,4,0,0,24,285,42,76,0,0,410,16,3,7,0,0,31,9,0,3,0,0,13,212,19,34,5,7,276,9,0,5,0,0,13,3556,410,531,68,19,4589
507021167,7,0,0,0,0,7,98,0,3,0,0,98,3,0,0,0,0,4,22,0,0,0,0,26,68,16,3,0,0,86,19,0,0,0,0,20,11,0,0,0,0,13,20,0,3,0,0,19,325,31,22,5,0,385,16,0,0,0,0,17,18,3,8,4,0,42,267,33,7,0,0,312,12,0,0,0,0,12,3789,479,235,54,24,4586
507031169,4,0,0,0,0,4,41,3,8,0,0,56,0,0,0,0,0,0,3,0,0,0,0,7,46,3,4,0,0,48,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,111,6,15,4,0,137,5,0,0,0,0,5,3,0,3,0,0,6,56,10,15,3,0,85,4,0,0,0,0,6,1187,83,214,31,9,1520
507031170,3,0,0,0,0,3,65,6,0,0,0,78,5,0,0,0,0,5,0,0,0,0,0,6,25,0,6,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,131,6,22,5,0,168,6,0,0,0,0,7,9,0,0,0,0,9,63,0,4,4,0,76,3,0,0,0,0,3,1126,46,117,21,11,1319
507031172,3,0,0,0,0,3,26,0,3,0,0,25,5,0,0,0,0,5,3,0,0,0,0,9,17,0,0,0,0,18,6,0,0,0,0,6,0,0,0,0,0,6,8,0,0,0,0,8,133,5,6,0,0,140,9,0,0,0,0,9,9,0,0,0,0,14,46,3,0,0,0,50,3,0,0,0,0,3,1328,52,36,10,7,1432
507031173,29,0,0,0,0,28,265,4,0,0,0,274,20,0,0,0,0,20,28,0,3,0,0,28,231,0,0,3,0,240,32,0,0,0,0,36,3,0,0,0,0,3,5,0,0,0,0,8,1139,25,18,0,3,1181,29,0,0,0,0,29,12,0,3,0,0,16,435,0,3,5,3,447,25,0,0,0,0,28,8609,176,113,23,30,8958
