POW_SA2_CODE_2021,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000_3499_A_15_19,SW_3000_3499_A_20_24,SW_3000_3499_A_25_34,SW_3000_3499_A_35_44,SW_3000_3499_A_45_54,SW_3000_3499_A_55_64,SW_3000_3499_A_65_74,SW_3000_3499_A_75ov,SW_3000_3499_Tot,SW_3500mo_A_15_19,SW_3500mo_A_20_24,SW_3500mo_A_25_34,SW_3500mo_A_35_44,SW_3500mo_A_45_54,SW_3500mo_A_55_64,SW_3500mo_A_65_74,SW_3500mo_A_75ov,SW_3500mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ov,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19
501011001,8,0,0,0,3,3,7,0,0,15,0,0,0,0,10,4,0,0,18,0,0,4,7,10,5,0,0,37,0,5,8,4,5,3,4,0,24,0,4,0,0,4,4,0,0,11,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,20,25,31,30,11,5,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,0,4,4,4,0,15,0,0,0,0,4,0,3,0,8,0,0,0,0,6,4,0,0,18,0
501011003,22,7,5,5,5,5,14,4,0,37,4,9,6,11,20,11,7,0,65,3,9,11,10,14,21,13,0,81,0,10,10,11,11,14,6,0,63,0,5,9,13,17,12,6,0,54,0,0,0,0,4,7,0,0,18,0,0,5,5,10,5,3,0,25,0,0,0,4,0,4,0,0,15,0,0,0,4,5,0,0,0,11,0,0,0,0,0,6,0,0,10,0,0,0,3,9,6,0,0,17,0,0,0,0,0,0,0,0,0,88,31,44,83,93,102,52,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,5,0,0,0,0,0,0,7,0,0,4,3,5,6,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,5,6,8,0,13,0,0,4,0,4,10,5,0,30,0,0,0,13,7,9,4,0,32,0
501011004,24,6,0,4,7,7,6,0,0,47,4,8,7,9,11,9,7,0,53,3,5,13,13,19,13,5,0,68,0,4,13,18,18,9,3,0,61,0,0,3,14,12,10,0,0,45,0,0,5,0,6,8,0,0,21,0,0,0,4,6,3,7,0,18,0,0,0,0,4,0,0,0,6,0,0,0,0,3,9,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,3,103,30,55,67,103,78,26,3,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,3,0,0,0,4,0,0,10,0,4,0,3,3,4,0,0,15,0,0,0,9,6,4,5,0,20,0,0,0,3,16,10,3,0,32,0
501011293,59,14,5,7,10,15,17,5,0,63,19,16,18,21,29,12,6,0,119,11,19,21,17,29,25,13,0,136,7,11,12,16,18,27,5,0,87,3,13,14,23,16,24,3,0,98,0,0,8,15,8,9,3,0,35,0,0,5,7,18,0,0,0,26,0,0,3,0,6,0,0,0,14,0,0,0,8,10,5,3,0,25,0,0,3,4,3,4,0,0,13,0,0,0,0,6,3,0,0,9,3,0,0,0,3,0,0,0,12,248,76,94,130,178,144,43,3,919,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,9,0,10,0,0,0,0,0,3,10,0,14,8,0,4,0,3,9,8,6,32,6,8,10,4,9,15,0,0,38,0,0,9,6,19,18,8,0,63,0,3,5,8,28,17,7,3,75,0
501011294,22,7,3,3,6,3,5,5,0,33,16,8,7,3,7,7,0,5,50,7,5,9,3,11,11,3,0,53,3,4,8,10,11,8,3,0,49,0,0,7,4,3,4,0,0,21,0,6,8,3,4,3,0,0,20,0,0,0,3,3,6,0,0,18,0,0,3,3,0,0,0,0,11,0,0,0,0,7,0,0,0,10,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,140,29,53,45,57,49,20,7,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,3,0,19,0,0,0,3,4,0,3,0,10,0,0,0,6,0,5,6,0,21,0,0,6,0,5,6,0,0,16,0
501021005,34,12,3,5,4,10,9,0,0,35,3,9,8,8,10,5,0,0,38,4,11,9,16,14,13,0,0,56,0,5,13,10,13,15,0,0,56,0,4,3,5,9,0,0,0,19,0,0,3,0,4,0,0,0,11,0,0,0,0,3,0,0,0,13,0,0,0,0,6,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,32,50,52,69,51,8,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,5,3,5,6,0,5,0,4,0,25,0,0,5,10,4,12,5,0,37,0
501021007,3,0,3,0,5,0,4,0,0,9,0,5,0,0,0,3,0,0,14,0,0,0,0,0,4,0,0,9,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,12,9,5,12,7,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,3,0,0,4,0,0,9,0,0,0,0,0,4,0,0,15,0,0,0,3,0,0,5,0,11,0
501021008,18,0,6,4,4,6,4,0,0,15,3,3,4,9,0,3,0,0,22,6,4,6,0,6,0,6,0,22,0,4,3,0,0,0,0,0,17,0,3,3,0,0,7,0,0,13,0,0,0,0,3,0,0,0,11,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,19,25,30,19,14,6,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,5,0,0,0,0,7,3,0,0,11,0,0,5,0,7,8,0,0,24,0
501021009,21,3,3,8,4,3,3,0,0,30,3,3,7,9,5,10,0,0,36,0,5,5,4,7,6,0,0,29,0,4,7,8,6,0,0,0,24,0,5,0,0,5,5,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,57,27,34,46,43,38,5,0,249,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,4,0,5,0,5,3,0,10,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,5,4,14,0,0,0,9,0,3,5,0,14,0,0,3,8,4,12,0,0,33,4,14,16,11,5,15,5,0,70,0
501021010,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,6,0,0,0,0,0,5,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,5,8,11,3,12,0,0,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,0,0,10,0,6,0,5,0,0,0,0,12,0,8,0,6,3,0,0,0,25,0,8,21,6,11,13,5,0,58,0
