POW_SA2_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
501011001,0,0,0,0,0,15,13,0,0,23,34,78,11,0,120,55,35,5,0,95,89,60,12,6,153,95,72,5,4,178,123,94,14,0,235,136,105,13,5,269,118,71,6,0,201,145,89,3,3,239,112,84,20,4,220,99,121,23,0,242,56,71,12,0,135,30,41,6,5,77,21,22,3,3,58,1114,941,128,37,2224
501011003,0,0,0,0,0,14,18,4,9,40,80,268,31,15,400,167,127,14,5,313,210,106,16,10,340,304,175,26,7,517,278,235,31,10,562,341,229,26,19,607,340,221,20,13,601,305,184,13,4,513,260,202,24,8,490,163,191,32,6,393,64,146,6,3,218,28,64,8,0,102,16,33,3,0,56,2566,2183,258,100,5109
501011004,0,0,0,0,0,17,16,0,0,33,44,227,24,5,301,116,108,11,4,234,170,116,7,4,307,200,173,21,6,394,240,228,24,5,502,259,243,23,5,534,299,223,17,3,540,214,174,29,3,425,194,158,23,5,378,129,192,32,3,358,56,98,13,0,170,27,57,9,0,96,0,20,0,0,19,1943,2019,238,62,4258
501011293,0,0,0,0,0,18,17,3,0,43,118,427,36,5,581,214,152,21,11,400,239,130,15,5,397,253,149,30,8,442,274,230,24,7,535,331,219,22,4,577,418,231,16,9,669,411,232,18,6,665,313,215,26,8,558,199,223,28,7,459,94,150,16,4,257,14,70,3,0,94,7,19,4,0,41,2888,2450,260,69,5664
501011294,0,0,0,0,0,17,17,4,4,36,70,307,16,6,404,152,113,8,5,271,194,133,20,3,351,234,185,22,9,454,252,256,26,10,548,298,267,24,10,599,289,278,23,6,603,298,264,36,7,603,267,263,41,3,574,180,228,39,4,448,52,118,16,0,185,21,46,3,0,69,8,25,0,6,41,2315,2477,276,76,5145
501021005,0,0,0,0,0,7,9,0,0,25,47,249,11,3,313,113,95,6,4,217,152,94,17,5,269,153,120,14,6,292,189,160,9,3,367,190,155,9,5,358,204,140,10,3,356,200,139,19,3,367,181,106,19,5,303,107,110,22,3,239,32,53,3,5,91,3,26,3,0,34,3,8,3,0,20,1573,1455,143,46,3224
501021007,0,0,0,0,0,6,3,0,3,18,31,59,10,3,103,45,27,3,5,83,67,20,5,0,97,52,40,12,5,103,73,38,9,0,118,99,40,0,5,145,110,54,3,4,167,93,62,10,3,167,89,43,10,4,141,64,43,11,0,120,27,27,6,0,59,17,25,0,0,45,6,9,0,0,15,778,497,69,30,1371
501021008,0,0,0,0,0,3,17,0,0,27,29,155,15,5,202,85,91,6,6,190,168,96,29,3,299,167,142,55,6,360,186,177,45,7,409,207,173,12,6,402,224,172,21,8,416,241,158,27,6,433,235,166,28,5,428,169,138,30,3,344,49,81,19,4,154,3,24,3,0,26,3,5,0,0,8,1751,1575,293,55,3678
501021009,0,0,0,0,0,16,7,0,3,28,78,130,15,6,228,206,79,12,13,311,249,88,18,8,367,288,116,33,16,465,374,137,35,12,560,416,116,24,15,564,426,112,24,14,580,466,110,38,12,621,366,123,45,5,535,198,101,32,7,343,74,58,8,3,150,8,19,4,0,31,16,8,0,3,29,3171,1204,289,115,4774
501021010,0,0,0,0,0,14,0,0,0,15,38,49,7,0,96,90,13,3,0,113,90,14,6,0,108,110,18,7,3,146,107,51,4,0,167,112,49,5,4,167,126,30,4,4,162,120,35,10,0,166,134,33,15,0,182,105,39,10,0,155,41,41,0,0,75,10,24,4,0,34,11,18,4,3,30,1103,415,63,27,1603
