POW_SA2_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
501011001,7,5,6,18,0,0,5,0,0,0,25,13,39,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,6,0,0,5,0,0,0,4,10,14,0,0,0,3,3,6,6,8,17,13,17,24,0,0,0,29,36,60,10,6,9,35,36,73,0,0,0,4,16,17,22,21,48,28,34,63,0,0,0,13,17,27,0,0,0,3,0,4,20,19,35,0,0,0,19,108,125,0,0,7,11,21,37,34,134,160,0,7,7,6,40,45,3,25,33,0,4,0,3,16,20,12,91,101,0,0,0,6,9,6,7,10,16,5,0,4,0,0,0,15,16,30,0,0,0,18,6,30,7,26,31,0,0,0,24,29,54,37,35,70,19,14,31,1135,1090,2224
501011003,9,4,7,8,3,0,3,4,4,6,48,22,65,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,11,0,0,3,12,16,26,0,0,0,13,12,31,32,32,57,0,0,0,3,7,8,37,78,117,42,82,123,0,0,0,101,129,227,23,3,30,126,131,257,0,0,0,19,45,64,86,92,187,107,143,249,0,0,0,16,11,26,0,0,0,10,7,15,26,21,42,0,7,6,22,177,198,0,0,3,6,26,33,33,208,244,0,7,7,3,6,10,28,89,121,3,14,13,5,55,58,37,179,208,0,9,5,8,19,23,12,18,29,16,14,31,0,0,4,40,53,94,0,0,0,46,8,62,14,85,102,0,0,0,66,99,160,91,92,181,35,33,64,2535,2574,5109
501011004,8,13,20,30,4,0,9,4,0,4,60,30,97,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,12,5,15,0,0,0,14,21,34,0,0,0,9,3,11,20,26,46,0,0,0,5,0,7,23,42,68,30,44,74,0,0,0,91,99,188,7,11,18,96,112,208,0,0,0,42,54,97,39,49,87,79,102,185,0,0,0,67,105,171,0,0,0,12,4,14,78,114,189,0,3,0,80,284,364,5,27,35,17,36,45,105,345,447,0,6,6,14,58,68,52,179,231,7,51,60,10,78,84,80,370,453,10,0,10,3,10,22,11,20,34,16,8,28,0,0,0,41,40,80,0,0,0,57,8,67,22,84,105,0,0,0,84,91,173,62,62,127,22,25,41,1918,2336,4258
501011293,6,38,30,67,16,11,28,5,0,5,191,92,283,0,0,4,0,0,3,3,10,16,4,0,6,0,0,0,3,6,8,0,0,5,4,8,12,19,32,48,0,0,4,21,47,71,0,11,12,29,38,67,56,95,150,0,0,0,13,7,21,45,83,125,56,89,139,0,0,0,86,121,209,4,0,8,97,122,217,0,0,0,14,57,72,45,58,101,59,111,176,0,3,0,147,178,329,3,0,3,44,20,57,194,197,390,6,4,9,60,276,335,5,8,8,5,38,46,81,320,400,0,7,7,9,28,42,44,163,217,4,40,49,58,176,230,115,427,543,0,0,0,19,11,25,5,4,5,21,22,41,0,0,0,38,37,75,0,0,0,141,38,174,16,122,138,0,0,0,153,161,316,85,61,142,25,21,46,2574,3093,5664
501011294,5,7,3,11,0,0,0,0,0,0,40,15,59,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,6,0,0,0,0,0,0,5,4,6,6,9,9,0,0,0,3,7,10,7,13,22,6,20,29,0,0,0,64,116,182,15,8,17,73,126,201,0,0,0,16,18,33,76,92,171,89,117,201,0,0,0,8,23,27,0,0,0,3,3,11,15,27,39,5,8,14,135,552,688,10,22,32,17,16,30,161,598,762,5,18,25,80,347,426,75,313,385,65,358,422,43,208,254,262,1254,1511,0,0,0,0,3,3,0,6,8,18,32,55,0,0,0,20,44,67,0,0,0,38,8,46,24,98,123,0,0,0,61,115,173,56,57,116,22,27,49,1890,3260,5145
501021005,0,0,7,7,0,0,0,0,0,0,24,13,38,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,4,0,7,0,0,3,5,0,0,0,4,8,3,12,17,9,17,27,0,0,0,0,0,0,8,12,26,10,12,26,0,0,0,30,55,81,10,5,12,37,55,94,0,0,0,5,5,12,15,30,42,23,38,58,0,0,0,24,31,52,0,0,0,17,9,18,36,34,71,0,4,4,119,580,695,0,5,9,0,15,17,130,598,726,0,10,10,0,7,7,24,99,122,3,26,26,18,156,183,44,295,341,0,0,4,0,0,0,3,9,10,16,21,36,0,0,0,19,37,54,0,0,0,43,12,56,13,91,101,0,0,0,59,101,161,45,27,70,15,12,29,1330,1895,3224
501021007,3,0,13,10,0,0,0,0,8,5,25,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,5,0,4,6,0,3,0,0,8,8,6,9,16,0,0,0,7,0,8,3,5,12,5,9,19,0,0,0,18,10,25,0,0,0,19,10,31,0,0,0,0,0,3,9,25,41,14,36,43,0,0,0,35,53,90,0,0,0,7,3,7,41,55,99,0,4,4,20,99,121,0,0,3,4,5,8,21,112,128,0,0,0,0,0,0,0,12,17,0,3,3,5,12,18,0,36,35,0,0,0,0,0,3,0,0,0,11,21,36,0,0,0,16,28,45,0,0,0,18,3,13,3,25,27,0,0,0,16,27,47,21,10,39,4,9,12,716,661,1371
501021008,0,0,0,0,39,8,46,0,0,0,36,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,16,29,0,0,0,16,16,29,0,0,0,0,7,7,13,10,23,19,18,32,0,0,0,19,22,43,0,0,0,184,100,284,204,126,326,0,4,4,18,115,133,86,215,301,0,0,4,112,334,447,4,17,17,283,1264,1545,49,254,304,10,113,124,6,79,88,348,1723,2077,0,0,0,0,0,0,0,3,3,5,4,17,0,0,0,5,12,20,0,0,0,3,0,0,10,21,33,0,0,0,9,21,31,23,12,34,20,15,38,1088,2586,3678
501021009,0,8,7,16,0,0,3,0,0,0,51,38,83,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,22,22,0,0,0,0,4,6,3,28,28,0,0,0,9,0,9,3,7,9,8,7,17,0,0,0,32,32,63,6,0,6,37,32,71,0,0,0,9,15,33,27,24,48,36,41,74,0,0,3,65,68,128,0,0,0,23,17,41,84,90,170,0,0,0,34,251,283,5,6,10,6,8,15,48,268,311,0,5,5,9,94,100,19,64,80,11,80,88,3,62,67,31,305,339,0,0,0,4,7,7,0,0,0,5,14,16,0,0,0,6,16,27,0,0,0,74,17,86,8,53,59,0,0,0,73,68,143,74,32,106,46,28,72,3043,1733,4774
501021010,0,5,3,9,0,4,4,0,0,7,178,35,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,3,12,0,0,0,10,3,13,0,0,0,18,19,30,0,0,0,19,19,33,0,0,0,5,3,10,11,5,17,15,14,26,0,0,0,13,5,19,0,0,0,3,0,3,15,3,20,0,0,0,9,75,79,0,0,0,0,8,8,9,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,6,0,0,0,0,0,0,6,0,5,0,5,8,0,0,0,4,5,8,0,0,0,30,4,32,3,8,10,0,0,0,30,15,44,62,11,75,15,5,21,1117,488,1603
