POW_SA2_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
507011259,7,0,0,6,0,8,46,0,0,0,0,50,33,0,0,0,0,32,24,0,4,0,0,34,25,4,3,0,0,31,49,6,11,3,0,64,44,7,11,3,0,65,74,7,4,3,0,93,137,14,22,4,0,177,95,18,12,0,0,125,78,9,13,3,0,109,72,11,15,0,0,94,141,16,13,0,0,170,24,5,3,0,0,36,23,13,5,3,0,48,6,0,0,0,0,8,882,117,127,29,10,1158,7,0,3,0,0,8,56,0,3,3,0,63,70,0,9,0,0,78,49,0,10,0,0,55,76,0,6,0,0,85,94,0,15,3,0,112,116,6,12,0,0,139,141,0,8,0,0,152,93,7,11,0,0,105,67,3,10,4,0,83,49,4,8,5,0,66,41,4,3,0,0,44,60,7,6,0,0,74,5,5,0,0,0,15,5,5,6,0,0,12,10,0,0,0,0,14,942,42
507011260,9,0,0,4,0,16,67,0,0,0,0,69,61,0,0,0,0,67,68,6,3,0,0,79,88,7,0,0,0,97,161,3,11,0,4,174,259,13,15,0,0,290,458,7,6,0,0,475,731,26,22,0,3,779,605,20,16,3,4,641,648,34,12,0,3,701,531,37,19,0,3,585,1200,49,16,0,0,1267,319,13,8,0,0,331,339,31,3,0,0,375,49,4,0,0,0,62,5593,243,138,20,24,6018,11,0,0,0,0,12,104,0,0,0,0,107,96,0,3,0,0,98,82,3,3,0,0,96,108,4,8,3,0,122,226,4,10,0,0,243,318,11,6,0,0,336,392,12,10,0,0,421,447,9,11,0,0,471,341,6,6,0,0,354,276,9,9,0,0,303,148,0,3,0,0,156,205,15,0,0,0,216,40,3,0,0,0,48,44,9,0,0,0,57,32,0,0,0,0,32,2879,90
507021164,0,3,0,3,0,3,38,0,5,0,0,47,27,0,0,5,0,30,26,0,7,0,0,32,21,0,0,0,0,26,42,3,4,0,0,53,44,5,7,0,0,56,46,4,20,0,0,63,65,15,12,0,0,91,63,9,10,4,0,82,60,19,12,0,0,95,47,21,8,0,0,72,77,39,13,0,0,130,21,12,3,0,0,38,27,44,13,0,3,83,3,0,0,0,0,5,603,171,117,20,0,912,5,0,0,0,0,7,42,0,3,5,0,58,49,0,9,0,0,66,52,0,10,4,0,66,78,4,11,7,0,100,82,9,8,0,0,97,128,6,16,3,0,146,119,8,9,0,0,142,112,13,6,3,0,133,93,13,13,4,0,118,75,8,8,0,0,94,49,10,3,0,0,65,54,15,23,0,0,87,8,0,3,0,0,20,16,7,6,0,0,32,8,0,0,0,0,12,980,101
507021165,17,4,5,5,0,36,170,3,10,6,4,188,188,3,21,8,3,222,164,6,26,4,0,200,211,15,25,5,9,266,320,16,48,4,4,394,353,22,58,3,0,440,554,39,54,5,3,656,821,63,80,4,0,971,813,50,61,4,0,932,812,62,46,4,0,926,709,71,26,13,0,822,1602,158,63,7,3,1830,281,56,27,0,0,361,325,165,48,9,0,543,65,3,5,5,13,89,7415,738,596,82,42,8875,37,0,6,18,5,67,299,0,22,4,0,326,283,3,23,0,0,316,349,4,41,7,3,407,384,12,38,3,4,443,673,16,53,7,3,756,839,21,70,4,4,944,972,30,72,8,4,1093,1219,24,64,0,0,1309,1052,22,52,5,0,1128,929,30,42,0,0,997,629,28,23,0,0,685,924,70,49,3,0,1048,111,21,15,0,0,145,126,41,25,4,0,192,66,3,4,0,4,74,8888,336
507021166,6,0,0,6,0,15,82,0,3,5,0,89,64,0,5,0,0,66,63,0,14,0,0,82,66,0,12,0,0,87,93,6,14,4,0,118,113,10,18,0,4,151,151,18,23,4,0,201,166,13,36,3,3,228,126,22,28,0,0,185,136,31,27,0,0,194,88,35,16,4,0,145,160,46,35,4,0,249,39,27,9,0,0,74,49,32,15,0,0,95,9,0,5,0,5,23,1428,250,258,41,12,1993,10,0,0,10,0,18,95,0,9,3,0,103,112,3,19,0,0,131,118,8,21,5,4,146,155,3,23,6,0,181,256,6,26,0,5,298,267,15,39,3,3,322,278,6,29,0,0,316,260,17,25,3,0,307,184,15,20,0,0,225,130,18,20,0,0,173,88,10,7,0,0,112,135,26,11,0,0,174,12,8,9,0,0,34,13,16,12,0,0,43,22,0,0,0,0,25,2135,164
507021167,3,0,0,3,0,11,38,0,0,0,0,41,44,0,3,0,0,47,57,0,3,4,3,69,76,0,9,5,0,84,127,11,14,0,0,156,176,13,9,0,0,207,319,26,20,7,4,374,429,27,19,4,5,482,343,34,28,0,3,401,277,52,20,0,0,351,189,36,12,0,4,244,256,76,17,0,0,346,45,29,13,0,0,82,44,58,6,3,0,114,8,5,0,0,4,21,2435,370,177,23,22,3030,0,0,0,8,0,6,69,0,0,0,0,70,58,3,0,0,0,63,69,0,3,0,0,77,75,0,9,4,0,92,152,7,9,0,0,173,169,7,9,0,0,187,218,6,8,0,0,235,221,12,13,3,0,244,131,12,7,3,0,147,79,12,6,0,0,96,42,6,0,0,0,54,56,15,3,0,0,73,3,8,0,0,0,14,6,8,0,5,0,20,5,0,0,0,0,5,1346,107
507031169,0,0,0,6,0,6,29,0,7,0,0,37,24,4,4,0,0,27,15,5,5,0,0,19,11,0,8,0,0,24,13,0,8,0,0,19,20,3,18,0,0,44,25,5,9,3,0,39,38,10,23,0,0,71,33,7,16,0,0,56,37,10,8,0,0,53,33,6,6,0,0,38,49,7,3,0,0,65,12,0,0,0,0,14,14,5,3,0,0,27,4,0,0,0,0,6,351,56,111,13,3,537,3,0,0,0,0,10,28,0,12,0,0,40,38,0,15,5,0,58,55,0,11,0,0,64,51,4,7,0,0,65,85,0,20,0,0,99,116,0,11,0,0,128,118,3,8,0,0,138,94,0,4,5,0,102,73,3,9,5,0,81,60,0,0,0,0,65,49,0,0,0,0,51,48,0,6,0,0,52,7,0,0,0,0,7,3,3,4,0,0,8,11,0,0,0,0,11,837,17
507031170,0,5,0,0,0,4,18,0,0,0,0,12,15,0,6,0,0,15,12,0,3,3,0,16,20,0,0,0,0,20,23,0,11,0,0,30,15,3,6,0,0,23,36,0,10,0,0,42,55,3,9,0,0,75,33,3,3,0,3,42,38,5,0,0,0,47,25,3,0,0,0,25,62,9,5,0,0,67,9,0,4,0,0,11,3,9,0,0,0,12,14,0,0,0,0,14,358,35,61,7,5,462,3,0,0,3,0,5,30,0,4,3,0,32,34,0,4,0,0,39,34,0,9,4,0,44,45,0,4,0,0,52,95,3,11,0,0,107,100,3,10,0,0,114,120,0,4,0,0,124,110,7,3,0,0,114,66,0,6,0,0,75,49,4,0,0,0,52,35,0,0,0,0,35,43,0,0,0,0,43,4,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,5,767,13
507031172,3,0,0,0,0,4,3,0,0,0,0,5,7,0,0,0,0,13,9,0,0,0,0,9,9,0,0,0,0,9,30,0,3,0,0,35,36,3,0,0,0,44,80,0,0,0,0,86,145,3,9,0,0,160,145,0,3,0,0,152,136,0,5,0,0,139,107,4,3,0,0,120,186,9,4,0,0,201,26,0,0,0,0,31,42,4,0,0,0,49,7,0,0,0,0,6,983,41,29,4,6,1061,0,0,0,0,0,0,18,0,0,0,0,18,18,0,0,0,0,18,23,0,0,0,0,21,19,0,0,0,0,25,33,0,3,0,0,35,33,0,0,0,0,35,43,0,0,0,0,46,50,0,0,0,0,55,31,0,0,0,0,36,24,0,0,0,0,22,18,0,0,0,0,21,20,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,5,346,14
507031173,6,0,3,0,0,12,19,0,0,0,0,17,16,3,5,0,0,19,33,0,0,6,0,37,26,0,0,0,0,32,90,0,8,0,0,96,134,0,3,0,0,141,280,8,6,0,0,298,581,15,11,0,0,612,661,12,16,3,3,696,850,17,10,4,0,876,824,17,5,0,4,847,2124,31,14,0,3,2180,641,15,4,0,0,663,726,25,12,0,3,758,59,0,4,0,6,66,7071,155,92,9,20,7348,10,0,0,4,0,13,16,0,0,3,0,20,16,0,3,0,0,13,32,0,0,0,0,30,44,0,0,0,0,50,60,0,4,0,0,69,100,0,0,0,0,103,130,5,3,0,0,138,213,0,0,0,0,219,225,0,4,0,0,228,179,8,0,3,4,188,142,4,0,0,0,145,261,0,5,0,0,262,44,0,0,0,0,44,52,5,0,0,0,57,12,0,0,0,0,11,1536,25
