POW_SA2_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
501011001,28,4,0,0,29,307,80,0,3,388
501011003,22,10,0,0,32,588,197,9,9,803
501011004,23,4,0,0,29,556,111,4,0,673
501011293,19,6,0,0,25,303,158,13,5,469
501011294,11,4,0,0,16,432,152,4,0,590
501021005,10,0,0,0,14,236,44,3,0,283
501021007,14,0,0,0,12,129,61,0,0,194
501021008,3,0,0,0,4,66,21,0,0,93
501021009,4,5,0,0,9,92,60,0,0,151
501021010,8,0,0,0,8,116,49,0,0,167
501021011,3,0,0,0,7,74,65,6,0,141
501021012,4,0,0,0,8,135,37,3,0,176
501021014,7,3,0,0,13,227,75,0,3,304
501021015,5,7,0,0,10,136,86,0,5,226
501021016,3,0,0,0,7,84,32,0,3,114
501021251,3,0,0,0,8,117,25,0,0,148
501021252,3,0,0,0,3,65,15,0,0,84
501021253,20,10,0,0,28,413,209,7,0,636
501021254,0,0,0,0,0,31,4,5,0,39
501031017,6,0,0,0,11,284,126,0,8,422
501031018,7,0,0,0,12,189,69,0,0,267
501031019,10,4,0,0,18,151,85,3,0,246
501031020,9,0,0,0,14,239,98,5,0,346
502011021,7,0,0,0,5,142,18,0,0,163
502011022,7,0,0,0,10,203,57,0,0,254
502011023,13,9,0,0,22,195,81,6,0,281
502011024,21,0,0,0,21,308,79,7,0,388
502011025,19,9,0,0,30,355,176,12,0,544
502011026,4,0,0,0,8,80,24,0,0,106
502011027,16,4,0,0,17,270,55,0,0,329
502011028,5,0,0,0,5,123,20,0,0,152
502011029,8,0,0,0,8,206,76,6,8,290
503011030,10,0,0,0,10,144,30,0,0,173
503011031,16,0,0,0,16,300,81,13,0,397
503011032,9,0,0,0,12,248,52,3,0,301
503011033,8,0,0,0,8,178,46,0,0,224
503011034,12,6,0,0,16,283,46,14,0,333
503011035,29,4,0,0,34,614,188,11,0,811
503011036,16,0,0,0,18,242,25,0,0,270
503021037,0,0,0,0,0,7,3,0,0,5
503021038,18,4,0,0,18,382,96,9,0,493
503021039,15,6,0,0,13,493,118,7,0,618
503021040,12,0,0,0,15,350,57,3,0,409
503021042,37,13,0,0,45,800,276,36,0,1103
503021043,21,0,0,0,23,558,184,14,3,752
503021295,16,3,0,0,22,272,72,4,0,351
503021296,15,9,0,0,18,443,126,10,0,581
503021297,131,21,4,8,161,1397,524,365,12,2295
504011044,25,4,0,0,29,373,69,4,0,441
504011045,34,8,0,0,42,596,149,8,0,757
504011046,9,0,0,0,7,276,55,3,0,328
504011047,30,3,0,0,36,518,163,7,0,690
504011048,7,0,0,0,14,152,31,7,0,183
504021049,5,0,0,0,0,59,12,3,0,76
504021050,3,0,0,0,11,224,36,0,0,265
504021051,3,0,0,0,3,107,13,0,0,113
504021052,0,0,0,0,0,0,0,0,0,0
504021053,19,6,0,0,20,350,92,5,0,445
504021054,12,4,0,0,22,260,73,0,0,333
504031055,0,0,0,0,0,0,0,0,0,0
504031056,11,0,0,0,14,273,55,0,0,329
504031057,20,0,0,0,20,290,50,6,0,342
504031058,3,0,0,0,4,133,33,3,5,170
504031060,5,0,0,0,5,104,17,0,0,118
504031061,10,6,0,0,21,192,30,3,0,234
504031062,0,0,0,0,3,181,17,0,0,200
504031063,37,19,0,0,58,507,272,19,6,797
504031064,0,0,0,0,0,0,0,0,0,0
504031065,10,0,0,0,8,138,23,0,0,160
504031066,19,4,0,0,25,370,177,9,0,569
504031067,0,0,0,0,7,80,9,0,0,88
504031068,16,0,0,0,16,226,22,0,0,250
504031069,0,0,0,0,0,0,0,0,0,0
504031298,6,6,0,0,6,221,24,4,0,247
504031299,3,0,0,0,3,174,22,0,0,200
504031300,15,0,0,0,16,282,58,4,0,349
505011070,16,0,0,0,16,216,24,3,0,243
505011071,8,0,0,0,7,312,48,0,0,366
505011072,21,0,0,0,19,337,63,6,0,405
505011073,19,0,0,0,19,324,65,6,3,397
505011074,9,0,0,0,7,220,43,0,0,264
