POW_SA2_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
501011001,0,468,5,472,0,14,0,21,3,344,3,348,0,7,0,6,6,194,0,200,0,30,0,31,0,183,0,186,0,246,0,247,0,39,0,39,0,5,0,5,0,14,0,14,0,24,0,24,0,67,0,73,0,63,0,63,0,35,0,35,0,163,0,160,0,99,0,101,4,26,0,30,0,54,0,54,0,104,0,101,21,2189,8,2224
501011003,3,513,4,521,0,58,0,60,0,698,3,700,0,18,0,18,4,554,4,564,0,76,0,76,3,440,0,446,15,946,7,965,0,65,0,65,0,11,0,11,0,60,0,57,0,121,0,123,3,252,0,257,11,236,0,249,0,42,0,42,6,235,0,244,0,207,0,208,0,94,0,94,4,161,0,160,0,235,3,241,52,5032,26,5109
501011004,0,133,0,133,5,20,0,19,4,285,0,290,3,10,0,14,5,346,3,345,0,90,0,92,14,558,3,570,17,631,3,648,0,92,0,97,0,15,0,15,0,46,0,46,0,74,0,74,0,205,0,208,0,180,0,185,4,193,0,189,3,439,3,447,0,450,0,453,0,81,3,80,0,174,0,173,7,165,0,173,51,4182,26,4258
501011293,0,61,0,60,4,54,0,58,0,255,0,255,0,64,0,61,9,441,0,449,0,109,0,107,21,1045,9,1070,16,656,0,673,5,275,0,283,0,49,0,48,0,147,0,150,0,144,0,139,0,217,0,217,3,170,0,176,11,389,0,390,9,387,4,400,0,534,0,543,0,75,0,75,10,308,0,316,4,184,0,187,88,5554,16,5664
501011294,0,98,0,93,0,10,0,10,0,126,0,121,0,83,0,81,3,408,0,416,0,27,0,27,7,508,4,517,12,633,3,652,0,59,0,59,0,10,0,10,0,9,0,9,0,29,0,29,0,199,0,201,4,198,0,201,0,36,0,39,12,749,0,762,20,1486,8,1511,5,62,0,67,4,169,0,173,3,157,0,166,70,5059,20,5145
501021005,0,15,0,15,0,264,0,267,3,88,0,96,0,21,0,21,3,332,0,343,0,22,0,26,8,427,0,441,10,310,0,314,0,39,0,38,0,7,0,7,0,27,0,27,0,26,0,26,0,91,0,94,5,53,0,58,0,71,0,71,11,712,0,726,6,333,0,341,0,54,0,54,3,161,0,161,0,100,0,103,51,3167,3,3224
501021007,0,227,0,227,7,198,0,204,0,63,0,63,0,6,0,6,3,134,0,133,0,24,0,24,0,86,0,86,0,63,0,67,0,43,0,46,0,4,0,4,0,16,0,16,0,19,0,19,0,31,0,31,3,40,0,43,0,98,0,99,0,127,0,128,0,35,0,35,0,45,0,45,0,47,0,47,4,45,0,51,21,1347,0,1371
501021008,0,0,0,0,0,11,0,11,0,20,0,19,0,3,0,3,6,102,0,104,0,58,0,58,17,201,0,213,4,159,0,160,0,49,0,53,0,7,0,10,0,0,0,0,0,0,0,0,0,29,0,29,3,31,0,32,9,318,0,326,12,430,3,447,30,2041,0,2077,0,20,0,20,0,31,0,31,7,58,0,72,85,3578,17,3678
501021009,0,39,0,39,14,738,0,756,13,1121,4,1138,9,511,4,523,4,291,0,298,0,11,0,11,7,284,0,296,11,244,0,264,0,80,0,83,0,9,0,9,0,30,0,28,0,17,0,17,0,64,0,71,0,73,0,74,4,169,0,170,0,309,0,311,6,324,4,339,0,23,0,27,0,145,0,143,3,175,0,181,91,4668,20,4774
501021010,0,198,4,202,0,19,0,19,9,473,0,486,0,37,0,36,3,148,0,152,4,28,0,32,4,36,0,41,0,81,0,87,0,206,5,213,0,3,0,3,0,4,0,4,0,13,0,13,0,35,0,33,0,26,0,26,0,22,0,20,0,86,0,87,0,6,0,6,0,10,0,8,0,48,0,44,0,92,0,94,29,1566,11,1603
