POW_SA2_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
505021096,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,12,0,0,0,0,0,0,4,0,10,0,3,0,0,0,0,3,0,7,0,0,4,0,0,0,0,0,9,0,3,3,3,6,0,0,0,16,0,0,7,5,5,3,0,0,23,0,0,7,8,3,7,0,0,31,0,0,7,8,10,3,5,0,32,0,0,8,4,13,13,5,0,40,0,0,4,9,5,8,0,0,33,0,0,8,15,25,14,0,0,57,0,0,0,8,7,3,0,0,25,0,0,0,9,15,14,6,0,44,0,0,0,0,0,0,0,0,3,5,7,45,78,96,78,23,0,339,0,0,0,3,0,5,0,0,12,4,0,0,0,4,0,0,0,13,4,5,0,0,6,4,3,0,25,0,6,4,0,0,5,5,0,23,0,5,4,9,0,10,3,0,28,0,3
505021097,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,3,4,0,5,0,0,0,13,0,0,0,0,0,4,0,0,7,0,0,4,10,3,3,0,0,27,0,0,4,11,3,3,0,3,26,0,0,10,12,4,5,5,0,37,0,0,3,16,3,14,10,0,44,0,0,4,7,11,3,0,0,22,0,0,7,16,16,15,0,0,52,0,0,0,8,6,3,3,0,20,0,0,0,5,7,5,0,0,23,0,0,0,0,0,0,0,0,0,0,15,37,83,63,69,19,4,295,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,12,0,0,5,6,3,0,3,0,18,0,3,3,3,6,3,5,0,22,0,0
505021301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,7,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,7,0,4,8,4,12,3,0,0,27,0,9,12,3,8,0,4,0,46,0,10,12,10,7,3,0,0,47,0,0,19,14,7,7,0,0,46,0,0,13,8,13,7,6,0,40,0,0,7,3,8,3,0,0,19,0,0,8,21,18,8,4,0,68,0,0,0,0,11,0,0,0,9,0,0,0,4,7,9,0,0,13,0,0,0,0,3,3,0,0,5,3,28,75,73,99,51,20,0,361,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,0,0,0,5,3,0,0,0,12,0,4,0,3,0,0,0,0,14,0,0,4,4,0,5,3,0,13,0,0
505021302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5,0,0,0,3,0,0,0,0,7,0,0,6,4,4,0,0,0,19,0,0,6,6,9,3,0,0,24,0,0,0,3,0,0,0,0,10,0,0,0,0,5,3,0,0,15,0,0,0,6,0,5,0,0,6,0,0,0,13,3,0,0,0,19,0,0,0,0,8,4,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,18,32,40,24,7,6,137,0,0,0,0,0,0,0,0,3,3,7,0,3,0,0,0,0,11,4,0,5,3,0,4,0,0,12,0,3,0,0,5,0,0,0,12,0,0,0,0,0,5,0,0,10,0,0
505031098,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,4,0,7,0,0,0,9,0,0,3,0,5,4,0,0,18,0,0,6,5,8,0,0,0,18,0,0,6,11,0,0,0,0,12,0,0,0,4,0,0,0,0,7,0,0,0,0,3,5,0,0,7,0,0,6,12,3,8,0,0,29,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,27,26,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
505031099,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,10,0,5,0,0,0,0,0,0,9,0,4,7,8,6,4,4,0,30,0,8,9,9,12,6,0,0,39,0,4,11,12,9,0,0,0,40,0,4,19,9,7,4,0,0,43,0,0,5,8,11,10,0,0,30,0,0,4,3,5,4,0,0,17,0,0,0,10,14,7,5,0,33,0,0,0,5,3,8,0,0,13,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,9,21,51,74,74,44,11,0,284,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,8,0,0,5,0,0,4,0,0,15,0,4,3,4,5,0,0,0,18,0,4,4,3,3,0,0,0,17,0,7
505031100,0,0,0,3,0,0,0,0,6,5,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,15,4,0,3,3,3,5,0,0,22,0,3,16,3,9,4,0,0,33,0,5,16,5,6,9,0,0,37,0,0,4,10,10,4,0,0,31,0,0,3,7,4,9,0,0,34,0,0,10,9,7,10,0,0,35,0,0,10,20,31,16,0,0,73,0,0,0,6,11,3,0,0,19,0,0,0,8,7,10,6,0,27,0,0,0,0,0,0,0,0,0,8,10,69,86,100,63,15,0,350,0,0,0,0,0,0,0,0,3,9,4,0,6,0,0,0,0,23,0,0,3,0,7,0,0,0,8,0,0,4,6,5,0,0,0,16,0,3,3,5,0,0,3,0,16,0,0
505031101,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,4,0,9,6,0,20,6,3,0,5,4,5,0,0,29,0,5,11,13,12,6,0,0,58,0,13,18,6,15,4,5,0,59,0,0,11,10,6,7,0,0,41,0,0,11,12,6,0,0,0,33,0,0,7,8,5,7,0,0,24,0,0,7,16,21,5,0,0,50,0,0,0,8,7,5,0,0,8,0,0,3,4,3,4,0,0,8,0,0,0,0,5,0,0,0,5,10,30,75,93,99,55,9,0,361,0,0,0,4,0,0,0,0,4,0,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,0,9,0,0,4,0,3,0,0,0,3,0,3,0,7,0,0,0,0,8,0,0
505031102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,10,0,0,0,14,0,3,7,3,0,6,0,0,18,0,0,0,8,0,0,0,0,16,0,0,4,10,3,3,0,0,13,0,0,0,3,4,0,0,0,9,0,0,0,5,0,0,0,0,3,0,0,0,3,7,11,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,15,34,34,19,5,0,123,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3
505031104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,8,12,10,3,6,48,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
