POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
507011160,22,0,0,217,150,13,24,0,0,194,174,18,27,0,0,224,155,23,29,0,4,212,118,13,25,0,4,164,55,9,17,0,0,80,16,4,9,0,0,35,12,0,0,0,0,16,1927,149,234,25,13,2345
507011161,55,0,0,350,219,15,37,4,5,288,211,15,38,0,3,267,182,8,15,0,0,213,128,10,19,0,0,154,42,3,7,0,0,55,11,3,5,0,0,17,3,4,4,0,0,6,3191,173,307,25,18,3705
507011163,22,10,0,138,80,24,23,0,0,135,65,17,29,3,0,115,81,22,22,3,0,133,42,13,12,6,0,72,21,11,4,0,0,41,6,4,3,0,0,15,0,0,0,0,0,4,951,161,182,27,3,1327
507011259,28,7,0,225,161,24,26,4,0,218,146,13,30,7,5,197,140,17,31,8,0,188,115,21,29,3,0,163,43,8,7,0,4,57,19,6,3,5,0,25,5,0,0,0,0,10,1823,157,238,45,12,2271
507011260,14,6,0,1050,868,36,18,3,5,939,848,51,22,4,6,933,703,45,29,6,4,784,464,28,27,5,0,524,212,12,8,3,0,239,41,17,10,0,0,64,15,8,0,0,0,28,8471,336,217,33,30,9089
507021164,23,0,0,191,130,43,46,0,0,220,136,42,40,3,0,227,116,35,27,12,4,192,82,29,29,3,0,145,34,26,17,6,0,90,12,10,10,7,0,35,7,7,3,4,0,20,1578,270,261,41,9,2159
507021165,109,6,6,1931,1620,151,141,12,6,1930,1629,165,136,12,6,1957,1436,166,137,22,12,1760,1117,95,131,22,5,1372,472,75,86,18,5,653,173,40,57,16,4,286,43,29,30,17,3,121,16305,1076,1191,154,74,18789
507021166,53,3,4,418,326,71,68,7,0,473,337,63,62,8,4,468,280,42,71,9,0,405,239,40,55,6,3,350,117,25,46,3,0,195,29,15,19,8,0,66,10,4,10,3,0,31,3556,410,531,68,19,4589
507021167,32,3,4,453,347,61,25,7,0,435,323,74,32,5,5,435,278,65,45,3,3,391,231,54,21,5,0,317,104,26,22,6,0,158,35,18,4,3,0,64,13,12,5,3,0,31,3789,479,235,54,24,4586
507031169,31,7,0,199,123,13,25,6,0,169,109,5,12,3,0,128,69,7,6,0,0,86,57,3,9,3,0,76,14,0,5,0,0,22,3,0,0,0,0,3,3,0,0,0,0,4,1187,83,214,31,9,1520
507031170,11,3,3,133,119,3,18,3,0,147,120,3,12,3,0,137,112,9,12,0,3,142,79,12,16,0,0,111,43,0,11,0,0,55,9,0,0,0,0,19,5,0,0,3,0,3,1126,46,117,21,11,1319
507031172,13,0,0,151,150,6,3,0,0,164,141,8,3,0,0,154,115,9,9,0,0,135,89,4,4,0,0,96,28,4,4,0,0,37,7,3,0,0,0,14,0,0,0,0,0,4,1328,52,36,10,7,1432
507031173,12,3,3,1091,1036,28,17,4,3,1079,1066,27,21,4,9,1119,919,29,16,0,0,963,633,19,13,0,7,670,221,12,6,0,0,246,42,5,3,5,0,52,13,4,0,3,0,19,8609,176,113,23,30,8958
507031174,25,4,4,249,190,10,19,0,0,220,158,15,17,4,0,191,139,5,9,0,0,153,103,5,7,4,0,114,44,0,6,0,0,48,13,0,0,0,0,18,5,0,0,0,0,5,1979,71,133,22,3,2219
507031261,16,0,0,240,252,20,22,0,7,298,213,9,24,9,6,255,194,9,27,4,0,237,120,14,14,3,0,154,73,9,11,0,0,91,9,11,9,4,0,30,5,0,0,0,0,6,1735,107,205,27,14,2088
507041175,57,0,3,563,380,90,39,6,0,515,435,77,56,3,0,569,322,70,43,7,4,442,221,60,35,7,0,322,114,31,25,16,0,176,42,24,16,10,0,96,16,20,14,5,0,52,4236,526,407,79,14,5265
507041176,7,0,0,62,67,10,7,0,0,87,57,8,4,0,0,73,58,10,8,0,0,76,44,3,6,0,0,54,22,0,3,0,0,29,10,0,0,0,0,19,0,3,0,0,0,4,521,46,59,11,0,639
507041177,37,6,0,354,273,51,48,6,5,370,259,38,69,5,3,377,275,31,46,5,4,356,208,39,53,10,6,312,82,14,23,0,0,123,35,11,17,3,0,71,7,6,9,6,0,29,3093,307,401,55,25,3877
507041178,65,5,0,665,519,81,50,6,0,665,480,96,57,13,5,651,449,75,48,12,3,580,326,60,52,8,5,460,130,36,44,15,0,230,45,17,26,5,0,95,17,14,11,10,0,49,6143,591,491,92,28,7348
507041179,9,0,0,185,174,14,16,0,0,207,173,22,11,0,0,210,174,14,25,5,3,224,132,15,18,0,4,166,72,13,10,0,0,91,19,8,8,3,0,40,3,3,7,0,0,17,1817,139,141,21,10,2129
507041180,19,0,0,144,123,22,32,0,3,179,123,20,34,4,0,175,100,23,23,0,0,150,96,20,26,3,4,140,36,20,27,0,0,78,12,9,13,0,0,30,0,0,0,3,0,9,1173,171,232,30,12,1609
507041181,65,0,3,663,496,95,77,8,0,682,449,81,58,17,8,621,388,65,74,10,0,541,292,64,63,11,0,434,161,41,51,4,0,256,57,38,27,17,0,141,16,9,9,8,3,56,5538,578,587,107,26,6840
507041182,49,10,3,1937,1599,46,58,12,4,1713,1517,55,53,6,7,1637,1356,57,39,0,3,1462,975,39,45,9,7,1067,398,26,30,5,5,470,83,9,11,4,0,112,18,10,0,3,3,35,14971,339,407,63,56,15827
507041183,15,3,0,89,70,11,7,0,0,90,53,9,17,4,0,76,53,4,8,0,0,73,37,6,14,0,0,58,21,5,7,0,0,30,10,0,3,0,0,13,3,0,3,0,0,3,683,68,125,14,4,895
507041184,7,3,0,54,35,17,4,0,0,62,50,7,19,4,0,89,38,12,11,5,0,63,31,14,17,3,0,65,33,11,24,3,0,68,5,5,11,0,0,22,3,0,4,0,0,8,452,84,137,32,8,709
507051186,13,0,0,247,278,3,11,0,0,295,248,3,18,3,0,272,254,5,14,3,4,278,160,0,7,0,4,175,60,6,3,0,0,64,12,0,0,0,0,10,3,0,0,0,0,4,2168,37,98,15,5,2322
507051187,43,0,0,308,242,28,48,5,0,319,221,31,44,4,0,303,221,40,39,13,0,306,137,24,20,0,0,183,40,5,12,0,0,59,17,3,8,4,0,22,3,3,0,0,0,8,2460,217,312,37,13,3039
507051188,59,12,6,1536,1287,91,73,7,8,1465,1268,94,94,16,8,1479,1255,85,85,14,10,1440,776,59,81,9,4,925,320,35,47,8,4,406,83,11,16,14,0,115,27,11,7,4,5,48,14531,593,614,103,64,15901
507051189,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,26
507051190,26,5,0,161,143,18,31,0,3,194,133,18,37,0,3,192,124,13,40,5,0,182,110,19,31,8,0,169,33,6,14,7,6,68,14,0,11,3,0,29,7,0,4,9,0,18,1265,116,250,35,15,1673
507051191,55,9,3,271,191,27,63,9,0,290,164,27,40,14,0,244,120,26,32,4,0,180,91,15,20,5,3,133,43,8,3,3,0,56,9,0,6,3,0,16,9,3,0,0,0,13,1891,190,363,55,17,2517
507051192,24,3,0,159,106,7,21,0,0,137,111,10,24,0,0,145,114,11,14,5,0,144,64,0,28,4,0,100,35,4,10,0,0,46,12,0,4,0,0,17,0,0,0,0,0,5,1139,71,188,16,8,1420
507051193,15,0,0,192,173,12,24,0,0,209,192,6,26,5,0,229,146,6,17,4,0,176,86,3,13,0,0,110,38,4,4,0,0,45,7,3,6,0,0,20,5,0,0,0,0,5,1837,55,156,24,7,2082
507051312,18,6,0,243,168,20,29,9,0,225,152,24,25,3,0,205,113,11,12,3,8,154,76,10,14,6,5,107,29,5,10,0,0,38,5,4,3,6,0,15,3,0,0,0,0,7,2604,127,212,38,19,2994
507051313,43,5,0,309,208,20,57,9,0,290,163,22,48,3,0,232,119,15,30,0,0,164,85,11,20,4,0,116,28,4,13,0,0,48,5,5,3,0,0,16,3,0,0,0,0,4,1824,165,377,43,10,2419
507051314,12,0,0,33,28,7,9,0,0,39,18,6,7,5,0,34,24,7,10,0,0,39,7,5,0,0,0,16,9,0,4,0,0,12,0,0,4,0,0,4,3,0,3,3,0,9,297,45,64,8,0,419
509011225,74,6,8,1023,959,72,88,10,10,1137,1024,67,98,4,14,1213,889,76,98,14,11,1092,821,64,101,19,10,1014,300,42,63,22,5,430,117,16,39,10,4,191,44,3,21,5,7,73,9329,492,767,116,83,10788
509011226,25,7,0,112,84,13,24,8,0,131,63,11,24,5,3,106,64,8,37,18,7,137,67,17,43,25,8,155,20,6,36,15,0,77,5,5,18,27,5,55,3,3,24,26,0,61,655,82,274,140,31,1186
509011227,12,8,0,48,49,0,11,3,0,66,58,3,13,0,0,74,50,16,10,0,0,75,33,3,18,0,0,58,14,3,3,0,0,17,6,0,6,4,0,19,0,0,3,0,0,3,404,37,105,17,3,568
509011228,37,15,4,203,135,10,55,10,0,219,174,30,51,5,6,263,154,23,61,16,4,255,132,10,48,14,8,207,44,14,43,21,0,113,16,14,24,23,3,82,4,0,28,17,0,50,1297,159,411,137,29,2037
509011229,31,13,0,159,65,32,24,15,0,130,86,21,27,21,4,164,85,22,36,15,4,169,63,17,23,16,0,116,45,17,22,15,4,106,12,5,10,9,7,45,3,0,7,3,4,22,843,195,232,148,36,1459
509011230,21,5,0,185,128,10,28,10,0,184,149,27,14,10,3,203,173,27,26,10,4,240,136,9,32,5,5,188,79,12,25,3,0,119,16,9,9,3,3,40,9,6,7,7,0,33,1632,125,200,66,25,2049
509011231,37,14,7,181,79,21,36,20,0,162,107,30,40,32,3,211,128,23,58,23,11,237,83,16,61,29,8,195,33,18,55,24,9,133,9,11,23,23,3,69,0,4,16,20,0,47,962,219,386,225,55,1848
509011232,9,0,0,77,55,4,18,4,4,84,79,3,28,0,4,120,77,3,22,6,6,107,46,3,10,4,3,71,18,6,16,3,0,48,7,0,10,8,0,21,3,0,4,6,0,15,564,45,146,39,12,816
509011233,28,0,5,291,262,23,35,3,0,330,275,24,32,4,5,335,249,24,30,11,0,313,220,16,45,5,0,284,87,18,28,8,0,142,30,3,15,9,0,57,5,0,7,9,4,22,2366,177,274,58,22,2891
509011234,40,8,4,210,185,15,30,12,4,243,171,21,37,14,6,246,161,13,50,16,4,243,127,30,33,22,4,210,53,16,40,17,4,133,10,9,25,26,7,78,10,0,20,18,4,53,1497,131,317,155,38,2143
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,22,0,3,159,105,21,25,7,0,157,138,22,23,4,0,193,112,25,36,6,9,183,83,21,18,8,3,139,33,5,24,11,3,75,13,7,9,11,0,38,6,5,16,10,0,38,1085,138,209,74,39,1549
509021237,9,12,0,123,87,19,14,9,5,130,96,27,22,13,0,158,80,22,24,13,5,153,95,25,30,13,0,164,34,10,17,6,0,76,13,7,13,9,0,45,5,9,7,12,3,37,949,178,173,100,18,1416
509021238,24,9,3,160,100,23,30,16,3,172,93,37,29,14,5,174,91,33,38,19,9,180,103,23,39,16,0,189,64,21,28,22,6,138,18,12,22,12,3,69,6,7,9,22,5,47,1013,231,262,151,34,1687
509021239,29,12,0,342,251,53,45,15,9,368,271,48,43,23,4,393,290,49,64,19,9,438,229,32,58,42,4,368,77,23,56,35,8,190,24,14,27,39,4,106,13,16,21,30,0,83,2812,326,432,241,52,3855
509021240,12,11,0,175,149,32,27,11,3,225,174,35,33,13,0,249,137,33,29,21,6,222,148,30,27,23,3,232,61,21,17,18,5,120,24,5,8,16,0,50,4,3,10,10,9,34,1630,245,223,152,21,2271
509021241,19,9,6,220,146,30,28,13,0,218,149,20,34,17,5,227,163,35,43,39,3,283,144,31,39,26,3,235,74,14,35,23,5,146,20,13,18,15,3,70,15,12,17,23,0,72,1508,268,263,173,27,2244
509021242,16,6,3,210,186,18,24,12,5,243,209,23,34,14,6,287,196,24,44,23,4,283,151,31,31,12,3,228,57,10,22,13,0,101,8,8,15,14,0,44,4,0,10,18,3,36,1651,155,235,133,35,2202
509021243,30,7,4,420,433,19,30,5,0,494,475,40,39,13,7,577,442,16,35,9,4,512,420,33,45,21,3,518,170,25,28,23,3,250,46,13,17,10,3,97,10,3,7,14,0,36,4136,228,295,120,44,4828
509021244,10,5,0,62,47,12,6,0,0,75,62,13,19,8,0,97,57,16,31,5,0,112,50,18,35,3,0,105,30,5,22,11,0,65,19,6,18,3,0,51,6,4,12,3,0,26,529,101,166,56,9,871
509021245,18,13,6,150,88,21,16,4,6,137,112,26,20,8,0,166,107,24,38,7,0,177,115,22,35,27,0,200,35,19,47,12,5,119,17,12,23,23,0,69,0,0,11,19,4,42,969,180,244,127,34,1554
509031246,19,12,0,113,79,19,18,10,0,128,94,23,26,26,5,173,89,28,31,18,3,161,96,17,32,18,0,169,38,19,19,18,3,99,19,13,17,13,3,69,10,5,16,11,0,43,904,179,217,146,20,1464
509031247,38,13,3,239,140,42,48,29,5,261,143,32,54,24,4,259,131,48,64,28,8,280,115,42,59,37,6,256,48,27,35,32,0,148,22,15,27,26,0,90,12,15,17,27,6,79,1382,339,455,263,51,2485
509031248,8,0,0,353,349,18,7,3,0,372,383,6,10,6,4,410,305,3,15,3,0,332,199,7,8,0,6,225,74,3,3,8,5,97,7,5,4,4,0,30,0,0,9,8,0,21,2818,69,86,43,13,3039
509031249,13,0,3,180,166,18,16,9,3,212,210,22,18,3,0,255,201,16,19,3,0,249,190,13,17,4,0,225,87,8,15,6,4,126,11,9,11,6,0,39,10,9,5,0,0,23,1841,125,149,47,19,2182
509031250,28,10,4,156,108,31,34,15,9,190,94,45,46,22,4,204,109,21,41,23,3,201,85,22,66,27,5,205,50,13,42,29,0,129,10,15,38,24,0,85,7,12,22,20,5,66,1025,233,358,207,36,1859
510011262,47,8,14,839,629,61,56,16,7,763,621,70,61,8,5,765,511,51,42,5,7,615,357,42,56,8,7,461,201,19,25,4,0,253,40,16,10,3,6,74,13,6,0,7,0,28,6396,433,412,63,69,7364
510011263,3,0,5,229,212,9,5,4,0,230,221,11,5,0,4,243,206,13,13,3,3,236,167,10,17,5,0,195,101,8,5,0,0,112,28,0,6,0,0,35,3,0,4,0,3,13,2345,70,65,19,21,2523
510011264,0,0,3,119,97,3,0,0,5,110,117,3,0,0,5,124,109,3,4,0,0,121,66,4,0,3,0,71,33,0,0,0,0,36,8,0,3,0,0,18,0,0,0,3,0,5,1056,23,18,5,19,1119
