POW_SA2_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
501011001,14,32,49,36,60,55,18,39,3,312,17,18,27,19,68,82,28,44,8,301,15,18,21,13,38,45,13,36,0,194,4,3,16,17,30,36,13,36,4,156,6,4,6,4,13,26,6,27,4,99,3,9,10,8,10,26,13,46,0,123,0,0,0,4,3,4,0,3,0,22,3,0,0,4,6,6,0,20,4,49,0,5,6,4,0,4,0,0,4,28,128,401,336,204,293,354,114,355,37,2224
501011003,24,56,110,114,162,140,30,48,13,694,40,51,84,65,194,193,38,81,11,759,22,27,29,45,115,137,61,83,7,529,15,23,30,29,41,114,36,68,9,363,12,20,18,17,44,67,25,64,0,267,17,10,21,21,22,86,50,103,6,335,8,10,8,6,8,27,6,22,3,94,9,10,17,9,4,27,9,63,0,149,7,10,4,0,0,0,4,8,13,55,258,914,765,498,736,916,294,622,100,5109
501011004,29,58,101,101,120,78,20,28,7,545,31,45,88,86,144,178,31,55,4,663,22,23,36,44,93,106,32,56,3,404,26,20,29,28,62,100,28,50,0,334,10,11,14,20,33,61,26,41,0,215,10,18,12,19,40,67,40,84,0,295,3,3,8,4,4,11,7,17,0,56,5,3,4,8,8,20,7,26,4,76,0,4,3,0,3,3,0,4,8,27,238,874,680,464,603,722,217,399,62,4258
501011293,22,68,94,117,198,119,36,37,13,702,37,52,76,77,237,181,73,70,6,813,22,18,50,42,139,166,63,72,3,567,14,18,20,32,116,113,38,75,4,429,15,6,7,14,56,82,47,67,0,290,23,21,21,17,42,108,54,112,0,390,3,0,4,3,3,21,8,34,0,91,10,3,3,10,5,21,9,44,0,107,0,11,4,0,10,8,0,8,15,61,260,1123,781,544,1022,949,338,580,69,5664
501011294,42,65,111,114,157,81,23,26,5,630,36,55,101,101,173,145,34,49,9,694,27,26,46,53,110,125,29,72,4,484,18,26,42,44,71,88,41,70,0,398,21,15,16,26,56,92,28,71,4,325,12,20,26,25,53,113,53,90,6,396,4,7,7,3,5,18,3,19,0,68,11,4,14,10,15,21,10,28,3,122,0,7,6,4,8,3,0,4,13,49,276,1024,854,603,803,796,234,480,76,5145
501021005,9,33,69,73,100,60,12,23,10,388,15,27,36,35,100,90,15,40,4,364,10,12,33,25,44,65,16,44,0,256,9,7,15,13,37,65,32,50,3,230,11,3,11,14,34,64,20,68,0,225,21,7,12,8,26,101,59,100,0,337,4,0,0,3,4,16,4,27,0,63,0,0,0,0,4,20,11,32,0,71,0,3,8,0,0,8,0,0,10,30,143,642,494,319,430,526,192,425,46,3224
501021007,3,8,22,15,28,26,7,26,4,148,5,16,25,15,29,35,10,24,0,158,8,6,8,5,23,32,11,26,0,125,6,3,0,10,9,27,14,34,0,107,7,0,5,9,9,34,15,33,0,107,7,4,14,3,18,55,28,46,3,173,0,0,0,0,6,10,5,8,3,31,6,0,7,0,0,7,3,9,0,37,0,8,3,4,0,0,0,4,10,25,69,219,179,102,154,254,104,258,30,1371
501021008,29,53,74,79,70,28,9,10,10,354,44,35,88,103,106,70,13,24,4,489,30,22,44,86,107,85,20,26,3,429,29,16,31,75,110,134,28,48,4,461,20,5,14,35,82,93,25,43,5,322,33,4,16,12,83,144,50,81,3,426,9,0,4,6,11,14,0,22,3,60,4,3,8,3,9,33,9,51,0,124,0,0,3,0,4,3,0,5,11,28,293,545,527,501,630,644,152,326,55,3678
501021009,13,20,53,44,75,52,17,21,9,304,16,24,35,33,79,105,23,41,11,374,20,10,16,17,62,109,30,67,3,336,24,13,24,18,48,148,41,96,5,416,36,10,13,9,62,182,56,105,14,474,70,12,27,21,128,482,189,257,19,1206,16,0,8,3,44,112,32,65,3,280,21,0,6,0,32,72,37,87,0,255,0,4,0,0,4,11,0,7,11,45,289,527,433,245,612,1328,436,800,115,4774
501021010,4,12,20,13,28,31,20,20,4,145,0,8,13,17,34,55,48,43,4,209,8,0,8,10,21,38,45,62,5,188,11,13,6,4,13,27,46,67,0,186,8,3,4,0,7,39,42,67,3,175,11,3,8,3,10,42,44,105,3,226,0,0,0,0,0,3,8,14,0,28,4,0,4,0,4,4,9,11,0,31,0,0,0,0,4,0,0,10,3,18,63,190,141,81,140,272,256,424,27,1603
501021011,19,29,48,69,196,181,43,40,3,631,26,34,30,43,216,240,86,117,10,794,19,10,21,22,95,154,92,120,7,543,9,0,13,12,67,125,51,147,9,438,10,0,6,8,54,84,52,97,0,308,19,6,3,9,54,108,55,189,3,451,0,3,0,0,0,23,17,48,0,94,6,4,0,3,9,12,15,54,4,100,0,0,0,4,6,8,0,4,11,32,151,320,289,251,835,1069,438,862,70,4295
501021012,8,32,56,56,80,38,11,14,0,303,3,14,32,26,59,42,17,19,0,212,8,10,14,17,33,36,6,19,7,145,0,0,3,16,24,41,12,17,0,117,8,0,0,3,11,28,6,18,3,76,5,6,5,3,11,34,17,24,0,111,0,4,0,0,3,5,3,6,3,27,4,3,3,4,6,8,0,16,0,31,0,5,0,3,0,0,0,0,10,20,101,610,415,250,300,271,75,145,31,2202
501021014,12,44,37,41,142,113,36,50,7,482,14,39,41,34,198,156,54,86,11,631,14,18,15,12,83,124,54,126,6,453,12,17,9,15,74,124,52,170,0,478,15,6,11,15,41,102,34,179,7,411,28,20,18,18,55,175,62,408,5,769,8,6,0,3,10,39,11,101,5,184,12,9,4,7,5,30,6,112,6,178,0,5,4,0,4,4,4,14,7,44,182,552,382,255,725,963,320,1331,79,4786
501021015,24,32,54,57,171,135,38,40,4,556,29,21,36,55,165,174,66,91,4,642,23,18,26,28,131,145,73,111,3,552,15,19,13,20,87,115,58,144,0,466,13,7,11,5,60,116,66,155,3,436,43,11,9,13,94,164,85,256,5,686,7,0,4,3,7,27,16,53,0,106,10,8,5,0,0,14,11,55,0,103,0,6,4,0,6,5,0,5,19,46,238,609,469,307,870,993,436,971,80,4974
501021016,5,14,26,17,45,21,0,7,9,147,7,16,16,14,45,44,12,36,3,187,12,6,17,11,49,32,20,45,0,183,5,11,5,9,47,32,23,52,0,186,22,3,11,5,80,31,19,43,8,224,45,11,10,6,208,104,110,157,9,650,16,0,4,0,33,15,21,58,0,150,0,0,3,0,20,18,14,50,3,122,0,7,0,0,0,4,0,12,8,29,129,236,182,124,546,337,235,481,57,2327
501021251,0,19,19,35,54,19,4,12,3,165,4,11,18,15,36,32,3,13,6,142,0,0,14,7,25,24,8,18,5,104,3,3,6,13,18,23,3,13,0,85,0,0,0,6,16,20,12,15,0,67,6,4,0,3,9,31,10,30,0,99,0,0,0,0,0,0,0,4,0,7,0,4,0,5,0,4,5,4,0,15,0,0,0,0,0,0,0,3,0,11,46,320,182,123,210,170,57,121,22,1257
501021252,6,4,11,11,16,11,6,6,0,70,0,5,6,15,30,25,8,11,0,95,0,5,11,0,13,19,3,19,0,70,3,3,8,3,5,13,16,14,0,66,4,0,0,3,12,15,5,11,0,41,0,0,0,3,10,12,11,38,0,85,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,3,13,26,82,70,53,100,129,58,118,10,642
501021253,55,136,255,210,435,221,38,52,9,1420,64,87,165,175,520,319,91,88,16,1527,48,39,91,119,393,270,66,131,10,1167,38,37,46,80,300,242,89,130,9,967,29,16,20,46,148,215,88,136,6,694,49,28,30,48,190,325,152,263,5,1081,7,8,6,8,23,44,26,63,0,184,9,17,10,22,43,82,25,131,3,343,3,8,11,6,8,11,0,17,30,101,516,1926,1623,1069,2409,1944,643,1097,159,11380
501021254,0,9,18,18,26,7,0,0,0,89,0,8,6,8,18,10,4,11,0,64,0,0,0,4,10,3,6,9,0,34,0,0,8,4,11,9,0,4,0,39,0,0,0,4,11,4,4,3,0,24,4,0,0,0,0,13,0,10,0,39,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,105,87,52,94,66,12,48,10,498
501031017,10,25,49,38,75,71,20,44,4,341,19,18,26,31,70,66,23,76,13,328,10,8,20,15,33,61,17,82,7,253,16,12,14,9,21,50,18,90,6,247,14,5,13,0,16,50,17,91,3,213,24,9,4,11,20,91,25,163,6,355,6,4,0,0,5,7,3,48,0,79,5,8,3,3,0,5,11,59,6,96,0,6,0,0,0,5,0,10,10,28,149,400,333,184,311,484,156,775,72,2866
501031018,10,26,30,43,44,42,11,25,3,230,4,12,10,22,48,52,24,47,5,221,5,11,0,9,26,39,20,36,7,158,8,14,3,7,15,33,12,22,0,112,3,4,0,3,7,19,9,39,0,100,6,6,4,3,9,22,10,66,0,138,0,4,0,4,0,4,0,7,0,30,0,14,3,0,0,13,3,13,0,52,5,0,0,3,0,0,4,5,5,21,79,361,208,188,227,290,108,349,39,1851
501031019,10,22,49,61,109,76,22,51,10,400,19,14,41,46,86,120,37,52,6,424,13,3,21,27,60,81,27,51,0,282,10,11,8,14,49,77,20,55,4,260,11,4,6,15,23,36,17,41,0,141,9,0,10,9,31,59,27,61,0,196,0,0,0,0,0,6,0,13,0,18,0,0,0,0,3,9,3,9,3,36,4,4,3,0,0,0,0,5,3,23,141,396,334,268,454,548,166,399,57,2772
501031020,7,24,31,41,56,72,21,41,0,290,17,19,23,15,44,67,15,44,5,260,12,6,7,9,25,41,15,39,6,159,12,6,13,11,18,31,7,35,0,123,0,6,5,4,12,26,8,21,0,85,8,5,3,8,11,24,3,42,0,111,0,0,0,0,3,3,0,13,0,25,4,0,8,0,0,4,3,15,0,38,0,7,0,0,0,7,0,7,6,31,103,372,252,171,256,356,98,351,34,1990
502011021,0,9,17,10,11,10,0,6,0,66,0,8,15,14,18,23,3,0,0,81,0,3,10,9,5,14,3,11,0,55,0,5,0,3,11,14,7,9,0,53,0,0,0,0,6,11,4,10,0,38,0,3,3,5,10,13,12,19,0,60,0,0,4,0,0,0,6,5,0,13,0,0,6,0,0,0,0,9,0,17,0,0,5,0,0,0,0,3,5,12,25,165,121,81,89,103,39,74,9,696
502011022,6,20,41,34,41,34,9,11,3,199,9,24,36,30,52,40,12,17,5,211,9,7,6,10,29,23,10,23,0,118,0,6,14,11,18,13,10,18,0,85,0,4,4,4,3,15,9,22,4,71,3,3,5,12,10,20,11,21,3,85,0,0,0,0,4,6,4,6,0,18,0,0,4,4,7,9,4,8,0,37,0,3,0,0,0,0,0,0,6,18,72,537,290,197,216,215,62,134,37,1753
