GCCSA_CODE_2021,IS_NS_25_34_PD_GD_GCL_F,IS_NS_25_34_BDL_F,IS_NS_25_34_ADip_DipL_F,IS_NS_25_34_Ct_III_IV_F,IS_NS_25_34_Ct_I_II_F,IS_NS_25_34_CL_nfd_F,IS_NS_25_34_LoE_NS_F,IS_NS_25_34_Tot_F,IS_NS_35_44_PD_GD_GCL_F,IS_NS_35_44_BDL_F,IS_NS_35_44_ADip_DipL_F,IS_NS_35_44_Ct_III_IV_F,IS_NS_35_44_Ct_I_II_F,IS_NS_35_44_CL_nfd_F,IS_NS_35_44_LoE_NS_F,IS_NS_35_44_Tot_F,IS_NS_45_54_PD_GD_GCL_F,IS_NS_45_54_BDL_F,IS_NS_45_54_ADip_DipL_F,IS_NS_45_54_Ct_III_IV_F,IS_NS_45_54_Ct_I_II_F,IS_NS_45_54_CL_nfd_F,IS_NS_45_54_LoE_NS_F,IS_NS_45_54_Tot_F,IS_NS_55_64_PD_GD_GCL_F,IS_NS_55_64_BDL_F,IS_NS_55_64_ADip_DipL_F,IS_NS_55_64_Ct_III_IV_F,IS_NS_55_64_Ct_I_II_F,IS_NS_55_64_CL_nfd_F,IS_NS_55_64_LoE_NS_F,IS_NS_55_64_Tot_F,IS_NS_65ov_PtgdDe_GdDp_GdCt_F,IS_NS_65ov_BDL_F,IS_NS_65ov_ADip_DipL_F,IS_NS_65ov_Ct_III_IV_F,IS_NS_65ov_Ct_I_II_F,IS_NS_65ov_CL_nfd_F,IS_NS_65ov_LoE_NS_F,IS_NS_65ov_Tot_F,IS_NS_Tot_PD_GD_GCL_F,IS_NS_Tot_BDL_F,IS_NS_Tot_ADip_DipL_F,IS_NS_Tot_Ct_III_IV_F,IS_NS_Tot_Ct_I_II_F,IS_NS_tot_CL_nfd_F,IS_NS_Tot_LoE_NS_F,IS_NS_Tot_Tot_F,Tot_15_19_PD_GD_GCL_F,Tot_15_19_BDL_F,Tot_15_19_ADip_DipL_F,Tot_15_19_Ct_III_IV_F,Tot_15_19_Ct_I_II_F,Tot_15_19_CL_nfd_F,Tot_15_19_LoE_NS_F,Tot_15_19_Tot_F,Tot_20_24_PD_GD_GCL_F,Tot_20_24_BDL_F,Tot_20_24_ADip_DipL_F,Tot_20_24_Ct_III_IV_F,Tot_20_24_Ct_I_II_F,Tot_20_24_CL_nfd_F,Tot_20_24_LoE_NS_F,Tot_20_24_Tot_F,Tot_25_34_PD_GD_GCL_F,Tot_25_34_BDL_F,Tot_25_34_ADip_DipL_F,Tot_25_34_Ct_III_IV_F,Tot_25_34_Ct_I_II_F,Tot_25_34_CL_nfd_F,Tot_25_34_LoE_NS_F,Tot_25_34_Tot_F,Tot_35_44_PD_GD_GCL_F,Tot_35_44_BDL_F,Tot_35_44_ADip_DipL_F,Tot_35_44_Ct_III_IV_F,Tot_35_44_Ct_I_II_F,Tot_35_44_CL_nfd_F,Tot_35_44_LoE_NS_F,Tot_35_44_Tot_F,Tot_45_54_PD_GD_GCL_F,Tot_45_54_BDL_F,Tot_45_54_ADip_DipL_F,Tot_45_54_Ct_III_IV_F,Tot_45_54_Ct_I_II_F,Tot_45_54_CL_nfd_F,Tot_45_54_LoE_NS_F,Tot_45_54_Tot_F,Tot_55_64_PD_GD_GCL_F,Tot_55_64_BDL_F,Tot_55_64_ADip_DipL_F,Tot_55_64_Ct_III_IV_F,Tot_55_64_Ct_I_II_F,Tot_55_64_CL_nfd_F,Tot_55_64_LoE_NS_F,Tot_55_64_Tot_F,Tot_65ov_PtgdDe_GdDp_GdCt_F,Tot_65ov_BDL_F,Tot_65ov_ADip_DipL_F,Tot_65ov_Ct_III_IV_F,Tot_65ov_Ct_I_II_F,Tot_65ov_CL_nfd_F,Tot_65ov_LoE_NS_F,Tot_65ov_Tot_F,Tot_Tot_PD_GD_GCL_F,Tot_Tot_BDL_F,Tot_Tot_ADip_DipL_F,Tot_Tot_Ct_III_IV_F,Tot_Tot_Ct_I_II_F,Tot_tot_CL_nfd_F,Tot_Tot_LoE_NS_F,Tot_Tot_Tot_F,Ind_15_19_PD_GD_GCL_P,Ind_15_19_BDL_P,Ind_15_19_ADip_DipL_P,Ind_15_19_Ct_III_IV_P,Ind_15_19_Ct_I_II_P,Ind_15_19_CL_nfd_P,Ind_15_19_LoE_NS_P,Ind_15_19_Tot_P,Ind_20_24_PD_GD_GCL_P,Ind_20_24_BDL_P,Ind_20_24_ADip_DipL_P,Ind_20_24_Ct_III_IV_P,Ind_20_24_Ct_I_II_P,Ind_20_24_CL_nfd_P,Ind_20_24_LoE_NS_P,Ind_20_24_Tot_P,Ind_25_34_PD_GD_GCL_P,Ind_25_34_BDL_P,Ind_25_34_ADip_DipL_P,Ind_25_34_Ct_III_IV_P,Ind_25_34_Ct_I_II_P,Ind_25_34_CL_nfd_P,Ind_25_34_LoE_NS_P,Ind_25_34_Tot_P,Ind_35_44_PD_GD_GCL_P,Ind_35_44_BDL_P,Ind_35_44_ADip_DipL_P,Ind_35_44_Ct_III_IV_P,Ind_35_44_Ct_I_II_P,Ind_35_44_CL_nfd_P,Ind_35_44_LoE_NS_P,Ind_35_44_Tot_P,Ind_45_54_PD_GD_GCL_P,Ind_45_54_BDL_P,Ind_45_54_ADip_DipL_P,Ind_45_54_Ct_III_IV_P,Ind_45_54_Ct_I_II_P,Ind_45_54_CL_nfd_P,Ind_45_54_LoE_NS_P,Ind_45_54_Tot_P,Ind_55_64_PD_GD_GCL_P,Ind_55_64_BDL_P,Ind_55_64_ADip_DipL_P,Ind_55_64_Ct_III_IV_P,Ind_55_64_Ct_I_II_P,Ind_55_64_CL_nfd_P,Ind_55_64_LoE_NS_P,Ind_55_64_Tot_P,Ind_65ov_PtgdDe_GdDp_GdCt_P,Ind_65ov_BDL_P,Ind_65ov_ADip_DipL_P,Ind_65ov_Ct_III_IV_P,Ind_65ov_Ct_I_II_P,Ind_65ov_CL_nfd_P,Ind_65ov_LoE_NS_P,Ind_65ov_Tot_P,Ind_Tot_PD_GD_GCL_P,Ind_Tot_BDL_P,Ind_Tot_ADip_DipL_P,Ind_Tot_Ct_III_IV_P,Ind_Tot_Ct_I_II_P,Ind_tot_CL_nfd_P,Ind_Tot_LoE_NS_P,Ind_Tot_Tot_P,NonI_15_19_PD_GD_GCL_P,NonI_15_19_BDL_P,NonI_15_19_ADip_DipL_P,NonI_15_19_Ct_III_IV_P,NonI_15_19_Ct_I_II_P,NonI_15_19_CL_nfd_P,NonI_15_19_LoE_NS_P,NonI_15_19_Tot_P,NonI_20_24_PD_GD_GCL_P,NonI_20_24_BDL_P,NonI_20_24_ADip_DipL_P,NonI_20_24_Ct_III_IV_P,NonI_20_24_Ct_I_II_P,NonI_20_24_CL_nfd_P,NonI_20_24_LoE_NS_P,NonI_20_24_Tot_P,NonI_25_34_PD_GD_GCL_P,NonI_25_34_BDL_P,NonI_25_34_ADip_DipL_P,NonI_25_34_Ct_III_IV_P,NonI_25_34_Ct_I_II_P,NonI_25_34_CL_nfd_P,NonI_25_34_LoE_NS_P,NonI_25_34_Tot_P
5GPER,11,35,13,40,7,0,6558,6675,13,68,28,36,11,3,5309,5470,15,46,53,54,3,12,4314,4498,27,40,35,46,7,16,3543,3727,23,85,78,66,11,32,6107,6403,96,297,218,268,52,73,30138,31142,29,45,503,4306,2529,454,2788,10652,1485,12356,5206,10965,2699,853,4090,37657,19911,48227,16541,23851,2571,1847,10725,123684,23020,46482,19410,20956,2216,2961,9729,124780,15923,31059,19030,18473,1935,4237,8501,99160,10553,19069,16506,13941,1699,4159,8396,74324,7643,18263,16123,9235,1646,5201,23239,81348,78555,175500,93317,101736,15297,19727,67473,551599,3,0,19,284,185,25,215,736,14,146,124,798,267,44,146,1544,135,476,445,1842,262,88,271,3518,168,348,342,1118,95,83,217,2374,172,285,369,744,70,57,232,1935,112,202,250,481,36,62,231,1371,62,144,125,226,11,35,232,837,666,1593,1680,5497,932,397,1547,12308,35,75,848,7831,4912,718,1834,16257,2470,21028,8926,22392,5194,1412,3134,64557,32848,80451,28492,59769,4467,3109,8002,217151
5RWAU,3,11,7,19,6,0,3106,3157,3,19,20,30,3,7,2952,3038,9,16,15,27,3,0,2770,2845,11,25,17,32,0,4,2501,2586,3,17,23,20,3,6,3155,3228,26,92,78,140,22,26,16706,17084,4,0,82,1137,766,109,1591,3689,167,1152,587,2643,939,179,1533,7207,1952,6488,2999,6627,1101,476,4098,23732,2470,7025,3868,6543,874,702,4065,25547,2058,5432,4067,5802,727,1015,3986,23081,1738,3871,4178,4514,584,1034,4034,19957,1354,3626,4050,2680,450,1037,7794,20998,9739,27599,19832,29943,5442,4551,27097,124202,0,0,0,159,186,26,449,824,0,19,40,530,204,49,271,1120,40,130,162,1310,267,99,499,2508,62,141,245,1103,169,92,453,2264,58,186,239,786,105,79,432,1882,57,164,186,476,84,62,372,1407,31,79,111,192,20,40,396,864,253,716,986,4553,1038,447,2874,10870,8,3,103,1901,1291,142,660,4117,214,1596,803,5596,1544,261,576,10592,2808,9379,4382,17176,1484,666,1654,37556
59499,0,0,0,0,0,0,100,99,0,0,0,0,0,0,64,64,0,0,0,0,0,0,62,62,0,0,0,0,0,0,69,68,0,0,0,0,0,0,50,50,0,0,0,3,0,0,405,410,0,0,0,3,6,0,60,76,0,40,8,25,16,0,107,196,54,140,48,65,12,0,269,590,27,80,44,69,3,4,284,509,16,27,27,48,4,4,230,363,21,36,45,47,4,19,165,340,17,13,20,25,0,8,132,214,138,340,190,286,49,42,1248,2290,0,0,0,0,0,0,40,45,0,0,3,6,4,0,60,78,0,3,0,11,5,0,192,213,0,4,0,16,5,0,297,319,0,0,4,13,0,0,254,277,0,0,6,4,0,0,128,142,0,0,0,4,0,0,73,76,0,9,11,54,15,5,1055,1146,0,0,0,13,7,0,37,52,0,56,18,61,20,3,83,227,75,218,78,180,15,11,228,801
59799,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,8,0,4,4,3,0,0,3,12,0,0,0,0,0,0,5,6,0,0,4,0,0,0,8,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,9,7,3,3,0,24,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,0,0,0,0,0,4,0,4,0,8,0,0,3,14,0,14,7,28,0,6,6,47
