GCCSA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
5GPER,68940,135034,4019,2370,6392,71155,72329,143484,1010,1008,2015,63691,66634,130321,3762,2418,6181,68465,70055,138515,839,995,1829,62848,65468,128320,3672,2227,5900,67358,68693,136051,755,838,1590,57782,61056,118844,3200,2087,5287,61737,63977,125717,547,635,1184,52200,56690,108884,2554,1847,4400,55301,59167,114471,847,1078,1924,147290,171090,318378,6409,7176,13584,154543,179344,333883,21295,20787,42083,974609,1011622,1986237,49264,39069,88333,1045169,1071480,2116647
5RWAU,14011,28053,2140,1445,3583,17476,16769,34251,1218,1224,2439,14700,14607,29306,2205,1434,3637,18113,17268,35382,1093,1263,2363,15499,15248,30747,2278,1502,3786,18866,18016,36883,969,1076,2042,15671,15239,30907,2080,1445,3521,18715,17759,36478,810,856,1662,15523,15346,30870,1801,1241,3041,18136,17441,35576,1187,1515,2702,41865,41827,83695,3816,3549,7367,46869,46893,93764,22598,22510,45110,221706,217643,439345,28281,22067,50348,272586,262218,534804
59499,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
59799,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
