GCCSA_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
5GPER,21295,20787,42083,974609,1011622,1986237,49264,39069,88333,1045169,1071480,2116647,2439,2264,4706,62134,58684,120819,2127,1950,4072,66701,62896,129598,4893,4594,9483,129908,123036,252944,4728,4487,9213,139523,132116,271642,4124,3827,7952,120991,117103,238102,5310,4587,9896,130425,125522,255946,5848,5550,11400,277765,291857,569617,17504,12297,29801,301114,309712,610826,3148,3471,6617,236527,249851,486373,13196,8572,21766,252863,261895,514753,847,1078,1924,147290,171090,318378,6409,7176,13584,154543,179344,333883,19953,19708,39662,930417,979164,1909582,32530,32207,64737,982901,1031081,2013982,57,45,99,1362,1326,2689,83,85,169,1499,1454,2954,26,10,38,745,563,1310,193,61,252,967,629,1599,11,10,22,750,654,1397,122,38,160,884,697,1584,23,7,33,582,308,894,191,32,225,797,354,1153,7,5,9,307,138,447,120,18,133,433,163,592,1428,1334,2756,19504,19660,39165,3274,3125,6396,24199,24118,48324,6,5,13,173,195,362,43,27,67,223,225,442,16,9,23,141,129,277,37,15,53,192,155,348,0,0,0,79,80,161,25,13
5RWAU,22598,22510,45110,221706,217643,439345,28281,22067,50348,272586,262218,534804,2380,2105,4488,12732,12177,24914,1285,1172,2458,16402,15458,31859,4886,4715,9596,28868,27133,56001,3229,3092,6317,36983,34933,71916,4025,3839,7859,22104,20161,42264,2801,2336,5139,28933,26337,55267,6038,5909,11945,54739,55901,110643,8791,6298,15092,69567,68116,137683,4083,4426,8506,61388,60443,121825,8362,5620,13977,73834,70484,144314,1187,1515,2702,41865,41827,83695,3816,3549,7367,46869,46893,93764,21059,21021,42082,204726,204188,408912,23402,19545,42946,249186,244752,493940,134,146,280,803,679,1479,102,78,187,1041,906,1948,54,24,81,1601,1290,2889,386,155,541,2040,1473,3513,21,10,35,2119,1871,3992,476,280,757,2617,2165,4784,56,32,85,1894,1167,3062,708,178,886,2652,1380,4034,28,32,59,1087,792,1876,315,133,450,1430,956,2388,1856,1534,3393,36122,21359,57482,16277,5346,21620,54259,28239,82498,9,15,22,405,302,709,106,52,161,525,365,888,37,33,66,269,171,442,85,36,123,389,243,628,3,0,3,98,95,185,18,14
59499,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055,36,37,69,92,91,188,25,16,42,149,153,300,36,46,82,187,166,349,24,18,40,244,230,473,88,106,188,268,237,507,62,68,126,414,410,820,336,269,603,1105,870,1979,305,163,467,1753,1309,3053,281,183,458,959,632,1593,265,134,403,1510,950,2455,46,40,84,434,281,715,94,53,150,578,373,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,7,3,9,256,32,293,193,19,218,455,58,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,22,15,9,18,30,13,42,6,0,4,145,16,156,109,11,119,262,28,284,4,0,5,90,10,97,66,7,72,156,16,172,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,251,33,285,193,20,214,455,57,511,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,66,9,75,49,6,59,121,20,134,0,0,0,39,8,52,31,3,34,72,7,82,0,0,3,102,13,118,68,7,68,173,22,192,0,0,0,34,6,40,20,4,26,53,4,64,25,3,25,1030,186,1213,857,79,933,1906,271,2175,0,0,0,25,4,29,15,0,15,35,4,42,0,0,0,24,5,27,14,0,13,39,0,47,0,0,0,3,0,6,0,0
