GCCSA_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
5GPER,40,106,95,199,0,0,0,39,31,71,0,3,9,46,35,83,1506,1389,2898,22330,21755,44087,4008,3333,7339,27842,26477,54321,1564,1437,2995,23695,23081,46774,4087,3417,7504,29342,27934,57274,17797,18480,36278,754488,769372,1523860,2947,2939,5889,775235,790789,1566027,861,998,1855,51,64,118,0,4,4,907,1066,1978,331,263,596,207607,230869,438473,513,646,1158,208448,231777,440228,26,26,43,0,0,3,0,0,0,21,26,48,818,964,1781,48,66,110,0,4,4,866,1034,1901,100,80,178,22284,30379,52667,61,105,164,22439,30563,52999,5994,6952,12953,398990,468451,867439,1685,2077,3763,406669,477484,884151,10,15,26,25524,24036,49557,35,48,81,25567,24094,49662,95,91,189,32183,30295,62479,121,111,222,32400,30497,62899,9,9,11,2599,2795,5392,11,15,25,2612,2815,5424,65,54,116,0,7,5,0,0,0,66,58,126,55,102,156,13161,13554,26718,30,37,69,13249,13691,26939,120,152,274,13163,13560,26723,34,37,66,13314,13748,27064,12606,12518,25121,449523
5RWAU,35,116,112,226,0,0,0,4,6,15,0,0,0,4,6,14,2062,1684,3745,43598,27052,70645,18375,6205,24577,64035,34933,98966,2198,1831,4025,44398,27730,72127,18477,6283,24762,65075,35840,100912,15650,16171,31821,200993,196522,397514,1569,1536,3099,218211,214225,432431,4499,4832,9335,68,65,135,13,17,28,4576,4916,9490,210,157,371,17315,18836,36154,147,131,278,17674,19122,36800,332,279,614,3,0,5,0,4,4,334,283,619,4057,4447,8503,59,64,125,8,8,18,4128,4522,8647,39,49,88,1611,2834,4445,12,24,32,1663,2902,4566,8581,9960,18543,88434,99200,187629,813,856,1667,97829,110008,207834,11,9,13,1290,1062,2350,0,7,4,1296,1072,2368,40,24,63,1987,1720,3704,18,11,32,2043,1758,3796,0,0,7,113,113,229,0,0,0,123,113,232,489,463,952,3,4,14,0,4,5,496,471,969,41,61,97,937,1205,2141,7,10,19,984,1273,2261,529,525,1056,942,1213,2155,10,11,20,1483,1748,3232,10180,9686,19860,118946
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,173,371,1966,1708,3672,24,16,39,2185,1896,4079,8,15,21,0,0,0,0,0,0,14,15,24,3,0,3,232,228,459,0,0,4,231,228,462,0,0,3,0,0,0,0,0,0,0,0,3,6,12,18,0,0,0,0,0,0,5,12,21,0,0,0,32,16,40,0,0,0,27,16,48,54,63,115,710,714,1425,4,9,17,772,780,1550,0,0,0,17,8,23,0,0,0,17,8,23,0,0,0,33,27,57,0,0,0,33,27,57,0,0,0,6,7,15,0,0,0,10,7,14,0,0,3,0,0,0,0,0,0,0,4,5,0,4,6,16,14,33,0,0,0,15,20,40,3,5,4,16,20,34,0,0,0,17,24,40,138,116,250,1298
59799,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,31,5,36,1321,230,1554,1053,101,1154,2404,338,2739,31,5,36,1321,230,1554,1053,101,1154,2404,338,2739,6,3,11,195,28,221,3,0,3,206,29,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,69,0,0,0,60,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,5,3,11,3,0,3,110,14,120,0,0,0,112,14,124,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,9,0,9,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,118
