GCCSA_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
5GPER,13964,13928,27893,782574,829904,1612472,42415,32634,75049,838947,876467,1715415,6881,6392,13272,541637,501681,1043322,1321,977,2295,549839,509051,1058890,1271,1080,2347,29225,27168,56393,102,86,184,30595,28323,58919,8149,7473,15624,570866,528845,1099709,1421,1057,2475,580432,537374,1117807,5433,6099,11537,203494,291631,495124,1382,1861,3243,210306,299590,509895,373,357,738,8214,9428,17641,39615,29714,69329,48205,39502,87706,15.6,14.4,15,5.1,5.1,5.1,7,7.9,7.4,5.3,5.3,5.3,58.4,53.6,56,72.9,63.7,68.2,3.3,3.2,3.3,69.2,61.3,65.2,49.3,45.9,47.6,69.2,60.5,64.7,3.1,3,3.1,65.5,58.1,61.7,870,1597,2464,57794,96417,154208,82,144,226,58747,98152,156899,5868,4668,10541,477537,400619,878155,1139,756,1896,484549,406047,890592,201,182,379,34409,25303,59707,92,51,142,34695,25534,60231,148,226,377,50816,49903,100717,66,50,110,51024,50178,101204,95,194,292,14580,28138,42718,25,45,70,14697,28381,43076,562,1036,1593,133983,174168,308147,216,297,515,134759,175500,310258,596,1076,1680,73246,92021,165265,180,218,401,74022,93317,167344,2983,2514,5497,185585,98955,284537,679,268
5RWAU,15331,15697,31021,180102,178330,358439,23768,17804,41571,219201,211827,431032,5968,5530,11500,123869,108868,232739,709,529,1237,130548,114926,245471,1310,981,2293,4532,3773,8311,46,33,79,5900,4790,10691,7277,6512,13796,128407,112640,241048,754,561,1321,136444,119717,256160,7292,8477,15768,49427,63516,112939,546,719,1262,57261,72708,129971,754,708,1467,2278,2175,4450,22470,16528,38991,25497,19408,44906,18,15.1,16.6,3.5,3.4,3.4,6.6,5.7,6.2,4.3,4,4.2,47.5,41.5,44.5,71.3,63.2,67.2,3.2,3.2,3.2,62.2,56.5,59.4,38.9,35.2,37.1,68.8,61,64.9,3,3,3,59.6,54.3,57,715,1281,1996,11165,21919,33086,33,68,105,11916,23272,35191,5030,4080,9108,111196,85750,196944,613,414,1026,116841,90239,207081,120,106,224,8611,5987,14603,52,29,75,8788,6115,14905,40,72,111,3807,4608,8416,11,13,25,3857,4693,8556,40,109,148,1905,4922,6827,6,14,18,1950,5039,6988,181,531,716,14916,26969,41885,44,92,139,15144,27599,42739,312,680,986,12741,19070,31812,63,78,142,13115,19832,32946,2644,1910,4553,57566,27896,85465,336,140
59499,749,597,1349,2772,2019,4792,731,417,1145,4247,3030,7285,47,33,79,844,681,1526,8,0,8,899,715,1614,25,25,51,201,136,339,0,4,3,227,160,392,74,56,132,1040,820,1859,7,6,17,1125,875,2000,90,94,179,886,870,1758,14,10,24,990,967,1955,583,454,1038,843,337,1180,708,405,1111,2132,1193,3326,38.2,39.6,38.8,19.1,16.7,18.1,11.1,75,30.8,20.3,18.4,19.5,10.2,8.9,9.6,37.6,40.5,38.8,1.2,1,1.1,26.5,28.8,27.5,6.3,5.4,5.9,30.4,33.7,31.8,1.1,0.2,0.8,21.1,23.5,22.1,6,5,6,43,91,134,0,0,0,46,95,142,38,25,63,792,586,1377,8,0,8,839,610,1447,0,6,7,52,27,81,0,0,0,52,30,87,0,3,0,60,87,145,0,0,0,64,90,148,0,0,0,29,50,74,0,0,0,29,49,77,4,3,9,223,333,560,0,0,0,227,340,563,5,4,11,142,182,323,0,0,0,143,190,335,34,15,54,616,268,888,4,3
59799,7,3,9,256,38,294,193,19,218,455,61,516,6,3,11,242,27,267,3,0,3,246,29,277,0,0,0,3,0,3,0,0,0,3,0,3,6,3,11,241,27,269,3,0,3,252,29,277,0,0,0,12,9,19,0,0,0,12,9,18,0,0,0,3,0,3,191,19,214,195,19,220,0,0,0,1.2,0,1.1,0,0,0,1.2,0,1.1,87.5,100,90,94.1,80,92.4,1,0,0.9,54.6,50.8,54.2,87.5,100,90,93,80,91.4,1,0,0.9,53.9,50.8,53.6,0,0,0,4,0,4,0,0,0,4,0,4,6,3,11,237,27,264,3,0,3,244,29,273,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,5,0,3,0,0,0,5,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,31,9,37,0,0,0,36,9,39,0,0,3,22,5,28,0,0,0,24,7,35,5,0,5,96,3,101,0,0
