GCCSA_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
5GPER,40784,79760,34950,55376,3309,4620,8571,227364,29504,55392,33198,50382,2680,6148,7858,185167,20547,35711,28198,44448,2267,5934,8033,145135,17247,35734,30648,44342,2214,7967,26465,164617,143429,308147,165265,284537,25044,29906,63899,1020234,0,0,4,28,12,0,3684,3731,3,33,15,67,5,3,5559,5684,23,62,36,104,14,11,15249,15490,25,113,64,127,14,7,13566,13916,25,75,87,167,14,14,11399,11782,42,76,68,175,9,23,8888,9283,53,152,138,279,11,44,11677,12354,178,515,401,947,69,106,70025,72244,39,74,868,8149,5098,748,5734,20719,2493,21204,9069,23253,5463,1465,8843,71783,33012,80990,28968,61714,4744,3205,23522,236157,40977,80215,35353,56622,3427,4711,22357,243656,29703,55761,33654,51297,2765,6214,19486,198878,20705,35983,28515,45104,2307,6016,17154,155788,17363,36038,30915,44845,2237,8046,38370,177804,144284,310258,167344,290986,26049,30407,135470,1104787
5RWAU,3667,10264,6210,17424,1102,1025,1794,41489,3227,8264,6516,16232,912,1429,2020,38605,2762,6098,6669,14511,758,1534,2417,34760,2558,6283,7131,12617,636,1817,7239,38280,15245,41885,31812,85465,7733,6885,16368,205392,0,0,0,10,0,4,2233,2244,0,3,3,17,7,3,2624,2658,7,20,14,58,6,3,7368,7472,6,24,36,84,5,12,7226,7398,8,29,21,84,0,7,7082,7239,11,28,23,117,5,5,6159,6354,8,39,39,107,6,16,6617,6827,45,139,142,483,36,43,39304,40192,6,5,105,2075,1482,174,3342,7185,215,1616,854,6145,1754,312,3472,14371,2854,9526,4553,18550,1765,764,9521,47536,3739,10426,6483,18610,1277,1133,9475,51145,3296,8472,6779,17101,1020,1518,9532,47727,2834,6293,6884,15103,844,1603,8951,42516,2599,6396,7280,12911,665,1864,14250,45971,15542,42739,32946,90496,8807,7373,58547,256450
59499,44,130,68,191,10,7,309,758,33,58,47,154,7,9,289,596,40,62,67,158,7,24,193,547,28,44,48,142,4,11,142,412,219,560,323,888,74,61,1275,3397,0,0,0,0,0,0,27,27,0,0,0,0,0,0,93,99,0,0,0,3,0,0,249,253,0,0,0,0,0,0,210,209,0,0,0,0,0,0,201,203,0,0,0,5,0,0,186,186,0,0,0,0,0,0,140,138,0,0,0,7,0,0,1113,1122,0,0,0,14,11,0,102,131,0,54,18,68,23,3,239,400,76,221,79,191,22,11,673,1270,44,131,71,203,15,6,815,1293,31,58,50,162,10,14,753,1073,43,60,77,158,7,23,508,876,30,44,44,143,4,14,353,628,225,563,335,946,85,66,3446,5668
59799,0,11,8,35,0,4,6,69,3,8,4,20,0,0,6,39,0,10,0,7,0,3,0,19,0,0,3,0,0,0,0,9,7,37,28,101,4,8,18,206,0,0,0,0,0,0,5,5,0,0,0,0,0,0,15,15,0,0,0,0,0,0,47,47,0,0,0,0,0,0,72,72,0,0,0,0,0,0,47,47,0,0,0,0,0,0,21,21,0,0,0,0,0,0,3,8,0,0,0,0,0,0,211,218,0,0,0,0,0,0,3,3,0,4,0,8,0,0,17,32,0,14,7,26,4,6,49,97,0,13,11,39,0,4,84,145,3,8,4,15,0,0,54,92,0,10,0,7,0,3,21,48,0,0,4,0,0,0,3,15,7,39,35,100,4,7,233,428
