GCCSA_CODE_2021,Age_14_IndSt_nsP,Age_14_TotM,Age_14_TotF,Age_14_TotP,Age_10_14_Indig_M,Age_10_14_Indig_F,Age_10_14_Indig_P,Age_10_14_NonInd_M,Age_10_14_NonInd_F,Age_10_14_NonInd_P,Age_10_14_Indig_st_nsM,Age_10_14_Indig_st_nsF,Age_10_14_Indig_st_nsP,Age_10_14_TotM,Age_10_14_TotF,Age_10_14_TotP,Age_15_Indig_M,Age_15_Indig_F,Age_15_Indig_P,Age_15_NonInd_M,Age_15_NonInd_F,Age_15_NonInd_P,Age_15_Indig_st_nsM,Age_15_Indig_st_nsF,Age_15_Indig_st_nsP,Age_15_TotM,Age_15_TotF,Age_15_TotP,Age_16_Indig_M,Age_16_Indig_F,Age_16_Indig_P,Age_16_NonInd_M,Age_16_NonInd_F,Age_16_NonInd_P,Age_16_IndigStat_nsM,Age_16_IndigStat_nsF,Age_16_IndigStat_nsP,Age_16_TotM,Age_16_TotF,Age_16_TotP,Age_17_Indig_M,Age_17_Indig_F,Age_17_Indig_P,Age_17_NonInd_M,Age_17_NonInd_F,Age_17_NonInd_P,Age_17_IndigStat_nsM,Age_17_IndigStat_nsF,Age_17_IndigStat_nsP,Age_17_TotM,Age_17_TotF,Age_17_TotP,Age_18_Indig_M,Age_18_Indig_F,Age_18_Indig_P,Age_18_NonInd_M,Age_18_NonInd_F,Age_18_NonInd_P,Age_18_IndigStat_nsM,Age_18_IndigStat_nsF,Age_18_IndigStat_nsP,Age_18_TotM,Age_18_TotF,Age_18_TotP,Age_19_Indig_M,Age_19_Indig_F,Age_19_Indig_P,Age_19_NonInd_M,Age_19_NonInd_F,Age_19_NonInd_P,Age_19_IndigStat_nsM,Age_19_IndigStat_nsF,Age_19_IndigStat_nsP,Age_19_TotM,Age_19_TotF,Age_19_TotP,Age_15_19_Indig_M,Age_15_19_Indig_F,Age_15_19_Indig_P,Age_15_19_NonInd_M,Age_15_19_NonInd_F,Age_15_19_NonInd_P,Age_15_19_IndSt_nsM,Age_15_19_IndSt_nsF,Age_15_19_IndSt_nsP,Age_15_19_TotM,Age_15_19_TotF,Age_15_19_TotP,Age_20_Indig_M,Age_20_Indig_F,Age_20_Indig_P,Age_20_NonInd_M,Age_20_NonInd_F,Age_20_NonInd_P,Age_20_Ind_status_nsM,Age_20_Ind_status_nsF,Age_20_Ind_status_nsP,Age_20_TotM,Age_20_TotF,Age_20_TotP,Age_21_Indig_M,Age_21_Indig_F,Age_21_Indig_P,Age_21_NonInd_M,Age_21_NonInd_F,Age_21_NonInd_P,Age_21_Ind_status_nsM,Age_21_Ind_status_nsF,Age_21_Ind_status_nsP,Age_21_TotM,Age_21_TotF,Age_21_TotP,Age_22_Indig_M,Age_22_Indig_F,Age_22_Indig_P,Age_22_NonInd_M,Age_22_NonInd_F,Age_22_NonInd_P,Age_22_Indig_st_nsM,Age_22_Indig_st_nsF,Age_22_Indig_st_nsP,Age_22_TotM,Age_22_TotF,Age_22_TotP,Age_23_Indig_M,Age_23_Indig_F,Age_23_Indig_P,Age_23_NonInd_M,Age_23_NonInd_F,Age_23_NonInd_P,Age_23_Indig_st_nsM,Age_23_Indig_st_nsF,Age_23_Indig_st_nsP,Age_23_TotM,Age_23_TotF,Age_23_TotP,Age_24_Indig_M,Age_24_Indig_F,Age_24_Indig_P,Age_24_NonInd_M,Age_24_NonInd_F,Age_24_NonInd_P,Age_24_Indig_st_nsM,Age_24_Indig_st_nsF,Age_24_Indig_st_nsP,Age_24_TotM,Age_24_TotF,Age_24_TotP,Age_20_24_Indig_M,Age_20_24_Indig_F,Age_20_24_Indig_P,Age_20_24_NonInd_M,Age_20_24_NonInd_F,Age_20_24_NonInd_P,Age_20_24_Indig_st_nsM,Age_20_24_Indig_st_nsF,Age_20_24_Indig_st_nsP,Age_20_24_TotM,Age_20_24_TotF,Age_20_24_TotP,Age_25_29_Indig_M,Age_25_29_Indig_F,Age_25_29_Indig_P,Age_25_29_NonInd_M,Age_25_29_NonInd_F,Age_25_29_NonInd_P,Age_25_29_Indig_st_nsM,Age_25_29_Indig_st_nsF,Age_25_29_Indig_st_nsP,Age_25_29_TotM,Age_25_29_TotF,Age_25_29_TotP,Age_30_34_Indig_M,Age_30_34_Indig_F,Age_30_34_Indig_P,Age_30_34_NonInd_M,Age_30_34_NonInd_F,Age_30_34_NonInd_P,Age_30_34_Indig_st_nsM,Age_30_34_Indig_st_nsF,Age_30_34_Indig_st_nsP,Age_30_34_TotM,Age_30_34_TotF,Age_30_34_TotP,Age_35_39_Indig_M,Age_35_39_Indig_F,Age_35_39_Indig_P,Age_35_39_NonInd_M,Age_35_39_NonInd_F,Age_35_39_NonInd_P,Age_35_39_Indig_st_nsM,Age_35_39_Indig_st_nsF,Age_35_39_Indig_st_nsP,Age_35_39_TotM,Age_35_39_TotF,Age_35_39_TotP,Age_40_44_Indig_M,Age_40_44_Indig_F,Age_40_44_Indig_P,Age_40_44_NonInd_M
5GPER,894,13933,12985,26921,2398,2351,4748,64886,61077,125963,2345,2168,4513,69632,65588,135222,486,434,917,12375,11741,24119,442,425,869,13309,12596,25906,461,442,902,11921,11192,23112,387,352,741,12768,11988,24753,382,411,787,11826,10966,22791,369,350,720,12570,11723,24293,420,362,784,11316,11167,22486,399,405,804,12130,11937,24064,384,368,745,11485,11126,22615,494,442,937,12362,11936,24299,2122,2015,4138,58923,56191,115119,2095,1974,4064,63138,60176,123315,392,366,756,12211,11746,23960,542,446,989,13144,12557,25700,407,365,774,12349,12268,24618,597,476,1071,13354,13106,26454,436,357,797,12530,12259,24794,650,541,1193,13621,13155,26774,399,351,756,12443,12175,24621,684,574,1251,13523,13104,26623,366,375,742,12542,12463,25002,739,584,1326,13645,13424,27069,1996,1817,3813,62069,60912,122987,3218,2618,5827,67284,65344,132631,1846,1767,3613,65512,67105,132620,4206,3418,7619,71559,72285,143850,1650,1527,3175,71319,77505,148824,4736,3314,8048,77701,82350,160051,1308,1246,2550,74840,78299,153142,4544,3195,7741,80691,82738,163435,1046,1013,2062,66090
5RWAU,625,3622,3517,7137,2403,2448,4851,14396,13580,27973,1601,1519,3119,18396,17547,35939,511,513,1023,2621,2589,5209,278,255,534,3414,3352,6770,485,417,899,2562,2380,4944,259,230,494,3303,3026,6333,421,403,826,2577,2338,4909,238,226,468,3234,2969,6207,388,412,798,2203,1931,4136,255,204,459,2841,2552,5394,397,378,775,1969,1764,3732,252,211,461,2613,2350,4965,2200,2124,4325,11939,10996,22930,1276,1136,2416,15418,14251,29670,358,373,739,1962,1605,3565,232,200,431,2557,2179,4735,361,354,717,1985,1680,3663,253,206,462,2599,2245,4845,381,359,743,2012,1818,3826,315,228,543,2708,2407,5116,365,329,694,2043,1957,3996,359,275,633,2769,2565,5325,354,301,649,2169,2113,4281,366,284,646,2880,2690,5572,1820,1716,3539,10166,9169,19336,1526,1201,2724,13513,12084,25595,1685,1633,3322,12230,12174,24404,2141,1522,3666,16061,15324,31391,1632,1523,3155,13864,14498,28365,2227,1687,3910,17722,17709,35428,1427,1434,2860,14597,15222,29826,2280,1643,3929,18307,18303,36610,1291,1318,2605,14044
59499,0,21,20,41,18,14,30,83,76,159,13,7,25,116,101,212,4,5,5,10,6,23,4,7,3,17,20,38,8,6,12,9,15,29,0,5,8,11,25,42,4,10,19,14,19,32,5,4,9,20,28,52,9,16,21,18,24,45,3,5,6,22,44,71,11,10,14,23,15,41,8,0,7,36,30,65,28,42,68,74,91,166,18,13,31,118,147,261,18,18,39,33,28,59,7,12,21,65,63,123,6,11,18,37,27,60,8,7,13,48,40,88,14,12,22,34,21,55,14,8,19,66,38,103,11,5,12,49,34,77,12,3,13,62,41,102,12,16,28,47,44,86,6,17,29,63,84,141,61,61,119,194,145,344,43,51,93,295,256,562,59,59,115,248,244,497,77,59,137,385,358,744,61,66,127,291,226,518,80,43,123,433,339,773,87,72,155,286,210,500,74,37,109,449,315,769,121,79,202,277
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,4,3,6,0,0,0,0,3,3,0,4,5,0,3,4,0,0,0,4,0,9,0,0,0,9,0,7,0,0,0,0,0,3,0,0,3,9,3,10,0,0,0,9,5,15,13,5,15,25,11,31,0,0,0,26,8,32,22,3,21,49,7,54,0,0,0,28,5,32,22,0,22,48,5,54,4,0,5,44,4,45,40,3,39,85,10,92,0,0,0,46
