SA2_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
501011001,176,327,175,128,123,68,0,999,96,221,192,164,168,47,0,893,45,86,74,72,94,38,0,403,10,21,15,10,70,20,0,148,938,1521,808,667,812,439,28,5210
501011003,282,601,289,157,188,136,5,1659,210,488,327,243,232,124,0,1621,99,160,116,105,134,74,3,692,25,27,16,9,45,15,0,145,1982,2961,1461,1041,1298,751,29,9520
501011004,226,456,223,100,139,105,5,1250,119,304,200,118,143,69,0,957,41,65,58,50,105,18,0,338,26,13,9,5,57,13,0,140,1648,2382,1094,755,1329,663,63,7934
501011293,224,411,198,101,224,79,3,1235,161,343,259,190,269,59,0,1284,91,149,118,96,173,56,0,685,32,39,24,18,56,16,0,186,1446,2202,1038,764,1544,460,9,7454
501011294,422,812,352,214,447,137,3,2386,293,613,466,343,572,126,0,2418,155,318,231,188,480,99,0,1467,75,82,57,46,381,76,0,714,3015,4285,2133,1577,3449,859,31,15344
501021005,357,736,356,241,435,90,6,2222,193,483,308,266,422,64,0,1733,102,189,154,112,248,39,0,842,25,44,21,16,73,11,0,190,2806,4180,1917,1602,2994,529,13,14038
501021007,142,265,134,99,120,41,0,799,69,149,105,121,155,40,0,641,29,64,43,45,73,28,0,286,10,6,5,4,27,10,0,56,803,1189,590,526,766,268,4,4140
501021008,138,247,123,71,207,84,0,868,79,132,100,77,228,61,0,679,38,71,47,49,154,34,0,394,14,27,12,10,124,30,0,208,965,1291,618,457,1517,995,10,5850
501021009,171,342,208,157,305,74,0,1261,126,218,165,220,330,67,0,1124,51,82,66,99,176,61,0,548,20,25,14,14,54,56,0,179,1149,1678,908,928,1762,610,3,7040
501021010,92,176,82,57,64,29,0,498,58,94,69,73,71,37,5,405,19,26,28,37,50,20,0,181,4,7,5,3,20,7,0,48,534,748,372,346,403,170,3,2570
501021011,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,11
501021012,223,440,192,161,255,41,3,1317,123,302,213,153,255,58,6,1117,81,161,106,99,231,84,0,757,27,46,23,23,105,95,0,318,1781,2612,1199,1015,2159,516,17,9297
501021014,202,387,227,179,234,83,0,1314,103,280,199,188,264,60,0,1111,55,111,76,78,190,49,0,554,30,33,15,16,87,24,0,207,1355,2053,985,882,1796,495,15,7576
501021015,143,272,152,96,188,34,0,892,84,165,129,86,228,38,0,731,60,96,77,63,143,19,0,460,20,28,11,17,65,16,0,159,1105,1495,731,571,1479,269,17,5661
501021016,88,190,95,96,134,40,0,638,67,133,82,107,133,33,0,565,23,62,35,48,75,43,0,293,13,11,8,9,31,30,0,98,558,856,451,476,749,314,5,3415
501021251,168,324,110,82,176,29,4,891,80,131,110,70,147,19,0,563,34,62,34,34,94,15,0,275,6,9,7,4,21,5,0,42,1511,2071,844,711,1624,259,8,7035
501021252,79,164,70,74,63,13,0,471,39,75,75,68,67,20,0,347,15,21,27,19,22,5,0,103,5,4,0,0,8,6,0,25,509,708,354,283,397,64,4,2319
501021253,356,578,263,138,320,100,3,1764,198,418,291,182,356,88,3,1533,100,190,118,107,287,69,0,876,41,85,33,27,233,113,0,536,2236,3067,1335,895,2416,746,25,10718
501021254,91,161,95,63,181,39,0,632,51,142,73,68,182,36,0,554,28,42,34,31,100,19,0,254,5,11,9,0,20,13,0,54,721,1021,435,368,1188,320,5,4067
501031017,177,351,209,159,194,97,0,1178,121,264,232,209,222,70,0,1115,53,103,76,114,163,56,0,563,16,13,19,7,65,16,0,141,944,1512,897,830,1063,482,4,5735
501031018,139,307,185,138,138,40,3,952,107,221,210,157,153,63,0,908,47,70,75,72,139,42,0,454,10,11,14,15,66,9,0,120,839,1317,803,684,953,311,31,4930
501031019,133,230,120,87,182,38,0,790,85,149,91,86,148,36,0,596,27,70,56,43,124,24,0,335,14,19,7,11,69,9,0,126,831,1134,544,467,1013,294,19,4294
501031020,139,318,167,132,152,108,0,1018,106,229,161,141,164,86,0,893,44,76,62,82,98,60,0,414,9,11,14,13,47,16,0,109,758,1238,661,556,858,535,37,4643
502011021,164,315,189,123,222,25,0,1046,122,304,233,224,300,27,0,1210,68,115,118,98,161,18,0,579,8,11,8,11,21,4,0,76,1142,1703,912,847,1484,217,5,6318
502011022,230,451,194,166,298,36,0,1369,176,359,276,247,396,43,5,1506,90,164,91,114,217,23,0,706,24,17,22,22,93,7,0,181,1409,2059,1005,935,1893,261,13,7568
502011023,168,358,179,148,287,45,4,1192,132,276,188,146,355,70,0,1160,100,204,152,133,362,122,0,1079,62,66,43,32,172,139,0,520,1333,1913,984,853,2233,605,8,7932
502011024,453,828,403,272,510,53,3,2519,298,713,495,401,756,70,6,2740,219,394,284,272,615,112,3,1898,67,99,52,49,230,72,0,563,2867,4176,2062,1741,3969,559,26,15406
502011025,243,411,201,128,361,112,0,1458,169,328,193,211,507,117,0,1527,74,169,95,101,322,132,0,889,43,40,26,25,148,109,0,391,1362,2009,921,836,2600,1000,3,8731
502011026,128,265,154,106,227,40,0,915,99,223,167,170,269,63,3,1002,61,101,91,80,192,36,0,561,8,24,10,16,49,15,0,122,879,1324,708,625,1301,309,11,5151
502011027,344,666,344,202,434,64,5,2051,201,432,303,217,525,47,4,1723,122,210,159,146,406,45,0,1089,47,53,22,26,277,24,0,459,3112,4233,1894,1639,4037,567,18,15500
502011028,235,463,230,148,371,52,0,1505,167,418,287,236,525,90,0,1724,113,216,173,147,478,71,0,1195,44,51,21,23,303,49,0,489,1496,2269,1132,966,2777,523,6,9178
502011029,172,341,208,141,278,72,0,1213,117,273,190,187,340,71,0,1183,98,152,91,100,225,90,0,750,35,28,28,18,91,52,0,261,1308,1956,1026,979,1940,605,3,7818
503011030,197,370,194,88,95,19,7,967,89,188,123,86,105,16,0,610,75,139,120,84,114,21,3,558,45,72,48,35,96,10,0,303,1380,1586,835,556,927,119,24,5430
503011031,198,397,153,83,149,34,0,1027,169,320,173,83,182,44,4,986,135,223,138,96,228,46,0,876,71,70,33,26,203,51,0,453,1957,2288,908,594,1537,395,35,7707
503011032,200,399,186,101,91,30,7,1012,138,302,161,92,131,25,4,855,79,130,93,66,117,41,0,521,16,49,21,7,65,43,0,205,1643,1930,853,552,991,243,40,6247
503011033,250,496,224,101,87,17,0,1180,104,244,176,102,79,18,0,726,53,126,94,50,67,11,0,397,25,26,18,17,51,14,0,161,1736,2127,1068,618,879,110,10,6549
503011034,266,445,211,121,192,59,7,1308,175,335,199,136,215,46,4,1103,96,168,117,58,187,38,4,670,27,35,27,14,122,36,0,260,2122,2423,1140,735,1811,407,36,8673
503011035,374,784,348,184,232,103,13,2040,293,657,431,214,328,127,10,2056,154,333,238,162,329,146,0,1367,72,94,56,36,249,75,5,588,4108,4621,2067,1358,3604,1019,80,16855
503011036,233,487,182,87,120,29,3,1147,138,344,192,105,150,43,4,972,86,164,101,66,119,36,0,578,33,62,37,17,76,63,0,281,1888,2354,1054,661,1223,313,27,7514
503021037,6,4,3,0,0,6,0,15,0,3,0,0,0,3,0,12,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,8,6,4,4,11,15,0,45
503021038,262,475,183,70,173,31,0,1193,105,246,132,77,166,23,4,752,56,77,43,35,129,21,0,356,22,39,12,10,140,10,0,230,2431,3116,1105,651,1619,358,23,9308
503021039,435,773,305,138,284,56,6,1994,234,453,281,127,340,83,3,1532,80,148,102,62,241,77,3,715,49,58,27,16,188,57,0,395,3678,4530,1630,898,2832,604,31,14202
