SA2_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
501011001,43,11,11,3,20,14,0,8,189,0,0,0,0,0,0,0,0,0,9,9,859,158,129,18,29,18,33,10,0,51,1309
501011003,122,29,19,31,37,12,3,17,463,0,0,0,0,0,0,0,0,0,7,10,1537,299,286,60,39,56,71,45,10,98,2503
501011004,160,25,33,28,55,34,0,73,684,0,0,0,0,0,0,0,0,0,7,5,1268,375,368,52,46,53,114,44,10,121,2453
501011293,107,9,16,15,17,3,0,8,409,0,0,0,0,0,0,0,0,0,3,3,1149,293,225,18,30,25,36,23,4,45,1867
501011294,192,41,28,29,35,13,12,3,693,4,0,0,0,0,0,3,0,0,3,13,2195,479,450,63,49,43,60,24,22,100,3498
501021005,237,19,44,42,43,12,11,18,892,4,0,0,0,0,0,0,0,0,5,10,1834,781,580,48,56,73,58,26,20,71,3545
501021007,18,5,5,6,4,0,0,0,95,0,0,0,0,0,0,0,0,0,4,5,524,103,69,10,5,9,10,5,0,30,765
501021008,99,43,34,30,45,22,8,10,448,0,0,0,0,0,0,0,0,0,71,71,617,180,159,45,49,38,52,26,10,106,1274
501021009,30,0,3,9,5,0,0,7,164,0,0,0,0,0,0,0,0,0,11,7,737,131,78,7,7,13,6,6,3,33,1021
501021010,11,0,4,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,335,67,32,8,4,6,3,5,0,16,470
