SA2_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,5,10,25,22,17,22,3,0,0,102,3,6,20,35,28,34,11,6,0,140,148,106,423,744,662,646,245,60,8,3041
501011003,17,6,38,45,45,32,11,4,0,184,20,24,20,71,62,37,17,6,0,255,385,251,896,1411,1400,1101,438,57,6,5949
501011004,11,14,34,46,32,24,5,0,0,162,11,8,37,51,50,29,9,0,0,204,306,233,944,1295,1212,833,256,22,6,5104
501011293,9,23,29,31,49,37,13,0,0,184,8,10,30,16,27,21,17,4,0,128,287,307,660,781,1016,801,249,28,4,4147
501011294,21,39,66,73,82,41,12,0,0,347,26,23,45,58,62,51,14,5,5,285,728,552,1356,1876,1992,1567,458,51,3,8589
501021005,25,36,95,59,62,50,15,0,0,339,33,38,76,78,41,46,16,0,0,322,685,621,1657,2122,1922,1414,338,20,3,8788
501021007,3,10,14,30,25,12,3,0,0,99,13,6,17,32,20,26,0,9,0,127,159,156,347,498,605,541,149,24,0,2485
501021008,8,22,15,18,29,24,0,0,0,124,6,10,21,26,19,14,8,0,0,104,172,284,551,518,530,489,120,10,0,2678
501021009,19,17,25,30,45,17,3,0,0,165,5,11,23,32,28,18,9,6,0,136,226,273,590,699,774,656,145,26,5,3402
501021010,3,12,14,17,10,12,7,0,0,68,11,4,6,8,17,11,8,0,0,74,106,96,209,319,395,329,118,27,0,1600
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
501021012,3,26,57,56,42,26,10,5,0,233,4,28,47,45,38,29,8,0,0,208,379,462,1221,1302,1135,896,191,19,0,5616
501021014,14,9,21,23,29,23,10,0,0,125,9,9,34,29,45,20,19,3,0,182,273,300,740,824,986,814,250,43,3,4232
501021015,4,24,41,32,23,26,10,0,0,148,6,5,33,35,33,20,7,0,0,135,197,309,739,628,659,582,154,17,0,3280
501021016,8,6,9,11,8,12,4,0,0,42,6,11,13,12,21,9,5,4,0,79,113,119,231,338,412,373,115,24,0,1724
501021251,11,21,56,43,48,27,3,0,0,215,13,19,30,43,42,15,4,3,0,164,407,407,910,1168,1142,633,112,9,0,4800
501021252,6,3,6,9,23,17,0,0,0,73,3,5,5,6,6,13,0,0,0,44,136,93,146,265,425,325,92,5,0,1496
501021253,10,18,41,39,55,43,14,5,0,217,16,18,44,38,35,30,17,0,0,207,373,440,1137,1215,1432,1180,400,42,3,6218
501021254,0,17,15,16,18,4,0,0,0,75,6,9,26,22,16,13,9,3,0,92,126,213,377,426,421,320,89,4,0,1977
501031017,4,4,19,11,26,14,9,0,0,88,11,8,15,14,8,20,15,6,0,101,129,166,405,566,702,736,284,75,3,3066
501031018,12,3,15,19,19,10,9,0,0,91,10,5,16,21,30,25,6,8,0,127,166,150,346,517,632,614,227,48,5,2696
501031019,8,15,27,13,18,22,3,0,0,110,9,10,22,26,17,34,8,8,0,136,173,197,422,452,496,551,192,29,5,2518
501031020,4,0,11,8,13,14,4,0,0,57,10,8,17,18,18,22,14,4,0,107,134,100,349,420,549,629,282,54,3,2521
502011021,9,10,27,22,31,22,9,0,0,136,11,9,25,32,32,13,6,0,0,137,248,220,495,704,791,616,152,14,0,3240
502011022,19,22,34,23,32,21,12,0,0,164,14,15,29,34,29,24,15,3,0,155,264,321,597,686,863,767,235,17,0,3756
502011023,14,14,33,15,22,27,5,0,0,134,10,21,34,28,26,26,5,0,0,150,210,335,622,602,725,668,147,13,0,3329
502011024,19,28,63,53,70,53,19,0,0,302,19,28,50,60,62,45,32,7,0,313,577,631,1184,1491,1806,1589,438,51,0,7769
502011025,9,13,24,26,28,17,6,0,0,115,13,11,28,28,41,28,13,4,4,175,170,360,658,593,750,758,192,29,3,3516
502011026,13,13,32,9,14,18,8,0,0,113,4,11,14,14,13,24,4,3,0,90,194,223,391,418,556,520,158,17,0,2470
502011027,18,38,97,93,69,39,3,0,0,361,33,29,100,91,82,55,14,7,0,412,708,843,1972,2204,1938,1379,272,28,0,9348
502011028,9,18,30,20,33,30,7,0,0,148,14,16,24,32,38,40,7,3,6,182,243,329,608,648,849,832,239,36,3,3786
502011029,17,15,34,37,29,34,7,0,0,183,14,20,35,32,36,26,13,3,0,179,298,321,692,820,872,695,198,35,0,3939
503011030,6,9,0,10,14,11,7,4,0,70,9,8,13,28,60,33,9,0,3,170,242,297,297,473,891,681,210,58,17,3167
503011031,9,13,20,24,20,17,9,5,0,115,14,27,24,21,41,18,16,11,4,177,249,435,845,755,878,661,305,103,9,4254
503011032,11,18,19,17,9,6,3,0,0,87,7,11,45,22,51,29,9,8,3,180,232,361,710,635,866,723,316,66,3,3906
503011033,8,18,16,12,29,20,5,0,0,112,15,14,18,25,31,26,9,3,0,144,336,331,455,874,1226,878,212,30,6,4337
503011034,14,32,25,28,33,17,6,0,0,166,16,22,35,46,72,33,19,3,0,238,320,491,831,982,1194,818,373,76,3,5090
503011035,26,36,44,32,22,26,21,3,0,210,27,51,57,68,96,58,39,16,4,422,789,1354,1446,1625,1836,1387,685,175,13,9310
503011036,3,13,12,13,17,22,11,0,0,100,12,14,13,35,34,33,7,4,0,149,314,393,645,862,1170,807,356,53,0,4597
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,12,3,0,0,17
503021038,12,16,51,49,32,30,12,0,0,202,10,13,50,58,56,15,13,0,0,219,307,509,1631,1699,1506,859,223,23,0,6752
503021039,18,28,76,56,50,47,14,0,0,282,14,36,81,68,63,37,21,5,0,324,438,927,2417,2163,1805,1413,450,35,0,9639
503021040,4,14,50,41,33,29,4,0,0,178,4,17,53,36,26,17,14,0,0,166,190,485,1467,1307,1032,752,221,28,0,5484
503021042,11,27,39,43,38,29,7,3,0,212,14,17,91,88,69,53,19,9,0,354,371,782,2200,1964,1759,1373,590,106,9,9148
