SA2_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
501011001,534,108,23,5,5,0,7,677
501011003,1116,216,35,4,0,0,8,1381
501011004,918,182,35,0,0,0,4,1149
501011293,680,182,39,12,0,0,4,917
501011294,1496,368,109,13,7,0,17,2004
501021005,1858,418,122,23,6,3,14,2451
501021007,460,101,32,3,0,0,9,606
501021008,362,81,39,4,4,0,3,492
501021009,593,144,56,18,9,0,8,831
501021010,314,50,10,5,0,0,9,393
501021011,0,0,0,0,0,0,0,0
501021012,1097,248,89,18,3,0,8,1465
501021014,775,139,67,4,0,0,9,1005
501021015,523,117,44,3,4,0,5,699
501021016,313,84,20,9,0,0,7,434
501021251,1027,226,80,14,3,0,11,1368
501021252,347,65,13,9,0,0,3,430
501021253,902,174,29,8,0,0,0,1115
501021254,310,74,26,8,0,0,5,424
501031017,522,98,28,3,0,0,6,660
501031018,460,102,27,7,0,0,5,603
501031019,416,63,23,9,0,0,0,515
501031020,332,67,23,0,3,0,4,426
502011021,648,222,57,12,6,0,4,949
502011022,665,203,43,8,5,0,5,923
502011023,575,204,49,5,4,0,18,857
502011024,1436,441,102,7,6,0,19,2011
502011025,391,120,40,4,4,0,6,569
502011026,411,145,38,6,0,0,17,614
502011027,1999,576,165,19,0,0,20,2778
502011028,617,175,46,18,0,0,10,871
502011029,759,229,73,14,4,0,21,1093
503011030,881,98,20,7,0,0,3,1001
503011031,802,74,13,4,0,0,6,900
503011032,798,105,20,0,0,0,3,919
503011033,1287,92,27,6,0,0,4,1410
503011034,1156,119,24,0,0,0,3,1304
503011035,2035,167,40,11,0,0,0,2252
503011036,1216,133,26,0,3,0,0,1380
503021037,0,0,0,0,0,0,0,5
503021038,1348,123,15,3,0,0,4,1498
503021039,1586,169,18,8,0,0,3,1788
503021040,951,98,14,4,0,0,4,1070
503021042,1636,155,21,5,0,0,0,1821
503021043,1993,181,29,7,0,0,5,2214
503021295,544,87,13,0,0,0,0,648
503021296,544,68,4,4,0,0,0,626
503021297,393,60,10,0,0,0,0,458
504011044,1473,237,64,14,4,0,3,1797
504011045,2575,308,73,13,0,0,11,2989
504011046,906,110,17,3,0,0,0,1040
504011047,2173,314,65,29,5,0,9,2605
504011048,908,93,20,6,0,0,4,1033
504021049,245,66,20,5,0,0,0,341
504021050,823,136,34,4,0,0,6,1002
504021051,566,108,33,6,0,0,8,722
504021052,0,0,0,0,0,0,0,0
504021053,1335,324,65,9,5,0,12,1759
504021054,952,222,63,27,7,0,16,1294
