SA2_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
501011001,35,113,0,150,779,64,0,999,10,110,3,122,709,61,0,893,3,14,0,16,353,32,0,403,0,0,0,0,131,12,0,148,1065,329,74,1466,3285,426,28,5210
501011003,70,248,3,318,1199,132,5,1659,12,345,0,362,1133,131,0,1621,0,53,0,57,564,65,3,692,0,3,0,4,124,11,0,145,2138,833,93,3060,5684,740,29,9520
501011004,63,138,3,203,931,103,5,1250,13,169,0,183,701,70,0,957,7,19,0,29,297,18,0,338,0,0,0,0,124,15,0,140,1893,506,120,2519,4687,654,63,7934
501011293,43,143,3,188,970,76,3,1235,5,167,3,175,1047,60,0,1284,0,26,0,25,597,60,0,685,0,0,0,0,166,16,0,186,1353,508,75,1939,5057,458,9,7454
501011294,89,332,3,421,1837,126,3,2386,13,332,4,345,1945,123,0,2418,0,46,0,48,1320,98,0,1467,0,5,0,5,627,78,0,714,3024,1020,175,4226,10263,830,31,15344
501021005,80,369,0,447,1685,86,6,2222,19,255,0,270,1398,60,0,1733,3,43,0,47,754,39,0,842,0,4,0,0,174,13,0,190,3481,1069,216,4761,8754,506,13,14038
501021007,28,124,0,149,608,42,0,799,0,80,3,89,513,46,0,641,0,10,0,13,250,24,0,286,0,0,0,0,53,8,0,56,833,349,58,1239,2621,276,4,4140
501021008,23,98,3,116,668,78,0,868,10,79,0,91,529,59,0,679,0,18,0,21,344,30,0,394,0,4,0,4,179,27,0,208,879,370,51,1292,3570,975,10,5850
501021009,32,212,0,247,946,65,0,1261,4,141,0,147,919,64,0,1124,0,22,0,22,472,61,0,548,0,0,0,0,122,52,0,179,1166,603,81,1843,4618,576,3,7040
501021010,18,67,0,90,384,25,0,498,3,63,0,69,299,37,5,405,0,13,0,13,150,17,0,181,0,0,0,0,34,5,0,48,512,201,29,742,1666,160,3,2570
501021011,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11
501021012,47,238,6,291,979,46,3,1317,9,167,0,178,872,61,6,1117,5,29,0,30,649,82,0,757,0,0,0,0,225,89,0,318,2138,708,111,2957,5805,518,17,9297
501021014,33,184,4,221,1013,75,0,1314,7,139,0,141,900,58,0,1111,3,27,0,22,490,42,0,554,0,0,0,3,183,20,0,207,1299,532,54,1888,5196,481,15,7576
501021015,30,164,0,195,664,36,0,892,7,122,3,129,564,34,0,731,3,17,0,19,421,21,0,460,0,0,0,0,146,12,0,159,1084,455,48,1593,3800,256,17,5661
501021016,15,95,0,111,488,40,0,638,4,60,0,68,464,39,0,565,0,14,0,14,241,36,0,293,0,0,0,0,76,27,0,98,556,260,30,850,2256,303,5,3415
501021251,39,127,0,169,693,26,4,891,11,81,0,94,445,20,0,563,4,8,0,17,253,15,0,275,0,0,0,0,39,0,0,42,1986,437,98,2528,4234,267,8,7035
501021252,20,84,0,106,354,15,0,471,0,53,0,53,284,15,0,347,0,5,0,5,90,5,0,103,0,0,0,0,25,6,0,25,476,191,33,694,1561,60,4,2319
501021253,74,300,7,379,1289,94,3,1764,11,274,0,283,1164,84,3,1533,8,47,0,53,760,59,0,876,0,5,0,5,415,117,0,536,1857,880,115,2851,7116,721,25,10718
501021254,12,91,0,110,486,38,0,632,4,74,0,74,448,31,0,554,8,6,0,12,224,23,0,254,0,0,0,0,46,9,0,54,697,313,58,1064,2683,311,5,4067
501031017,40,100,0,144,944,89,0,1178,12,108,0,119,925,73,0,1115,4,13,0,18,490,55,0,563,0,0,0,0,119,18,0,141,1017,349,42,1406,3843,479,4,5735
501031018,24,112,0,140,765,48,3,952,7,111,0,120,737,54,0,908,0,13,0,13,406,37,0,454,0,0,0,0,115,7,0,120,834,329,44,1210,3393,307,31,4930
501031019,37,74,0,116,641,38,0,790,3,65,0,63,500,30,0,596,0,12,0,12,305,24,0,335,0,0,0,0,119,7,0,126,752,251,40,1043,2956,281,19,4294
501031020,30,76,0,112,792,108,0,1018,7,77,0,86,724,79,0,893,3,4,0,6,353,53,0,414,0,0,0,0,97,12,0,109,608,226,27,862,3233,513,37,4643
502011021,34,165,4,204,813,30,0,1046,8,169,0,180,1008,24,0,1210,6,19,0,26,540,16,0,579,0,0,0,0,64,7,0,76,1265,530,49,1844,4253,211,5,6318
502011022,55,215,0,274,1068,27,0,1369,9,207,4,225,1232,46,5,1506,3,27,0,30,649,21,0,706,0,0,0,4,175,6,0,181,1278,629,66,1980,5323,255,13,7568
502011023,38,183,3,227,916,50,4,1192,11,107,0,117,980,63,0,1160,0,20,0,23,938,118,0,1079,0,5,0,5,375,140,0,520,1229,535,84,1850,5474,602,8,7932
502011024,97,406,4,503,1959,54,3,2519,22,344,5,367,2294,72,6,2740,13,59,0,69,1723,102,3,1898,0,3,0,3,490,68,0,563,2690,1208,120,4025,10830,534,26,15406
502011025,42,176,0,226,1134,106,0,1458,6,166,0,178,1236,108,0,1527,0,41,0,43,720,125,0,889,0,0,0,0,287,105,0,391,1022,585,47,1655,6101,970,3,8731
502011026,28,148,0,172,707,42,0,915,5,122,0,126,807,61,3,1002,6,21,0,24,505,30,0,561,0,3,0,3,108,10,0,122,796,431,46,1272,3568,304,11,5151
502011027,85,408,6,495,1487,65,5,2051,11,291,0,300,1375,45,4,1723,0,47,0,51,991,41,0,1089,0,3,0,3,427,26,0,459,3845,1281,217,5346,9580,550,18,15500
502011028,48,212,0,262,1184,50,0,1505,15,180,0,194,1446,82,0,1724,6,38,0,46,1076,75,0,1195,0,4,0,0,438,53,0,489,1267,678,76,2018,6654,493,6,9178
502011029,35,204,0,239,909,63,0,1213,4,104,0,110,1016,62,0,1183,3,25,0,23,650,77,0,750,0,0,0,0,203,54,0,261,1471,540,88,2098,5154,557,3,7818
503011030,96,108,3,204,738,16,7,967,4,192,0,193,392,18,0,610,6,70,0,81,458,17,3,558,4,8,0,6,290,12,0,303,1139,462,52,1649,3639,126,24,5430
503011031,65,111,0,174,809,33,0,1027,20,252,0,274,658,46,4,986,12,123,0,132,693,51,0,876,0,3,0,5,402,43,0,453,1308,605,52,1966,5325,388,35,7707
503011032,101,118,3,218,758,27,7,1012,12,287,0,298,534,22,4,855,3,94,0,95,383,37,0,521,0,0,0,0,163,41,0,205,1225,636,47,1913,4058,242,40,6247
503011033,109,134,0,251,915,16,0,1180,11,256,0,264,447,16,0,726,0,65,0,62,314,18,0,397,0,9,0,9,144,11,0,161,1760,594,72,2426,3998,110,10,6549
503011034,98,125,4,228,1014,54,7,1308,8,283,0,292,769,41,4,1103,3,92,0,96,529,40,4,670,0,3,0,3,217,31,0,260,1689,686,66,2433,5809,402,36,8673
