SA2_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
501011001,0,0,0,17,9,26,0,0,0,0,0,0,0,0,0,829,834,1668,43,51,94,26,0,26,7,3,12,14,8,17,33,8,39,73,64,133,1043,967,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,31,15,17,32,0,0,0,0,0,0,0,0,0,0,0,5,218,257,479,228,258,490,13,14,26,1522,1517,3041
501011003,0,0,6,25,4,24,0,0,0,0,0,0,0,0,0,1698,1627,3324,98,116,213,38,0,37,4,0,4,34,8,38,49,12,55,97,77,175,2038,1844,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,4,29,3,34,35,9,42,0,0,0,0,0,0,4,0,3,5,3,6,397,535,937,477,547,1024,25,40,60,2977,2974,5949
501011004,0,0,0,17,4,25,0,0,0,0,0,0,0,0,0,1499,1539,3040,153,113,267,18,0,22,7,0,7,59,24,81,47,16,60,74,92,166,1878,1794,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,4,26,13,45,33,16,48,0,0,0,0,0,0,0,0,0,0,0,0,235,315,554,374,412,781,28,8,42,2556,2550,5104
501011293,0,0,0,19,3,22,0,0,0,0,0,0,9,0,10,1367,1450,2813,100,115,216,15,0,18,3,0,3,41,12,52,34,8,51,30,27,63,1617,1622,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,4,0,4,9,7,11,26,3,26,35,10,43,0,0,0,6,0,6,0,0,0,3,0,3,111,161,278,262,297,559,10,10,20,2040,2100,4147
501011294,0,0,3,46,18,61,0,0,0,0,0,0,9,9,13,2765,2943,5705,227,236,464,35,0,36,4,0,4,77,29,113,78,20,104,74,97,172,3319,3358,6680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,3,5,8,0,8,10,5,16,30,12,42,41,21,61,0,0,0,10,0,10,0,0,0,6,0,6,193,359,555,598,653,1256,19,14,32,4178,4410,8589
501021005,7,0,7,115,28,148,0,0,0,0,0,0,4,12,10,3077,3053,6135,256,237,487,49,0,47,14,0,22,29,6,32,60,8,68,34,27,62,3638,3371,7007,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,58,9,62,5,8,8,4,0,4,72,8,83,36,14,50,111,22,133,4,0,3,3,0,3,3,0,3,8,4,10,123,251,375,598,626,1230,13,7,26,4495,4290,8788
501021007,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,818,839,1657,46,40,84,30,0,33,3,0,3,6,3,6,23,4,31,28,26,50,974,914,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,9,0,8,9,5,15,14,10,24,0,0,0,3,0,3,0,0,0,3,0,3,92,130,217,158,173,332,13,8,22,1254,1230,2485
501021008,0,6,3,17,6,27,0,0,0,0,0,0,7,6,15,933,955,1885,88,97,185,14,0,16,0,0,0,22,6,26,17,11,31,22,22,43,1120,1105,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,14,0,0,0,0,0,0,16,4,12,10,13,24,22,13,38,0,0,0,0,0,7,0,0,0,4,0,5,22,34,61,134,202,338,14,6,16,1320,1359,2678
501021009,0,0,0,55,16,67,0,0,0,0,0,0,0,6,6,1194,1099,2296,121,94,219,19,0,19,0,0,4,7,4,8,19,8,27,37,36,68,1460,1254,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,16,0,0,0,0,0,0,8,8,17,17,6,21,26,11,33,0,0,0,0,0,0,0,0,0,3,0,3,36,70,107,282,244,524,15,7,25,1817,1584,3402
501021010,0,0,0,14,0,20,0,0,0,0,0,0,0,0,0,558,516,1067,34,25,56,16,0,20,9,0,11,0,0,5,7,0,7,22,8,34,670,552,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,3,11,0,0,0,4,0,4,0,0,0,4,0,4,65,82,145,103,99,204,8,6,17,854,747,1600
