SA2_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
501011001,2497,2686,5181,978,496,1475,418,909,1326,124,117,238,54,39,86,1570,1555,3127,729,921,1647,3.4,2.3,2.8,63,58,60.4,60.9,56.7,58.7,63,92,157,48,85,131,307,513,819,207,310,522,694,339,1035,38,53,85,39,66,107,771,454,1225,2356,2426,4786,470,524,994,1527,1543,3073,1129,1288,2423
501011003,4568,4922,9490,1904,1004,2913,813,1710,2525,265,256,518,63,60,124,3041,3036,6070,1191,1539,2738,2.1,2,2,66.5,61.6,64,65.2,60.4,62.7,174,175,352,58,193,252,756,1131,1885,470,669,1144,1209,537,1751,49,84,137,76,139,211,1334,769,2100,4482,4669,9147,865,936,1799,2917,2918,5834,2128,2391,4520
501011004,3794,4074,7862,1625,913,2541,729,1441,2167,199,195,394,79,77,155,2634,2627,5260,827,1160,1990,3,2.9,2.9,69.5,64.5,66.9,67.4,62.6,64.9,153,170,318,70,158,222,579,908,1488,334,530,863,971,495,1470,50,67,123,60,98,157,1087,658,1746,3628,3856,7487,810,829,1644,2229,2343,4569,1938,2099,4033
501011293,3541,3908,7447,1394,827,2224,509,1153,1659,131,129,263,104,82,183,2151,2182,4329,1163,1539,2704,4.9,3.6,4.3,60.7,55.8,58.1,57.7,53.8,55.6,70,86,157,41,118,149,291,560,845,294,405,695,1027,568,1594,60,84,144,54,121,177,1139,774,1912,3348,3626,6976,701,776,1478,2112,2271,4384,1765,1960,3723
501011294,7023,8293,15318,2855,1681,4540,1045,2446,3497,274,277,549,157,147,301,4334,4557,8893,2344,3322,5664,3.6,3.2,3.4,61.7,54.9,58,59.5,53.2,56.1,122,168,291,87,219,304,584,1061,1650,529,898,1428,2153,1304,3456,120,202,319,97,192,290,2373,1695,4069,7000,7935,14933,1373,1576,2949,4480,5049,9524,3446,4010,7451
501021005,6659,7365,14024,3514,1741,5254,711,2264,2975,266,282,549,207,208,416,4694,4503,9204,1733,2651,4381,4.3,4.7,4.5,70.6,61.1,65.6,67.5,58.2,62.6,110,139,251,67,179,246,517,961,1481,463,754,1216,2334,1432,3774,127,208,336,106,197,302,2565,1842,4414,7306,7708,15014,1198,1332,2530,4813,5067,9880,3111,3498,6607
501021007,1968,2167,4137,915,464,1375,234,660,890,114,105,217,37,44,83,1287,1280,2566,561,767,1323,2.8,3.7,3.2,65.4,58.9,62,63.6,56.8,60,16,38,63,23,56,76,137,274,414,131,200,331,614,394,1005,22,63,84,26,60,82,659,506,1167,2029,2195,4224,297,314,612,1447,1546,2995,766,848,1620
501021008,2949,2892,5838,945,559,1506,288,686,975,88,112,203,116,87,202,1436,1446,2880,1323,1215,2535,8.2,5.9,7,48.7,49.9,49.3,44.7,47,45.8,33,31,65,13,58,73,160,265,427,125,230,352,749,496,1247,53,83,141,37,55,89,841,632,1475,2210,2574,4781,512,560,1068,1460,1616,3076,1094,1341,2437
501021009,3541,3487,7032,1362,606,1967,302,865,1165,155,124,275,161,122,286,1977,1711,3681,1273,1510,2778,8.1,7.2,7.7,55.7,49,52.4,51.2,45.5,48.4,20,28,40,15,49,65,100,225,329,136,247,382,1179,643,1821,53,96,151,62,78,136,1296,814,2114,3460,3341,6799,532,560,1093,2599,2426,5027,1167,1258,2424
501021010,1284,1277,2565,638,285,929,147,410,557,68,48,113,24,28,46,877,775,1652,332,433,764,2.5,3.6,3,68.2,60.8,64.5,66.5,58.6,62.5,22,16,37,11,38,47,103,207,309,92,131,222,412,211,620,23,31,52,15,22,42,454,261,714,1326,1321,2643,175,152,323,1002,972,1974,422,432,852
