SA2_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
501011001,46,1800,708,300,1693,0.8,1380,2.4
501011003,43,2000,885,440,2130,0.8,1873,2.6
501011004,39,1700,839,390,1986,0.8,1672,2.6
501011293,45,1733,701,360,1759,0.7,1359,2.4
501011294,44,1733,697,350,1740,0.7,1350,2.4
501021005,37,1733,789,350,2144,0.7,1914,2.7
501021007,44,1625,729,330,1885,0.7,1551,2.5
501021008,40,1300,605,280,1451,0.7,1113,2.2
501021009,44,1300,600,250,1618,0.7,1229,2.3
501021010,46,1742,814,260,2254,0.7,1875,2.5
501021011,54,0,966,669,2499,0.9,1124,1.4
501021012,38,1650,771,350,2063,0.7,1737,2.6
501021014,43,1690,704,278,1874,0.8,1506,2.5
501021015,40,1507,717,300,1703,0.7,1356,2.3
501021016,47,1625,623,260,1701,0.7,1324,2.4
501021251,33,1733,877,350,2286,0.8,2066,2.9
501021252,44,2080,854,385,2494,0.7,2323,2.9
501021253,45,1625,855,310,2085,0.7,1488,2.1
501021254,39,1300,593,250,1420,0.7,1135,2.3
501031017,49,1329,649,260,1619,0.7,1230,2.3
501031018,48,1560,654,290,1688,0.7,1333,2.4
501031019,42,1300,702,235,1685,0.7,1269,2.3
501031020,52,1300,651,250,1441,0.7,1120,2.2
502011021,44,1842,618,350,1712,0.7,1431,2.6
502011022,48,1733,634,320,1660,0.7,1287,2.3
502011023,47,1376,530,295,1341,0.7,1001,2.3
502011024,48,1733,647,350,1784,0.7,1377,2.4
502011025,49,1300,564,270,1279,0.7,896,1.9
502011026,48,1800,620,320,1687,0.7,1344,2.4
502011027,35,1833,751,350,2119,0.7,1853,2.8
502011028,51,1500,536,280,1385,0.7,1037,2.2
502011029,41,1733,593,300,1710,0.8,1334,2.6
503011030,47,4000,1214,750,4592,0.7,3676,2.8
503011031,44,2800,1098,460,3154,0.8,2063,2.2
503011032,44,3913,1443,550,4593,0.8,3326,2.5
503011033,41,3250,1212,600,4270,0.8,3548,3
503011034,41,3033,1044,310,3806,0.8,2292,2.4
503011035,37,3520,874,450,3768,0.8,2592,2.6
503011036,42,3250,1158,460,4110,0.8,3167,2.7
503021037,61,9999,2167,1000,4874,0.8,4750,2.2
503021038,37,2383,1266,425,3367,0.9,2615,2.4
503021039,38,2200,1096,340,3117,0.8,2075,2.2
503021040,38,2492,1122,400,3171,0.8,2320,2.3
503021042,40,2557,1179,410,3239,0.9,2142,2.1
503021043,36,2167,1037,300,2802,0.9,2007,2.3
503021295,36,1950,1168,410,2572,1,2006,1.9
503021296,34,1904,1128,380,2610,1,1883,1.9
503021297,34,1820,1161,410,2535,1,1927,1.7
504011044,39,1801,855,330,2278,0.7,1735,2.4
504011045,39,2000,946,350,2585,0.8,2003,2.4
504011046,36,1733,1028,300,2386,0.8,1622,1.9
504011047,38,1733,729,360,1902,0.7,1579,2.5
504011048,45,1907,712,350,2037,0.7,1630,2.6
504021049,39,1920,784,370,2252,0.7,1954,2.6
504021050,45,2015,897,400,2638,0.7,2280,2.7
504021051,40,1950,812,318,2337,0.7,1850,2.6
504021052,60,1517,525,0,1374,0.7,1375,2.5
504021053,44,2000,801,380,2291,0.7,2008,2.7
504021054,42,1733,726,300,1902,0.7,1448,2.4
504031055,39,0,762,295,1999,1,1375,2.3
504031056,37,1703,704,350,1914,0.8,1722,2.9
504031057,34,1757,768,350,1974,0.8,1788,2.9
504031058,37,1950,843,350,2105,0.7,1904,2.8
504031060,47,2297,899,350,2551,0.8,2421,2.9
504031061,37,2000,977,390,2440,0.7,2095,2.6
504031062,35,1820,818,328,2106,0.8,1805,2.7
504031063,40,0,1406,750,7000,1.2,1562,1.4
504031064,70,0,1249,0,2250,0.6,2250,2
504031065,41,1625,712,320,1917,0.7,1462,2.5
504031066,40,1600,721,300,1800,0.7,1278,2
504031067,36,1720,816,330,2094,0.7,1799,2.7
504031068,35,2167,919,370,2405,0.8,2214,3
504031069,84,0,450,0,0,1,450,1
504031298,31,1950,1006,383,2296,0.8,2134,2.9
504031299,30,1950,985,370,2260,0.8,2147,3
504031300,33,1800,793,350,2064,0.8,1839,2.9
505011070,35,1800,887,370,2162,0.7,1828,2.5
505011071,38,1950,885,400,2437,0.7,2224,2.8
505011072,41,2208,940,460,2817,0.7,2389,2.8
505011073,40,1950,840,400,2292,0.7,1894,2.6
505011074,38,1902,885,380,2264,0.7,1915,2.6
505011075,44,2400,971,490,2877,0.7,2458,2.8
505011076,43,2753,1027,650,3367,0.8,3258,3.1
505011077,40,1820,809,360,2215,0.7,1771,2.4
505011078,44,2000,810,415,2401,0.7,2000,2.6
505011079,42,2300,900,450,2681,0.7,2283,2.7
505011080,44,2253,890,525,2759,0.7,2470,2.9
505011081,37,2000,904,390,2390,0.7,2061,2.6
505011082,46,2600,974,480,3045,0.7,2459,2.7
505011083,43,2167,888,480,2653,0.7,2328,2.8
505021084,39,1863,825,350,2101,0.7,1621,2.3
505021085,33,1480,621,305,1461,0.8,1292,2.6
505021087,56,0,0,0,0,0,0,0
505021088,36,2037,1104,400,2739,0.7,2047,2.3
505021089,42,2500,965,460,3006,0.8,2477,2.8
505021090,34,1551,804,340,1754,0.8,1456,2.3
505021091,30,1658,1166,400,2166,1.1,1638,1.5
505021092,36,2150,1200,405,2790,0.8,2102,2.1
505021093,38,2000,871,310,2319,0.8,1856,2.4
505021094,44,2817,1047,400,3112,0.7,2298,2.5
505021095,36,1733,977,320,2220,0.8,1583,2
505021096,41,2669,978,420,3137,0.8,2362,2.7
505021097,40,2000,923,325,2460,0.8,1746,2.2
505021301,45,2100,733,320,2349,0.7,1868,2.7
505021302,41,1900,809,340,2148,0.7,1524,2.2
505031098,37,1600,618,300,1683,0.8,1492,2.8
505031099,34,1733,716,340,1848,0.8,1540,2.7
505031100,32,1907,905,380,2264,0.8,2113,3
505031101,33,1733,815,350,2011,0.7,1758,2.6
505031102,35,1400,574,291,1422,0.8,1235,2.6
505031104,39,1647,653,350,1763,0.8,1534,2.8
505031105,39,2167,905,400,2597,0.7,2342,2.9
505031106,39,0,900,481,900,0.5,1875,2
