SA2_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
501011001,42,0,0,0,0,43,17,0,0,0,0,17,18,0,0,0,0,18,30,0,0,0,0,30,38,0,0,0,0,38,89,0,0,0,0,85,137,0,0,0,0,146,195,0,0,0,0,195,80,0,0,0,0,80,60,0,0,0,0,60,37,0,0,0,0,40,44,0,0,0,0,44,782,5,0,0,0,791
501011003,84,0,0,0,0,87,17,0,0,0,0,27,29,0,0,0,0,28,38,5,0,0,0,49,54,4,0,0,0,57,133,7,0,0,0,140,223,16,0,3,0,242,340,29,0,0,0,375,171,11,0,0,0,183,157,14,0,0,0,167,133,7,0,0,0,141,84,5,0,0,0,87,1462,104,4,12,4,1582
501011004,49,0,0,0,3,52,21,0,0,0,0,24,22,0,0,0,0,21,40,0,0,0,0,43,53,8,0,0,0,59,247,12,0,0,0,256,309,10,0,0,0,322,285,3,3,0,0,293,131,3,0,0,0,129,100,0,0,0,0,97,49,0,0,0,0,53,78,3,0,0,0,81,1380,45,9,0,3,1439
501011293,49,6,0,0,0,55,21,0,0,0,0,21,22,0,0,0,0,22,29,0,0,0,0,31,49,3,0,0,0,52,175,5,0,0,0,182,260,6,0,0,0,267,306,0,0,0,0,307,108,0,0,0,0,113,83,0,0,0,0,81,45,0,0,0,0,39,65,0,0,0,0,68,1220,19,6,4,0,1245
501011294,92,9,0,0,0,99,62,8,0,0,0,63,28,7,0,0,0,38,78,5,0,0,0,85,103,7,0,0,0,113,360,27,3,0,0,384,536,15,0,0,0,556,659,7,0,0,0,672,224,3,0,0,0,228,137,8,0,0,0,141,74,0,0,0,0,76,119,12,0,0,0,131,2485,107,5,0,0,2598
501021005,109,0,0,0,0,113,50,0,0,0,0,51,44,0,0,0,0,46,80,0,0,3,0,88,117,0,0,4,0,122,487,3,0,0,0,494,839,3,0,0,0,847,826,0,0,0,0,833,288,0,0,0,0,288,159,0,0,0,0,166,102,0,0,0,0,102,171,3,0,0,0,174,3274,24,0,5,4,3308
501021007,31,0,0,0,0,31,13,0,0,0,0,13,15,0,0,0,0,15,33,0,0,0,0,33,54,0,0,0,0,52,169,4,0,0,0,176,190,4,0,0,0,190,177,0,0,0,0,179,61,0,0,0,0,61,38,0,0,0,0,42,34,3,0,0,0,36,49,0,0,0,0,49,853,14,0,0,0,867
501021008,28,4,0,0,0,33,15,3,0,0,0,20,21,0,0,0,0,21,50,5,0,0,0,58,68,6,0,0,0,76,212,17,0,0,0,227,185,12,0,0,0,192,107,0,0,0,0,107,29,0,0,0,0,29,12,3,0,0,0,15,11,0,0,0,0,12,37,3,0,0,0,44,779,42,0,0,0,826
501021009,47,0,0,0,3,51,46,0,0,0,0,46,47,0,0,0,0,47,92,3,0,0,0,95,130,5,0,0,0,130,252,5,3,0,0,258,210,0,0,0,0,214,185,0,0,0,0,185,44,0,0,0,0,44,45,0,0,0,0,44,27,0,0,0,0,27,80,3,0,0,0,89,1214,12,10,0,0,1237
501021010,19,0,0,0,0,15,12,0,0,0,0,12,12,0,0,0,0,12,9,0,0,0,0,9,22,0,0,0,0,17,81,0,0,0,0,81,101,0,0,0,0,101,112,0,0,0,0,117,50,0,0,0,0,50,45,0,0,0,0,46,26,0,0,0,0,26,22,0,0,0,0,22,499,5,0,4,0,510
