SA2_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
501011001,59,324,283,1782,22,2472,0,3,0,53,0,58,32,0,0,0,0,34,15,6,3,14,0,42,69,21,18,30,5,146,922,322,262,1556,49,3108,25,0,6,4,0,32,45,3,9,7,0,61,100,17,23,137,0,277,11,0,3,15,0,28,4,0,0,0,0,5,12,7,0,5,0,25,163,54,37,431,5,690,65,17,7,91,0,180,0,0,5,0,0,8,0,0,0,0,0,0,4,3,0,8,0,12,3,0,0,0,0,8,15,10,3,0,0,27,42,20,22,10,0,90,15,7,0,8,0,36,12,0,0,10,0,20,4,0,0,0,0,4,186,51,53,399,8,700,5,0,0,0,0,11,28,12,4,0,0,39,14,0,3,10,0,27,3,0,0,0,0,0,8,0,0,0,0,8,40,4,3,18,0,68,201,51,42,56,6,356,8,3,3,30,477,522,1617,535,445,3252,556,6408
501011003,93,654,530,3302,57,4637,0,9,10,81,0,98,43,7,6,11,0,70,13,11,10,32,0,67,131,35,26,55,0,252,1678,589,479,2879,65,5688,17,0,16,4,0,40,87,7,6,17,0,121,183,44,41,213,9,486,18,3,0,30,0,56,13,3,0,9,0,27,33,0,6,10,0,52,341,116,78,789,5,1331,168,52,23,241,5,485,10,0,0,0,0,10,5,0,0,0,0,5,0,3,0,0,0,9,0,4,5,12,0,18,47,3,4,0,0,58,97,46,39,11,6,194,47,16,12,15,3,90,12,3,5,10,0,28,0,0,0,0,0,5,376,128,93,687,6,1292,10,0,0,0,0,9,109,16,12,6,0,144,23,0,0,13,0,39,12,7,0,0,0,18,13,0,4,5,0,17,56,14,10,38,0,121,480,107,120,112,6,818,27,6,8,42,746,825,3101,1067,866,6025,872,11929
501011004,79,528,504,2303,25,3444,5,9,7,133,0,155,76,8,7,15,3,109,19,14,7,45,0,85,115,32,12,94,0,254,1421,480,491,2037,40,4472,86,0,17,6,0,109,92,5,28,21,0,141,193,35,43,156,3,438,10,13,8,20,0,47,13,3,6,6,0,27,49,3,7,7,0,67,295,114,86,619,9,1117,208,56,30,156,5,453,31,0,0,0,0,37,4,0,0,0,0,4,4,0,6,5,0,12,3,0,0,5,0,19,49,21,8,0,0,72,83,41,18,12,0,151,44,11,11,29,0,96,9,0,0,4,0,21,0,0,0,0,0,0,354,111,73,564,10,1115,6,0,7,0,0,8,53,19,10,3,0,82,57,4,5,4,0,68,5,5,0,5,0,16,16,0,0,0,3,14,60,8,3,27,6,106,542,101,115,118,4,875,32,13,10,52,736,846,3024,924,854,4377,831,10011
501011293,72,444,365,2574,28,3478,0,10,6,205,4,237,62,5,13,5,0,87,9,0,0,23,0,35,99,21,17,57,0,195,1196,465,350,2354,42,4415,59,0,7,7,0,65,38,4,5,22,0,62,107,30,24,159,0,315,12,7,0,16,0,34,15,5,4,4,0,21,46,5,3,0,0,59,219,80,57,585,11,958,61,30,18,168,0,285,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,8,0,10,8,4,0,5,0,13,28,12,10,0,0,56,49,30,6,3,0,93,23,4,5,13,0,50,10,0,4,4,0,17,0,0,0,0,0,0,261,109,70,551,5,989,6,0,0,0,0,7,65,10,8,3,0,86,17,6,0,18,0,40,5,0,0,0,0,10,25,0,0,3,0,26,42,7,3,15,0,71,352,68,64,79,0,562,18,8,6,54,426,511,2287,793,603,4864,498,9041
501011294,163,897,835,5758,92,7743,0,28,15,406,3,464,105,8,13,26,0,149,24,4,7,27,5,71,191,59,41,136,3,432,2389,921,719,5175,87,9292,73,8,22,9,0,113,65,5,12,35,0,118,167,64,43,343,6,622,10,14,8,38,0,66,14,4,0,11,0,28,51,8,13,19,0,93,444,179,107,1257,12,2001,157,86,48,504,11,812,24,0,6,0,0,32,0,0,0,5,0,8,4,0,3,15,0,26,17,4,0,16,0,41,61,24,12,21,0,123,99,79,37,20,4,234,59,10,16,25,0,119,23,0,4,13,0,47,4,0,0,0,0,3,469,175,144,1162,10,1961,4,4,0,6,0,7,95,21,15,7,0,136,25,11,4,39,0,76,20,0,0,0,0,23,32,4,4,0,0,39,88,21,17,51,0,177,617,113,130,179,9,1045,35,14,12,122,847,1030,4346,1612,1306,10673,1046,18991
501021005,156,873,775,5842,46,7686,8,36,16,487,6,552,156,5,6,9,0,175,15,3,8,40,0,66,179,62,37,122,0,399,2063,872,719,4869,48,8571,142,0,27,3,0,173,44,6,4,30,0,77,192,58,33,358,7,645,11,9,4,53,0,74,15,0,0,4,0,26,178,10,4,24,0,215,457,113,121,1070,4,1768,228,129,40,746,4,1151,34,0,15,0,0,47,4,4,0,0,0,6,4,0,0,8,0,14,7,0,9,18,0,37,304,52,29,6,4,400,133,62,39,23,6,256,69,17,23,61,0,172,11,0,3,14,0,30,13,0,0,0,0,15,481,159,151,1086,8,1888,10,3,0,0,0,15,193,15,30,5,0,247,23,10,4,35,0,70,3,0,0,0,0,7,12,0,0,0,0,12,58,23,14,49,6,144,626,121,135,177,0,1061,46,10,8,73,502,640,4551,1537,1276,10397,606,18368
501021007,47,243,212,1824,29,2350,0,8,12,118,0,137,3,0,0,11,0,15,0,0,0,10,0,15,59,16,21,56,0,149,605,237,199,1425,29,2497,7,0,3,0,0,13,18,3,0,9,0,36,54,15,15,105,0,188,0,0,0,9,0,9,0,0,0,0,0,0,13,3,0,4,0,18,100,31,24,298,4,455,32,18,10,123,0,184,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,0,4,0,4,0,10,11,4,7,0,0,20,23,17,17,4,0,60,15,5,0,5,0,21,5,0,4,4,0,10,0,0,0,0,0,0,121,44,39,307,3,516,0,0,0,0,0,0,36,4,5,0,0,43,0,4,0,9,0,11,0,0,0,0,0,0,4,0,0,0,0,4,23,6,3,16,0,49,130,40,16,39,3,224,5,0,5,30,259,302,996,421,351,3111,319,5195
501021008,68,300,210,1788,33,2405,0,21,14,319,5,356,65,5,4,8,3,77,0,7,0,11,0,20,41,20,5,27,0,95,604,303,225,1647,35,2817,122,0,8,0,6,132,20,0,0,12,0,36,48,23,16,104,0,185,14,0,0,10,0,21,0,0,0,0,0,8,56,5,0,4,0,62,122,55,28,374,6,587,81,38,14,180,0,318,24,0,0,0,0,24,4,0,0,0,0,4,0,0,0,4,0,4,5,0,0,0,0,3,89,19,14,4,0,125,37,13,9,14,0,75,22,7,8,17,0,50,11,0,0,0,0,12,6,0,0,0,0,3,142,48,41,367,5,601,0,0,0,0,0,0,27,3,0,0,0,30,13,5,3,12,0,26,8,0,4,0,0,16,11,0,6,0,0,11,14,11,0,29,0,52,275,36,37,75,7,424,10,3,3,35,999,1050,1528,532,371,3475,1078,6981
501021009,63,361,288,2938,36,3684,0,18,11,328,6,364,27,4,0,9,0,39,7,4,0,4,0,20,54,22,9,39,0,129,683,385,290,2497,60,3912,51,0,6,0,0,63,18,0,0,10,0,34,70,39,11,192,0,314,0,0,0,7,0,11,4,0,0,0,0,7,16,8,5,10,0,36,119,62,35,448,6,665,92,64,8,294,4,465,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,71,19,13,3,0,104,43,16,13,16,0,88,79,9,6,49,0,148,5,4,0,3,0,13,0,0,0,0,0,0,138,82,56,558,4,839,0,0,0,0,0,5,37,0,7,4,0,49,4,0,0,8,0,12,0,0,0,0,0,3,4,0,0,0,0,9,42,16,14,45,0,118,156,38,18,51,5,264,9,4,6,62,610,689,1387,676,464,5354,705,8585
501021010,23,142,109,1051,13,1346,0,0,0,24,4,35,6,0,0,0,0,4,0,0,0,5,0,8,51,8,14,19,0,90,356,162,115,873,12,1509,13,0,4,0,0,20,4,0,6,3,0,15,43,12,7,46,0,113,0,3,5,4,0,9,0,5,0,0,0,4,5,0,4,0,0,9,58,22,8,206,0,301,36,24,25,155,0,245,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,9,3,5,0,0,18,12,5,5,8,0,24,8,3,5,5,0,20,10,4,0,0,0,12,0,0,0,0,0,0,90,23,29,166,4,316,0,3,0,0,0,3,35,5,7,4,0,48,3,0,0,4,0,14,0,5,0,0,0,5,0,0,0,0,0,0,9,4,0,14,0,33,62,13,9,23,0,111,3,0,0,9,147,166,653,265,204,1878,173,3169
