SA2_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
501011001,15,3,5,0,17,5,4,0,0,10,4,0,4,0,12,0,4,3,0,12,27,3,9,0,38,22,0,11,0,30,98,12,24,0,134,78,19,18,5,118,77,26,23,0,133,97,39,15,3,152,59,45,15,0,121,60,50,8,0,112,95,89,16,0,208,55,77,3,0,137,39,59,0,0,101,15,44,0,0,59,45,58,0,0,104,72,130,15,0,217,16,9,4,0,27,877,677,172,9,1737
501011003,18,8,7,0,33,13,0,4,0,16,11,0,5,0,15,9,0,4,5,11,38,0,13,0,50,22,0,18,0,38,89,15,37,0,150,85,17,42,0,147,146,39,46,0,231,149,50,23,3,223,69,70,25,0,163,105,73,19,6,189,180,185,21,0,387,112,193,10,0,310,81,136,10,0,228,51,64,4,0,117,170,249,5,0,430,123,275,28,0,431,10,9,9,0,24,1484,1381,320,21,3201
501011004,8,3,0,0,13,4,0,0,0,7,5,0,7,0,12,6,0,6,0,17,27,0,14,0,40,18,8,40,0,57,52,5,40,0,97,57,14,46,6,123,74,43,67,0,187,99,81,38,6,225,46,78,38,0,157,82,80,15,0,179,144,182,27,5,356,101,148,18,0,253,57,121,6,0,185,33,71,0,0,105,65,116,10,0,190,91,198,47,0,336,10,9,6,0,21,979,1149,418,16,2569
501011293,27,6,6,0,35,14,0,0,0,13,8,3,7,0,16,8,0,10,0,19,21,0,17,0,40,29,6,27,6,67,157,4,54,5,216,106,11,62,4,178,116,17,55,4,189,142,46,32,0,217,53,63,25,3,142,69,41,21,0,131,142,133,37,0,310,94,104,20,0,222,55,93,0,0,153,29,68,0,0,102,82,139,0,0,219,98,169,36,0,308,22,12,5,0,34,1279,917,394,32,2619
501011294,31,7,11,0,43,22,0,0,0,23,14,0,7,0,31,15,0,14,0,30,83,8,41,0,134,54,12,60,3,126,318,21,90,3,432,192,29,91,9,318,255,66,113,3,438,219,121,88,4,434,132,114,43,3,296,131,118,40,5,294,253,272,63,4,586,166,246,15,0,435,114,223,14,0,350,65,129,3,0,198,123,273,14,0,410,179,344,67,0,584,38,18,8,0,61,2401,2004,777,39,5220
501021005,41,5,15,0,55,13,0,8,0,18,17,0,9,0,31,21,0,9,0,35,54,9,39,0,100,39,8,61,0,110,232,11,85,9,329,149,22,86,4,260,181,55,78,3,312,169,100,69,4,341,89,105,46,9,244,118,157,52,3,326,257,388,68,9,724,203,304,31,0,535,164,292,25,3,484,85,181,8,0,275,145,403,10,0,549,165,398,72,0,639,29,21,4,0,58,2170,2451,767,45,5429
501021007,19,0,4,0,18,4,0,3,0,8,6,0,7,0,11,3,0,9,0,8,27,0,9,0,34,19,3,21,0,45,87,3,15,0,114,42,15,18,0,75,58,15,25,0,97,74,25,18,0,121,38,24,16,0,78,39,27,18,0,83,87,103,16,0,199,46,73,3,0,124,46,55,3,0,108,17,41,3,0,58,53,78,0,0,128,64,124,22,0,211,18,5,3,0,30,723,606,220,9,1558
501021008,11,0,11,0,22,3,0,0,0,7,5,0,10,0,9,3,0,24,0,22,10,0,21,0,33,17,3,57,0,76,91,4,44,3,140,52,18,56,4,133,65,30,54,3,153,52,37,47,8,145,41,33,25,7,96,35,34,21,4,94,96,77,19,0,192,50,67,10,0,128,31,51,7,0,82,9,26,3,0,38,22,35,0,0,56,50,71,37,4,154,4,3,8,0,15,640,492,446,30,1616
501021009,17,4,3,0,24,0,0,0,0,5,3,0,5,0,12,10,0,15,0,28,46,0,33,0,78,31,7,43,0,78,183,23,29,3,237,74,24,48,5,154,81,39,38,0,158,99,42,41,7,187,46,44,15,3,109,61,54,13,0,124,88,102,32,0,224,68,108,19,0,202,64,92,6,0,162,25,55,0,0,80,41,105,8,0,159,68,132,28,0,239,25,7,10,4,42,1047,831,390,32,2292
501021010,6,0,4,0,9,8,0,0,0,10,0,0,0,0,0,3,0,0,0,0,15,0,5,0,19,9,3,5,0,13,48,0,5,0,55,31,5,10,0,39,33,8,11,0,54,38,11,5,0,56,15,15,4,0,42,15,23,0,0,46,53,56,13,0,120,34,45,0,0,85,34,44,0,4,86,17,36,3,0,59,47,65,0,0,113,36,73,13,0,126,8,3,4,0,12,454,393,90,4,941
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
