SA2_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
501011001,977,20,0,41,7,1045,782,5,0,0,0,791,156,3,0,0,0,170,3,17,4,0,0,21,0,7,0,0,0,10,247,9,4,11,0,266,46,0,0,19,7,68,4,0,0,0,0,8,456,35,11,31,9,537,85,17,6,9,3,120,196,4,4,23,4,229,2497,78,18,106,27,2728
501011003,1541,81,7,47,0,1674,1462,104,4,12,4,1582,318,41,3,7,3,363,16,13,0,0,0,23,0,0,0,0,0,4,320,31,4,7,5,367,69,4,3,21,4,100,0,0,0,0,0,4,724,97,11,33,8,865,123,11,9,10,0,153,259,14,8,18,6,311,4106,301,37,118,17,4579
501011004,1017,42,3,18,6,1088,1380,45,9,0,3,1439,342,44,3,0,5,396,51,23,0,0,0,76,5,4,0,0,0,7,376,34,3,0,5,420,27,0,0,38,0,77,3,0,0,0,0,3,805,103,11,46,7,968,57,16,0,0,6,79,221,16,6,53,8,305,3476,226,24,127,31,3885
501011293,1195,61,9,74,0,1333,1220,19,6,4,0,1245,458,60,4,0,0,520,94,70,0,0,0,163,3,24,0,0,0,25,206,19,4,0,0,236,23,0,0,11,4,42,5,0,0,0,0,5,794,171,7,9,4,990,34,5,5,7,0,44,127,50,0,51,0,225,3363,297,18,149,10,3836
501011294,2320,210,18,48,7,2599,2485,107,5,0,0,2598,705,136,0,0,4,845,157,133,0,0,0,297,17,40,0,0,0,56,452,48,0,0,3,505,61,14,3,74,0,153,4,0,0,0,0,10,1400,374,4,80,8,1862,103,150,0,11,0,269,249,69,0,40,4,363,6554,908,32,175,20,7689
501021005,1857,63,13,57,0,1992,3274,24,0,5,4,3308,654,56,9,5,5,725,60,31,9,0,0,104,9,8,0,0,0,18,319,17,8,3,0,342,33,0,0,56,0,92,7,0,0,0,0,4,1080,111,28,68,5,1289,51,45,0,12,0,113,183,16,0,75,0,273,6452,260,43,222,10,6978
501021007,710,16,0,5,0,735,853,14,0,0,0,867,121,5,0,0,0,124,18,21,0,0,0,41,5,4,0,0,0,9,128,7,0,3,0,135,20,0,0,0,0,23,0,0,0,0,0,0,286,41,0,5,0,332,36,0,0,4,0,40,123,10,0,10,0,145,2016,89,0,18,3,2125
501021008,637,43,0,0,0,682,779,42,0,0,0,826,394,103,0,0,0,501,75,145,0,0,0,215,11,49,0,0,0,59,264,28,0,0,0,289,18,23,0,0,0,41,11,4,0,0,0,10,762,351,0,0,3,1112,24,7,0,0,0,31,146,53,0,15,3,210,2353,497,0,14,8,2871
501021009,1336,25,24,14,6,1401,1214,12,10,0,0,1237,211,14,37,3,0,265,70,37,25,0,0,131,8,0,0,0,0,12,209,18,4,0,0,230,33,0,3,3,3,48,4,0,4,0,0,3,529,70,75,9,4,688,47,0,0,0,0,47,242,17,8,8,3,280,3374,123,112,32,12,3653
501021010,450,4,0,36,0,484,499,5,0,4,0,510,32,0,0,0,0,38,3,0,0,0,0,3,12,0,0,0,0,12,83,0,0,0,0,84,16,0,0,20,0,27,0,0,0,0,0,0,144,0,0,19,0,170,29,0,0,5,0,30,71,0,0,18,0,86,1192,6,0,75,0,1275
