SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501011001,27,36,71,349,389,739,0,0,0,35,35,71,0,0,0,297,351,650,3,4,5,11,11,19,3,10,14,0,6,3,9,7,21,0,0,0,13,10,22,7,7,12,26,36,54,0,0,0,4,0,6,61,86,145,85,101,183,4,3,3,893,1057,1948,3,5,10,4,4,13,8,0,8,0,0,0,4,0,5,9,14,19,7,20,25,1842,1779,3624,10,5,22,7,4,13,1854,1796,3652,339,357,689,24,12,30,3161,3283,6442
501011003,61,73,135,728,892,1622,0,0,0,40,51,88,0,0,0,815,983,1798,9,8,12,24,18,38,28,35,69,9,10,18,15,12,31,0,0,0,17,14,35,25,32,64,60,65,128,0,4,10,9,8,18,101,149,248,113,131,242,5,6,6,1990,2418,4413,25,15,33,9,14,14,9,6,19,0,0,0,10,0,11,10,12,24,17,15,36,3142,2991,6130,18,10,30,4,22,23,3158,3025,6190,532,557,1095,26,14,37,5827,6146,11972
501011004,66,78,140,340,457,793,0,0,0,38,45,84,0,0,0,479,570,1051,7,4,12,12,10,28,38,43,82,0,3,8,7,17,22,0,0,0,9,14,19,15,17,30,45,41,83,0,0,0,0,6,9,39,67,108,68,86,154,0,7,4,1095,1382,2476,13,13,28,18,16,37,0,5,12,0,6,4,8,0,13,11,21,38,24,28,48,3120,3066,6185,18,19,39,7,18,27,3147,3101,6254,537,490,1024,53,16,69,4954,5126,10077
501011293,27,55,81,681,819,1497,0,0,0,67,73,143,0,0,0,588,741,1330,21,20,43,3,12,14,37,54,92,3,3,4,8,15,22,0,0,0,18,19,38,20,24,39,50,61,116,3,6,9,26,22,51,99,142,241,99,125,223,0,5,12,1738,2139,3873,12,12,26,46,36,81,0,0,0,0,0,0,8,19,28,7,11,23,21,32,50,2151,2104,4256,14,7,22,4,6,13,2170,2123,4292,338,303,637,3,4,9,4349,4699,9049
501011294,48,110,162,1126,1578,2703,0,0,0,133,167,304,0,0,0,1250,1530,2785,60,83,144,15,15,32,60,103,165,15,17,27,17,28,48,0,0,0,25,45,69,56,66,115,76,114,190,5,20,24,30,37,63,204,319,524,282,336,622,7,3,12,3367,4457,7824,33,43,76,56,45,100,4,0,3,0,4,8,17,15,34,20,25,41,42,39,77,4690,4699,9390,27,13,41,13,23,35,4734,4737,9468,613,668,1273,10,17,30,8907,10109,19021
501021005,49,76,125,894,1189,2091,0,0,0,177,189,363,0,0,0,1460,1697,3159,9,22,34,19,18,32,80,110,197,35,40,77,15,20,30,0,0,0,27,35,64,52,63,112,108,138,246,9,14,18,20,25,39,118,193,313,330,347,676,6,18,25,3359,4111,7467,64,56,117,57,61,120,4,11,17,0,0,0,21,14,28,20,27,54,40,42,76,4840,4619,9455,21,18,37,15,13,35,4883,4646,9525,485,433,917,6,10,15,8948,9440,18381
501021007,14,26,36,333,396,732,0,0,0,27,22,56,0,0,0,307,393,693,4,10,15,3,7,6,9,6,12,7,12,16,3,8,16,0,0,0,5,6,18,8,14,19,59,49,107,3,4,10,13,13,26,59,82,141,55,77,133,9,6,11,898,1109,2001,3,0,0,0,3,11,0,0,0,0,0,0,0,0,3,5,14,18,4,18,22,1365,1314,2679,8,8,19,3,6,11,1379,1328,2710,200,219,417,0,3,4,2506,2695,5198
501021008,17,34,51,314,463,775,0,0,0,41,49,94,0,0,0,461,553,1018,6,17,13,9,15,22,19,33,52,17,19,31,0,9,9,0,4,3,9,14,23,20,26,46,26,23,47,9,17,28,12,19,30,53,73,124,91,93,186,6,3,7,1085,1420,2503,4,5,13,25,29,55,0,0,0,0,0,0,10,5,10,5,28,39,10,38,49,1541,1582,3125,17,12,25,10,3,12,1565,1598,3162,810,330,1141,5,0,10,3527,3462,6992
501021009,8,23,32,477,607,1085,0,0,0,46,58,111,0,0,0,679,703,1380,19,23,42,3,3,4,20,26,47,4,9,8,4,3,16,0,0,0,20,15,36,13,18,30,30,28,61,8,10,18,6,16,25,88,95,179,66,82,151,7,3,10,1498,1698,3203,6,8,13,6,9,17,0,0,0,0,3,3,0,0,0,13,17,31,13,26,37,2377,2056,4433,11,13,20,6,7,15,2390,2076,4469,441,382,825,8,3,3,4376,4219,8589
501021010,11,10,22,216,246,462,0,0,0,10,9,20,0,0,0,296,321,613,0,0,0,0,4,5,0,0,3,0,3,4,0,4,9,0,0,0,10,6,12,5,5,4,28,28,50,3,6,9,3,10,19,41,32,76,61,58,118,3,4,7,685,727,1413,0,0,0,4,0,4,3,0,6,0,0,0,0,0,0,0,8,9,0,9,10,756,673,1435,0,0,3,0,0,0,763,674,1441,151,127,279,0,0,3,1608,1556,3171
