SA2_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501011001,2247,2266,4519,0,0,0,0,0,0,7,17,23,5,7,8,0,0,0,0,0,0,0,0,0,22,28,50,0,0,0,0,0,0,7,4,11,3,5,11,0,0,0,0,0,0,13,8,18,15,16,32,0,3,3,0,0,0,0,0,0,3,10,6,0,0,0,16,15,28,93,83,171,0,0,0,5,17,24,4,0,4,9,6,12,22,26,51,0,0,0,0,3,4,0,9,4,287,326,615,24,22,42,5,6,14,79,90,167,278,302,577,24,12,30,3161,3283,6442
501011003,4204,4304,8514,5,0,5,0,0,0,19,28,45,0,4,8,0,5,4,0,0,0,0,0,5,32,68,107,0,0,0,0,6,9,27,16,41,8,15,24,0,0,0,0,0,0,35,36,69,25,15,40,6,12,21,3,7,14,0,0,0,6,14,22,3,0,6,25,19,44,147,132,279,0,0,3,3,13,20,11,9,20,5,18,23,76,90,167,6,9,19,5,21,26,6,16,21,519,572,1090,37,30,66,0,5,10,133,168,305,434,486,918,26,14,37,5827,6146,11972
501011004,3340,3402,6750,4,0,0,0,0,0,20,36,54,5,12,16,0,0,0,0,0,0,0,3,3,30,60,92,3,4,3,0,5,6,14,13,25,6,23,30,0,0,4,0,0,0,38,26,59,45,33,78,6,25,27,13,13,29,0,0,0,3,9,11,0,0,0,24,21,43,148,132,284,0,0,0,31,47,75,5,7,9,3,13,17,58,64,119,8,0,9,7,11,22,10,28,29,424,473,902,38,33,79,6,8,16,206,198,404,408,397,806,53,16,69,4954,5126,10077
501011293,3263,3480,6740,20,5,20,0,0,0,13,14,20,8,9,14,0,0,0,0,0,4,0,3,3,18,23,41,3,0,3,4,6,9,25,23,47,3,12,19,0,0,0,0,0,0,11,16,33,8,5,11,3,6,12,7,12,18,0,0,0,6,9,13,0,0,0,18,24,37,104,113,213,7,6,15,24,34,54,0,3,5,4,10,19,70,71,136,6,0,7,0,4,4,7,21,27,409,448,854,23,13,32,5,7,20,78,101,179,211,229,442,3,4,9,4349,4699,9049
501011294,6929,7685,14616,35,15,41,0,0,3,11,25,39,4,20,27,4,0,4,6,0,0,3,3,3,32,51,80,0,0,0,0,5,5,49,33,80,8,26,39,0,0,0,0,0,0,30,47,75,29,21,48,4,13,17,13,12,19,0,0,0,15,10,27,9,8,16,32,43,75,215,222,440,4,4,12,18,62,84,0,8,9,8,7,19,83,101,182,11,14,21,0,11,12,3,41,46,736,918,1658,23,33,58,20,22,45,141,160,302,412,465,881,10,17,30,8907,10109,19021
501021005,6984,7281,14271,0,0,6,4,0,8,10,15,19,21,50,67,0,0,0,0,0,0,6,5,10,15,45,64,0,3,6,0,4,7,74,65,143,3,24,25,0,0,4,4,8,15,38,39,79,35,20,49,4,11,11,17,12,34,0,0,0,18,20,43,0,0,0,36,28,64,359,350,704,9,5,10,40,84,123,7,8,13,15,15,30,152,173,325,0,7,6,9,25,32,12,33,42,583,644,1229,14,20,35,3,8,16,164,164,333,295,255,552,6,10,15,8948,9440,18381
501021007,1994,2118,4114,0,0,0,0,0,0,11,10,19,0,0,0,0,0,0,0,0,0,0,0,0,10,6,12,0,0,0,0,3,3,3,3,12,0,5,6,0,0,0,0,0,0,6,6,12,6,5,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,14,6,21,66,59,129,0,0,3,0,7,9,0,0,0,3,0,3,28,29,58,0,0,0,0,0,0,0,10,10,164,196,360,3,8,15,0,0,4,34,46,77,157,159,316,0,3,4,2506,2695,5198
501021008,2684,2512,5191,0,0,3,0,0,0,0,5,9,7,16,22,5,0,5,0,4,6,0,0,0,10,8,18,3,0,3,3,3,9,28,23,55,8,12,19,0,0,7,4,0,4,10,10,22,19,14,32,9,10,12,13,10,22,3,0,7,7,5,13,0,3,5,5,11,21,102,98,199,11,6,18,47,78,123,3,10,5,6,0,7,35,35,72,9,8,14,0,5,7,0,16,22,185,204,386,5,4,9,7,8,17,59,64,118,238,281,516,5,0,10,3527,3462,6992
501021009,3520,3421,6937,0,0,0,0,0,0,4,5,6,5,5,7,4,0,6,0,0,0,0,0,3,23,24,43,0,0,0,0,0,0,11,6,11,10,3,15,3,0,8,0,0,0,5,7,17,23,19,35,0,5,7,5,0,8,0,0,0,0,3,7,0,0,0,13,10,22,107,95,203,3,0,4,15,30,45,6,10,10,0,4,4,28,21,51,0,0,0,0,0,0,0,8,9,214,208,425,3,6,12,0,4,4,36,36,71,338,285,623,8,3,3,4376,4219,8589
501021010,1276,1218,2498,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,0,0,0,4,0,4,5,0,3,0,0,0,0,0,0,0,0,0,4,3,6,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,18,34,22,52,0,0,0,0,12,12,0,0,0,0,0,0,23,27,45,0,0,0,0,0,0,0,0,0,113,129,242,8,7,11,0,0,0,15,21,37,102,97,197,0,0,3,1608,1556,3171
