SA2_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
501011001,23,42,141,260,228,195,76,21,0,978,39,14,39,64,74,109,56,15,4,418,0,5,14,28,22,20,9,0,0,91,0,0,4,3,3,7,9,3,0,28,65,59,198,351,331,319,142,40,10,1522,0,0,3,8,11,10,0,0,0,37,4,5,0,0,3,0,0,4,0,16,7,3,3,10,10,12,4,4,0,54,74,65,201,360,340,331,151,45,10,1570,38,7,12,23,42,109,284,160,62,729,4,6,20,41,48,32,19,19,5,196,114,70,237,425,431,475,452,218,71,2497,15,23,86,109,124,115,24,0,0,496,63,23,118,253,186,189,71,5,0,909,3,0,16,20,18,30,4,0,0,90,0,0,5,9,10,0,0,5,0,29,82,46,222,397,332,326,103,16,0,1517,0,0,0,3,8,6,0,0,0,18,0,0,0,4,10,5,6,0,0,17,0,0,3,9,12,8,6,0,0,39
501011003,54,86,315,489,496,347,101,14,4,1904,119,47,88,97,131,158,153,19,4,813,14,8,22,49,48,43,8,4,0,204,10,0,5,15,19,4,0,6,0,59,200,134,433,656,691,557,264,34,0,2977,0,4,13,5,10,0,0,0,0,40,4,0,0,0,3,7,3,0,0,24,11,6,11,3,14,4,9,0,0,63,213,140,440,661,708,565,275,34,0,3041,96,11,27,29,46,153,486,284,65,1191,20,11,47,50,55,59,61,33,6,335,327,160,520,734,810,777,820,351,75,4568,25,39,212,235,297,169,33,4,0,1004,136,63,209,446,378,325,134,13,0,1710,13,8,40,62,28,40,7,0,0,210,5,3,5,11,10,7,0,0,0,48,185,113,465,758,706,547,174,17,0,2974,0,0,4,4,4,4,0,0,0,20,8,0,8,10,6,9,3,0,0,42,13,0,12,16,7,8,3,0,0,60
501011004,36,80,330,447,426,245,60,3,0,1625,108,51,114,108,118,139,80,14,0,729,11,4,26,31,36,28,7,0,0,148,9,4,13,8,9,8,0,0,0,54,164,140,484,592,592,422,152,17,0,2556,8,4,8,6,11,5,6,0,0,49,10,4,0,0,3,9,0,0,0,31,15,5,15,14,13,14,3,0,0,79,178,147,493,606,607,442,152,17,0,2634,109,21,23,44,58,113,286,135,46,827,28,21,57,50,63,56,37,8,4,327,316,184,582,694,730,606,471,155,55,3794,15,38,199,241,258,139,24,0,0,913,116,53,217,403,337,231,73,10,0,1441,9,9,38,44,20,30,12,0,0,163,3,0,7,14,9,3,0,0,0,30,142,93,459,702,625,410,104,11,0,2550,3,4,5,5,5,3,0,0,0,30,6,8,11,8,5,10,0,0,0,49,5,7,15,13,11,14,0,0,0,77
501011293,41,106,251,295,370,274,52,6,0,1394,90,51,66,62,62,99,78,6,0,509,7,11,17,20,21,14,7,0,0,103,0,9,7,0,11,0,0,0,0,32,139,168,347,381,463,384,138,14,4,2040,6,10,23,11,3,6,0,0,0,56,15,3,5,5,5,8,0,0,0,49,18,14,34,18,12,15,0,0,0,104,161,185,373,390,473,402,143,14,4,2151,81,21,38,29,62,126,449,287,64,1163,15,7,46,32,30,42,26,27,3,222,251,216,458,460,565,566,625,327,67,3541,21,65,151,156,244,154,26,5,0,827,119,68,135,227,284,241,72,5,0,1153,6,9,22,17,17,18,8,0,0,100,3,6,0,7,0,4,0,0,0,22,150,136,311,408,549,416,109,8,0,2100,0,4,3,3,5,3,0,0,0,22,6,3,13,13,6,8,0,0,0,53,7,8,15,17,13,11,0,0,0,82
501011294,102,190,524,707,716,508,105,4,0,2855,250,77,105,123,141,206,127,20,0,1045,16,8,33,40,53,49,16,3,0,223,8,7,12,21,3,6,3,0,0,54,370,275,677,891,913,768,251,29,6,4178,9,21,28,19,21,9,4,0,0,100,21,3,7,5,6,5,6,0,0,56,33,25,34,23,24,21,4,0,0,157,399,297,706,917,935,784,265,29,6,4334,179,42,58,87,110,238,796,612,224,2344,16,9,49,51,52,49,51,42,30,343,598,354,817,1050,1094,1072,1115,690,255,7023,66,126,286,371,490,302,39,4,0,1681,271,129,341,572,541,435,151,16,0,2446,21,11,45,41,43,55,14,0,0,231,7,10,7,8,5,10,0,0,0,50,360,277,682,985,1081,796,205,22,0,4410,3,4,10,9,14,5,0,0,0,51,28,3,11,18,16,18,5,0,0,98,31,7,19,28,32,22,4,0,0,147
501021005,116,244,713,906,830,607,97,3,0,3514,186,74,93,96,76,94,84,6,0,711,15,17,43,37,41,48,16,0,0,210,4,8,19,14,10,4,0,0,0,61,318,330,863,1052,957,753,202,15,0,4495,21,26,28,24,23,21,0,0,0,143,29,3,6,3,3,6,3,0,0,61,50,33,37,30,32,29,4,0,0,207,373,360,899,1081,992,774,206,15,0,4694,237,36,48,72,72,208,606,378,71,1733,22,25,32,31,32,41,24,10,5,227,629,428,979,1190,1093,1030,835,403,79,6659,65,135,328,417,493,284,20,0,0,1741,281,134,372,589,441,336,104,10,0,2264,11,14,77,44,30,34,5,0,0,222,6,5,11,14,8,5,6,0,0,59,367,287,794,1066,967,665,136,10,0,4290,14,6,5,12,19,15,0,0,0,80,38,12,24,23,13,16,3,0,0,136,56,21,29,38,33,30,7,0,0,208
501021007,21,64,146,204,242,185,48,3,0,915,40,17,23,23,32,57,36,10,0,234,6,6,8,13,17,27,0,0,0,77,0,8,3,5,6,4,0,4,0,38,73,93,184,242,294,265,92,14,0,1254,0,0,4,3,4,6,0,0,0,32,3,0,0,0,0,0,0,0,0,8,4,5,4,8,4,9,0,0,0,37,79,94,190,249,297,278,92,14,0,1287,61,9,6,19,25,80,221,127,19,561,15,6,10,17,32,20,17,9,7,125,151,106,202,282,354,373,332,147,21,1968,11,34,74,90,133,110,12,0,0,464,68,28,73,146,168,138,35,5,0,660,4,5,16,16,14,24,5,0,0,81,3,0,4,6,5,5,0,0,0,31,90,68,160,256,316,274,57,8,0,1230,3,4,0,8,3,7,0,0,0,25,9,3,6,4,3,3,0,0,0,21,8,4,3,9,9,11,0,0,0,44
501021008,27,90,211,209,190,184,30,0,0,945,44,34,63,30,41,47,22,4,0,288,3,4,11,11,12,13,4,0,0,59,3,3,9,6,5,0,0,0,0,29,79,135,289,253,244,250,66,8,0,1320,6,22,24,9,12,7,5,0,0,80,7,6,11,5,9,5,0,0,0,40,15,25,30,12,16,11,7,0,0,116,94,162,324,262,259,261,70,8,0,1436,68,56,212,230,147,144,238,158,62,1323,17,20,36,32,30,19,21,9,9,190,178,235,575,518,435,426,330,177,71,2949,23,68,126,102,129,97,9,0,0,559,72,64,111,142,134,124,40,5,0,686,6,12,20,15,15,16,4,0,0,94,0,6,3,3,5,5,0,0,0,20,99,150,259,270,288,237,55,3,0,1359,0,5,8,3,9,6,0,0,0,33,16,6,15,11,10,3,0,0,0,53,14,11,17,13,13,11,0,0,0,87
501021009,46,113,234,311,323,281,46,6,0,1362,55,32,59,33,28,53,30,12,0,302,6,9,8,20,22,26,3,5,0,106,0,9,16,10,5,4,3,0,5,51,112,165,316,369,385,366,85,16,4,1817,8,19,40,25,14,24,4,0,0,126,9,6,0,3,8,5,3,0,0,37,17,23,40,30,21,22,10,0,0,161,119,186,353,399,409,392,95,16,4,1977,117,24,37,51,81,212,473,222,50,1273,27,13,41,51,42,38,36,34,21,298,264,223,434,499,524,638,604,275,78,3541,23,59,111,123,178,94,14,3,0,606,84,51,141,192,181,164,46,5,0,865,3,5,17,10,25,20,0,0,0,80,5,4,8,10,11,8,4,0,0,38,112,110,276,330,390,288,63,7,0,1584,11,6,18,4,13,12,3,0,0,64,12,3,5,9,14,11,0,0,0,54,23,4,25,16,30,21,3,0,0,122
501021010,20,42,104,119,177,129,32,8,0,638,31,4,3,15,26,26,36,11,0,147,8,0,0,7,8,15,0,3,0,46,0,0,4,3,5,3,0,0,0,19,57,51,113,149,208,173,73,19,0,854,0,4,5,5,5,4,0,0,0,14,0,0,0,0,0,4,0,0,0,6,0,4,4,0,5,10,0,0,0,24,63,49,120,150,215,181,78,19,0,877,29,3,6,3,16,47,144,62,19,332,0,0,6,9,21,13,20,10,4,78,96,61,132,170,243,243,235,91,28,1284,8,24,46,56,72,70,13,0,0,285,32,20,43,108,105,70,31,3,0,410,3,4,9,8,9,11,0,0,0,36,0,0,0,4,0,0,0,0,0,10,46,46,96,169,189,154,42,4,0,747,0,3,0,0,3,0,0,0,0,9,8,0,0,0,0,7,0,0,0,20,10,3,0,0,7,7,0,0,0,28
