SA2_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
507051193,819,403,206,50,4427
507051312,443,295,166,18,4978
507051313,1160,598,324,48,11027
507051314,110,69,17,12,900
509011225,1389,1115,645,328,7712
509011226,424,285,97,9,1947
509011227,426,327,176,51,2390
509011228,765,663,333,84,3584
509011229,204,140,35,11,1180
509011230,284,197,93,41,1785
509011231,322,198,119,37,1697
509011232,375,329,123,31,1737
509011233,726,508,255,68,4719
509011234,478,415,160,57,2423
509011235,0,0,0,0,0
509021236,581,314,167,27,2716
509021237,298,221,121,39,1583
509021238,258,261,83,31,1534
509021239,829,831,354,58,4339
509021240,365,247,118,55,2187
509021241,352,259,106,34,1931
509021242,380,179,53,19,2036
509021243,857,708,307,86,4954
509021244,574,473,187,23,2249
509021245,501,528,267,69,2415
509031246,251,215,93,31,1416
509031247,382,199,76,21,1984
509031248,266,162,59,9,1307
509031249,330,248,134,78,2049
509031250,393,289,125,26,1976
510011262,1958,1626,481,52,11660
510011263,764,580,93,7,4229
510011264,392,297,71,8,2027
510011265,1138,777,129,27,6047
510011266,558,543,130,15,2424
510021267,1734,449,51,5,12238
510021268,309,91,18,0,2539
510021269,517,220,59,5,3373
510021270,917,290,51,15,6845
510031271,1665,668,129,4,10481
510031272,1335,508,112,12,10970
510031273,840,368,89,3,5021
511011274,871,605,395,99,5508
511011275,365,191,81,16,2188
511021276,537,537,202,34,3012
511021277,1403,1507,380,33,6909
511031278,584,286,62,6,3188
511031279,942,477,152,72,6851
511031280,531,246,84,19,4128
511031281,7,0,0,0,5
511031282,552,294,62,8,3613
511031283,1122,296,41,3,7184
511031284,0,0,0,0,0
511041285,1017,809,445,272,6079
511041286,553,278,112,15,3146
511041287,575,410,149,28,3828
511041288,680,432,190,50,4667
511041289,364,374,178,33,1826
511041290,813,405,93,0,5019
511041291,489,397,159,35,2492
511041292,719,769,233,47,3393
597979799,465,123,24,0,2853
