SAL_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SAL50443,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,8,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,27,5,0,30,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,0,0,3,3,0,11,0,3,0,0,5,0,0,0,0,7,0,4,0,0,5,0,0,0,0,3,0,13,0,0,13,0,3,4,0,5,0,12,0,0,12,0,0,0,0,6,0,0,0,0,0,0,45,9,0,57
SAL50444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
SAL50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,15,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,3,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,5,0,0,0,0,0,0,5,0,0,5,0,3,0,0,3,0,5,0,0,5,0,0,0,0,0,0,22,6,0,29
SAL50446,0,3,0,0,5,3,30,0,0,29,0,11,0,0,12,0,7,0,0,7,0,18,0,0,23,0,21,0,0,27,0,28,8,0,37,0,36,3,0,38,4,32,4,0,43,0,12,6,0,23,0,7,0,0,6,16,207,25,0,243,0,11,4,0,15,0,36,4,0,42,0,16,0,0,16,0,5,0,0,5,0,26,0,0,27,0,28,0,0,27,0,36,4,0,40,0,41,4,0,43,4,33,7,0,39,4,7,0,0,12,9,0,0,0,12,22,229,19,0,274,0,20,5,0,22,4,65,4,0,71,0,24,0,0,22,0,15,0,0,15,3,47,0,0,48,4,47,4,0,54,4,60,10,0,75,4,73,7,0,80,7,63,8,0,79,8,23,6,0,36,9,6,0,0,16,38,442,40,0,516
SAL50447,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,6,0,0,6,0,8,0,0,5,0,9,0,0,9,0,15,0,0,14,0,3,0,0,5,0,0,0,0,0,0,46,3,0,53,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,4,0,0,9,0,6,0,0,6,0,10,0,0,10,0,17,0,0,17,0,3,0,0,3,0,0,0,0,0,0,52,3,0,61,0,3,0,0,3,0,3,3,0,10,0,0,0,0,0,0,5,0,0,5,0,7,0,0,11,0,10,0,0,9,0,8,0,0,9,0,16,0,0,16,0,31,0,0,31,0,7,0,0,12,0,0,0,0,3,0,100,8,0,111
SAL50448,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,6,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,10,0,6,0,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,14,0,0,18,0,5,0,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,4,6,0,11,0,6,0,0,6,0,3,0,0,3,0,6,0,0,6,0,0,0,0,0,0,40,6,0,39
SAL50449,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,5,0,0,5,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,27,0,0,32
SAL50450,0,3,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,6,0,0,6,0,6,0,0,6,0,4,3,0,4,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,42,4,0,44,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,4,0,0,4,0,3,0,0,4,0,4,0,0,3,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,30,3,0,34,0,3,0,0,3,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,7,0,0,7,0,10,0,0,17,0,6,4,0,11,0,9,3,0,7,3,5,0,0,8,0,0,0,0,0,4,72,6,0,84
SAL50451,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,3,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,5,0,15,0,4,0,0,6,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,8,0,30,0,4,3,0,7,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,13,0,5,0,0,5,0,9,0,0,3,0,3,0,0,9,0,4,0,0,4,0,0,0,0,0,9,31,13,0,47
SAL50452,0,87,5,0,92,12,188,11,0,211,0,83,0,0,90,3,105,8,0,116,8,211,13,0,231,9,188,7,0,209,10,196,6,0,219,10,205,11,0,227,22,196,10,0,229,31,126,3,0,164,12,41,3,0,52,117,1633,92,3,1841,0,83,9,0,91,3,174,13,0,191,3,92,6,0,101,4,108,0,0,107,7,210,10,0,227,7,204,8,0,217,11,246,10,0,267,14,256,13,0,281,22,225,13,0,265,39,157,3,0,204,27,45,5,0,75,137,1791,94,7,2028,0,167,11,0,184,15,353,27,0,405,8,177,5,0,187,4,217,9,0,228,15,421,23,0,456,18,389,18,0,427,21,442,19,0,484,18,459,22,0,507,42,420,20,0,498,67,286,10,0,368,42,81,7,0,130,256,3419,189,8,3865
SAL50453,6,273,12,0,293,8,365,19,0,390,10,147,6,0,160,0,258,16,0,271,11,681,40,0,735,3,507,19,0,540,8,290,19,0,319,12,244,13,4,267,12,146,0,0,163,8,58,0,0,67,6,16,0,0,22,87,2980,146,11,3217,0,266,18,0,281,3,376,20,0,398,4,123,4,0,132,5,258,15,0,282,6,698,34,0,734,3,469,26,0,504,16,298,6,0,321,18,241,9,0,269,13,146,5,4,171,12,44,3,4,62,12,11,4,0,22,92,2929,140,10,3175,6,533,32,0,580,11,739,34,0,789,12,270,6,0,293,3,517,35,0,554,15,1374,78,0,1469,12,979,51,0,1042,22,586,28,0,640,25,481,17,3,534,34,292,5,0,336,25,101,4,4,132,16,21,4,0,44,174,5914,292,18,6402
SAL50454,0,35,3,0,42,0,61,8,0,67,0,15,3,0,19,0,17,0,0,19,0,39,8,0,50,0,50,10,0,55,0,57,9,0,61,5,67,14,0,88,6,80,12,0,98,0,65,4,0,69,0,9,0,0,9,17,495,78,4,581,0,27,3,0,28,0,42,12,0,48,0,17,6,0,23,0,18,5,0,22,0,44,0,0,45,0,48,11,0,57,0,46,8,0,49,0,68,8,0,81,5,83,5,0,93,7,39,4,0,49,3,0,0,0,3,14,436,51,0,503,0,62,11,0,69,0,103,24,0,121,0,31,7,0,40,0,35,5,0,45,0,84,11,0,93,0,99,17,0,114,0,99,15,0,110,5,138,18,0,166,6,167,17,0,190,9,102,5,0,119,3,11,0,0,13,28,928,126,4,1085
SAL50455,0,0,0,0,0,0,0,5,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,12,0,0,0,0,0,0,0,5,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,6,0,7,0,0,7,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,5,0,31
SAL50456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9
SAL50457,8,180,7,0,189,17,434,18,0,474,7,240,5,0,252,4,180,4,4,189,11,315,17,12,355,3,362,21,5,399,8,515,19,3,550,9,469,17,3,500,21,372,14,0,412,35,154,18,0,215,44,41,15,0,102,164,3277,164,34,3629,0,164,10,0,174,11,504,17,0,530,12,266,4,0,282,3,171,0,0,179,5,352,11,3,370,4,478,25,0,503,13,588,14,0,615,6,524,21,0,557,16,370,14,0,406,50,181,25,0,254,84,40,32,0,151,193,3633,169,3,4009,3,351,13,0,362,27,939,33,0,1000,13,504,13,0,534,3,351,4,4,366,11,665,32,14,726,10,838,47,6,901,17,1102,37,3,1157,23,992,32,9,1053,39,743,29,0,817,90,340,41,0,468,129,76,52,0,259,362,6912,330,34,7641
SAL50458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,8,0,9,0,0,9,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,6,0,3,0,0,3,0,12,0,0,13,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,37,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,6,0,0,6,0,7,0,0,7,0,25,0,0,27,0,20,3,0,25,0,4,0,0,4,0,0,0,0,0,0,80,3,0,85
SAL50459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,3,0,0,5,0,5,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,16,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,0,8,0,0,0,0,3,0,5,0,0,0,0,12,0,0,12,0,0,3,0,7,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,6,0,44
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL50461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7
SAL50462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,5,0,0,5,0,6,3,0,10,0,0,0,0,0,0,0,0,0,0,0,20,4,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,17,6,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,10,0,3,0,0,3,0,11,0,0,11,0,12,3,0,19,0,6,0,0,6,0,0,0,0,0,3,34,6,0,50
SAL50463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17
SAL50464,5,214,28,0,244,17,201,40,0,259,0,114,20,0,140,6,431,45,9,490,9,1568,206,48,1836,5,1099,205,32,1340,12,670,151,34,872,19,666,121,22,825,25,462,79,5,579,25,149,29,3,212,21,20,12,0,51,149,5593,943,160,6852,0,194,22,7,222,0,203,27,4,231,0,129,15,0,140,7,481,41,6,534,14,1636,158,40,1850,7,839,124,9,982,12,558,87,17,674,26,528,69,8,627,25,378,36,7,440,27,125,19,0,167,31,16,7,0,56,150,5074,600,92,5917,8,406,50,9,468,17,402,65,9,486,0,241,41,0,279,11,918,84,16,1025,28,3200,367,89,3685,21,1934,338,40,2321,26,1230,240,45,1545,41,1188,197,28,1453,47,840,115,12,1013,52,270,43,7,380,54,39,15,0,109,292,10668,1547,250,12768
SAL50465,0,4,0,0,4,0,15,0,0,15,0,3,0,0,3,0,5,0,0,5,0,7,0,0,6,0,12,0,0,12,0,16,0,0,16,0,18,0,0,18,4,15,0,0,15,0,3,0,0,3,0,0,0,0,0,5,94,0,0,98,0,6,0,0,6,0,13,0,0,13,0,9,0,0,9,0,0,0,0,0,0,15,0,0,17,0,6,0,0,6,0,19,0,0,21,0,19,0,0,14,0,15,0,0,15,0,5,0,0,5,0,0,0,0,0,3,97,0,0,102,0,11,0,0,11,0,24,0,0,24,0,12,0,0,12,0,6,0,0,6,0,19,0,0,21,0,19,0,0,19,0,34,0,0,35,0,34,0,0,41,4,27,0,0,30,0,6,0,0,6,0,0,0,0,0,8,192,0,0,198
SAL50466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,5,0,19
SAL50467,0,0,5,0,5,0,6,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,13,0,15,8,0,17,3,39,12,0,49,3,54,9,0,59,3,15,0,0,21,0,3,0,0,6,12,137,40,0,189,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,7,0,8,6,0,11,0,3,0,0,10,0,8,5,0,11,5,28,0,0,41,5,29,3,0,43,3,15,7,0,21,0,0,0,0,3,18,111,25,0,156,0,0,0,0,5,0,17,3,0,22,0,0,0,0,0,0,3,0,0,7,0,8,8,0,15,0,14,4,0,18,0,24,7,0,30,4,69,15,0,91,7,85,10,0,101,4,28,3,0,42,3,5,0,0,11,29,251,65,0,342
SAL50468,3,312,10,0,327,19,491,35,0,545,7,209,11,0,226,7,366,32,0,408,20,1030,86,0,1135,18,805,67,0,891,29,611,39,0,683,34,434,29,0,499,27,269,12,0,310,29,101,10,0,135,15,22,5,0,40,202,4647,343,3,5199,0,324,13,0,342,15,482,24,0,521,5,211,8,0,228,6,365,23,0,395,17,983,78,5,1081,14,813,46,0,869,22,625,32,0,678,27,457,19,0,508,29,292,18,3,334,31,116,5,0,155,42,30,3,0,74,193,4700,283,12,5187,3,633,30,0,662,34,974,63,0,1071,11,415,20,0,451,12,734,63,0,807,32,2017,164,9,2219,33,1617,116,0,1762,56,1234,70,0,1361,62,888,47,0,1007,55,562,25,3,644,60,219,17,0,286,51,51,6,0,111,398,9343,626,17,10385
SAL50469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,0,6,0,0,6,0,8,0,0,11,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,19,9,0,22
SAL50470,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,27,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,24,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,5,0,7,4,0,11,0,4,0,0,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,33,10,0,49
SAL50471,0,6,0,0,6,0,11,0,0,13,0,3,0,0,5,0,0,0,0,0,0,5,0,0,6,0,3,0,0,3,0,9,0,0,9,0,9,4,0,13,0,11,0,0,11,0,3,0,0,3,0,0,0,0,0,0,54,8,0,65,0,0,0,0,0,0,7,0,0,7,0,6,0,0,6,0,0,0,0,0,0,6,0,0,7,0,8,0,0,8,0,6,4,0,8,0,7,5,0,13,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,52,8,0,62,0,4,0,0,4,0,14,0,0,21,0,8,0,0,11,0,0,0,0,0,0,13,0,0,12,0,12,0,0,12,0,12,4,0,20,0,16,10,0,29,0,15,4,0,17,0,3,0,0,3,0,0,0,0,3,0,106,20,0,121
SAL50472,5,241,12,0,256,34,541,25,0,602,27,218,9,0,252,9,226,21,0,256,20,450,21,5,491,14,453,24,0,489,22,408,30,0,454,28,412,13,0,451,34,338,31,0,403,47,182,20,0,251,24,59,30,0,116,252,3527,238,11,4032,4,243,15,0,261,15,478,28,0,527,5,218,6,0,232,4,194,10,0,208,11,503,23,0,536,7,510,14,0,535,19,508,28,0,558,25,447,15,0,483,46,368,20,4,437,75,261,37,0,372,62,67,49,0,179,290,3787,243,6,4325,3,490,26,0,518,57,1017,62,0,1131,37,431,17,0,484,12,416,22,0,460,25,952,43,4,1027,21,965,37,0,1022,42,913,57,0,1013,48,856,27,0,936,75,709,48,3,839,125,440,60,0,625,92,127,77,0,302,539,7320,479,12,8351
