SAL_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SAL50011,11,472,16,0,493,53,755,25,0,827,13,243,12,0,271,5,260,6,0,279,10,813,27,3,852,6,764,17,0,793,10,497,18,0,522,15,278,11,0,303,22,158,3,0,186,17,44,3,0,60,12,5,0,0,15,165,4290,142,6,4606,4,495,14,0,525,16,814,32,0,866,3,275,8,0,296,4,294,15,0,308,6,1041,31,0,1079,9,828,21,0,861,16,610,15,0,645,18,340,9,0,366,23,189,7,0,214,26,56,5,0,82,18,6,0,0,23,146,4945,157,9,5261,15,967,38,0,1018,67,1566,56,0,1691,16,523,19,0,567,8,552,23,0,584,19,1856,56,5,1928,15,1599,38,0,1652,25,1109,34,0,1166,32,617,21,6,668,44,347,6,4,400,44,92,14,0,146,30,4,0,0,39,316,9239,301,14,9867
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,3,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,19
SAL50013,0,7,0,0,7,0,44,0,0,43,0,28,0,0,30,0,10,0,0,10,0,22,0,0,21,0,32,0,0,32,0,41,0,0,41,3,43,0,0,49,0,33,0,0,36,0,12,0,0,10,0,0,0,0,3,11,271,6,0,291,0,16,0,0,16,0,33,0,0,35,5,23,0,0,18,0,11,0,0,13,0,16,0,0,16,0,38,0,0,40,3,47,0,0,48,4,47,0,0,50,3,24,0,0,26,4,8,0,0,15,0,0,0,0,0,17,258,6,0,282,0,25,0,0,25,0,72,3,0,77,0,46,0,0,52,0,21,0,0,23,0,43,0,0,40,0,71,0,0,69,4,88,0,0,94,7,90,5,0,101,3,57,3,0,64,9,18,0,0,23,0,0,0,0,3,33,534,10,0,569
SAL50014,0,7,0,0,7,0,9,3,0,15,0,4,0,0,4,0,5,0,0,5,0,5,0,0,5,0,4,0,0,8,0,7,3,0,9,0,11,0,0,9,0,8,0,0,8,6,3,0,0,7,0,0,0,0,0,4,57,10,0,75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,13,0,0,10,0,4,3,0,9,0,12,0,0,11,0,7,0,0,8,0,3,0,0,10,0,0,0,0,0,3,48,7,0,54,0,8,0,0,8,0,10,4,0,18,0,3,0,0,3,0,5,0,0,5,0,3,0,0,6,0,17,0,0,25,0,13,3,0,17,0,18,0,0,25,0,17,3,0,23,3,7,0,0,13,0,0,0,0,0,4,102,18,0,127
SAL50015,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13
SAL50016,0,14,0,0,13,3,45,0,0,46,0,22,0,0,21,0,14,0,0,15,0,15,0,0,21,0,37,4,0,35,0,33,3,0,36,0,42,0,0,41,0,31,0,0,31,0,8,0,0,8,0,0,0,0,0,7,252,8,0,271,0,11,0,0,11,3,46,4,0,51,0,18,0,0,21,0,12,0,0,12,0,19,0,0,17,0,40,0,0,37,0,41,3,0,48,4,31,0,0,41,0,23,0,0,24,0,3,0,0,7,0,0,0,0,3,6,251,12,0,269,0,23,0,0,23,6,90,4,0,100,0,41,4,0,40,0,23,0,0,26,0,33,3,0,40,0,73,4,0,75,0,78,5,0,86,3,72,0,0,76,0,56,0,0,56,0,13,0,0,12,0,0,0,0,3,11,500,22,0,536
SAL50017,0,0,0,0,4,0,6,0,0,8,0,5,0,0,5,0,0,0,0,0,0,4,0,0,4,0,5,0,0,5,0,7,0,0,7,0,8,0,0,8,0,9,0,0,10,0,3,0,0,3,0,0,0,0,0,0,39,0,0,42,0,5,0,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,4,0,0,3,0,7,0,0,7,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,0,0,34,0,4,0,0,3,0,5,0,0,7,0,5,0,0,5,0,0,0,0,0,0,13,0,0,13,0,6,0,0,9,0,14,0,0,14,0,5,0,0,5,0,15,0,0,19,0,3,0,0,3,0,0,0,0,0,0,71,9,0,77
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
SAL50019,0,11,0,0,11,0,17,4,0,18,0,9,0,0,14,0,11,0,0,8,0,12,0,0,19,0,15,0,0,15,0,17,0,0,18,0,27,0,0,29,0,12,8,0,22,0,6,0,0,7,0,0,0,0,0,3,131,15,0,155,0,8,0,0,6,0,14,3,0,11,0,10,0,0,6,0,4,0,0,4,0,12,0,0,12,0,17,0,0,14,0,14,0,0,20,0,19,0,0,19,0,18,0,0,15,0,0,0,0,5,0,0,0,0,0,3,107,6,0,121,0,17,0,0,18,0,30,4,0,35,0,20,3,0,23,0,10,0,0,11,0,22,0,0,25,0,31,0,0,34,0,29,3,0,32,0,43,0,0,48,0,30,4,0,33,0,8,4,0,11,0,0,0,0,0,10,243,19,0,274
SAL50020,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,3,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,23,3,0,26,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,4,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,24,0,0,0,0,5,0,6,0,0,11,0,3,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,9,0,0,9,0,3,6,0,8,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,40,8,0,49
