SAL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SAL50001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,14
SAL50002,7,3,0,9,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,149,25,26,6,0,9,0,0,5,5,220
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,15
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
SAL50006,22,3,8,3,15,0,25,0,120,0,0,0,0,0,0,0,0,0,0,0,271,34,42,11,11,3,17,0,42,5,443
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50008,341,41,39,23,57,24,10,33,2009,0,0,0,0,0,0,0,0,0,5,4,1872,507,426,48,56,28,65,29,17,53,3089
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,42,13,12,6,9,4,0,3,279,0,0,0,0,0,0,0,0,0,0,0,506,120,96,21,20,15,10,6,0,13,801
SAL50011,380,61,58,53,43,23,9,20,1285,0,0,0,0,0,0,0,0,0,4,6,1268,1369,1300,164,141,122,104,46,15,65,4592
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SAL50013,4,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,63,5,6,0,0,4,0,0,0,0,82
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50016,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,55,19,14,0,3,0,3,0,0,5,98
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,45,16,5,0,0,0,0,0,0,0,64
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,6
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,217,44,41,46,57,43,15,19,1269,0,0,0,0,0,0,0,0,0,4,3,1628,330,369,62,70,64,89,65,30,50,2768
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
SAL50024,172,33,19,31,30,23,6,9,876,0,0,0,0,0,0,0,0,0,0,0,1014,278,246,48,32,46,33,32,8,16,1750
SAL50025,5,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,53,18,17,0,0,0,4,0,0,4,104
SAL50026,288,58,46,42,67,19,12,27,1262,10,0,0,0,0,0,0,0,0,12,24,2250,535,447,69,63,55,83,34,12,135,3679
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10
SAL50031,80,16,20,21,31,12,0,8,471,0,0,0,0,0,0,0,0,0,5,4,603,153,143,27,24,21,46,19,0,27,1068
SAL50032,77,8,4,16,15,6,5,3,320,0,0,0,0,0,0,0,0,0,0,0,583,272,189,19,11,29,36,16,3,19,1172
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,31,6,6,10,5,3,0,3,155,0,0,0,0,0,0,0,0,0,0,0,225,55,56,4,8,10,5,3,0,11,363
SAL50035,74,12,8,11,12,7,0,6,503,0,0,0,0,0,0,0,0,0,0,0,1167,269,176,27,15,33,27,27,9,32,1778
SAL50036,325,43,33,33,46,22,0,15,1393,0,0,0,0,0,0,0,0,0,0,3,1382,724,550,47,51,60,60,32,8,41,2951
SAL50037,319,31,24,45,55,26,8,17,1262,0,0,0,0,0,0,0,0,0,0,0,846,700,569,54,39,60,90,41,12,39,2446
SAL50038,4,7,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,5,3,259,18,8,8,0,0,0,0,0,12,316
SAL50039,230,25,44,41,36,9,11,18,822,4,0,0,0,0,0,0,0,0,5,10,1494,688,525,42,53,66,48,17,18,59,3020
SAL50040,726,87,59,61,89,28,6,23,2352,0,0,3,0,0,0,0,0,0,4,3,1541,1522,1256,119,101,96,122,41,17,64,4869
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,12
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
SAL50048,0,0,0,0,7,11,0,0,29,0,0,0,0,0,0,0,0,0,0,4,19,6,0,0,0,0,11,10,0,3,57
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50050,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14
SAL50051,0,0,0,0,3,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,154,25,10,0,0,0,3,5,0,8,202
SAL50052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,19
SAL50053,471,116,89,96,129,42,8,128,2675,0,0,0,0,0,0,0,0,0,3,10,2051,548,663,146,107,120,153,54,11,171,4024
SAL50054,918,132,87,107,93,57,28,41,3141,6,7,0,0,0,0,0,4,0,6,21,4238,3261,2862,305,223,252,225,117,70,181,11721
SAL50055,1134,321,293,315,431,154,22,89,4900,6,4,4,3,0,0,0,8,0,17,36,1946,1309,1308,345,327,350,465,172,26,141,6390
SAL50056,3,0,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,117,17,15,3,0,0,7,0,0,8,165
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,730,88,114,82,100,51,8,72,4033,0,4,4,0,0,0,0,0,0,7,20,3962,1164,958,103,143,97,116,66,21,123,6748
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
