SAL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,11,15,9,3,4,0,54
SAL50002,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,5,7,11,6,11,0,4,48,25,46,99,175,186,148,167,63,22,932
SAL50003,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,9,0,0,15,15,8,15,6,4,0,71
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,4,9,0,0,30
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,12,12,8,3,0,52
SAL50006,0,0,6,5,0,0,4,8,3,32,0,0,0,0,0,0,3,0,0,3,3,6,28,13,29,19,19,11,3,133,27,72,186,126,198,273,277,115,38,1296
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,0,0,26
SAL50008,0,3,10,31,51,42,52,45,28,261,0,0,8,49,38,36,29,8,8,186,7,5,28,28,21,30,33,18,5,172,191,530,923,981,1002,1154,699,313,103,5896
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
SAL50010,0,0,0,0,0,0,11,10,16,39,0,0,0,0,0,0,0,0,0,9,0,3,4,9,9,6,5,6,5,46,70,153,269,397,408,328,270,174,62,2132
SAL50011,0,0,3,3,6,8,14,22,3,64,0,0,0,9,3,7,0,6,0,27,20,22,55,39,36,24,13,9,6,216,261,583,1925,1651,1170,664,399,146,37,6833
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,16
SAL50013,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,17,26,23,40,69,94,101,64,23,3,442
SAL50014,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,13,0,5,6,25,17,25,23,13,0,107
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7
SAL50016,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,4,4,8,0,0,0,0,18,15,26,40,75,86,76,56,12,3,384
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,13,9,14,5,19,3,0,64
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
SAL50019,0,0,0,0,6,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,4,0,25,10,11,25,34,32,48,33,11,0,215
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,6,0,9,8,5,4,0,35
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,0,0,3,0,3,12,27,28,79,0,0,0,0,0,0,5,0,0,11,9,18,41,39,38,31,33,20,10,235,160,441,756,917,903,939,865,493,173,5637
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,0,15,8,0,5,0,47
