SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL50082,40,1517,699,350,1613,0.7,1347,2.5
SAL50083,39,2000,991,350,2679,0.8,2029,2.4
SAL50084,45,1300,730,200,1868,0.7,1160,2
SAL50085,47,650,977,155,1875,0.7,1781,2.5
SAL50086,42,2300,862,350,2488,0.8,1822,2.4
SAL50087,50,0,1374,40,0,0.3,1375,1
SAL50088,46,1550,754,200,2125,0.6,1687,2.3
SAL50089,34,0,1312,0,2374,0.7,1875,2.4
SAL50090,33,1733,788,340,1958,0.8,1664,2.7
SAL50091,39,2167,912,360,2596,0.8,2060,2.5
SAL50092,42,2492,944,400,2801,0.8,2710,3.1
SAL50093,38,1517,642,320,1680,0.8,1423,2.7
SAL50094,39,2086,762,300,2299,0.7,1562,2.7
SAL50095,38,2200,1069,40,1125,0.7,1874,2.2
SAL50096,45,1434,389,0,1624,0.9,1625,2.8
SAL50097,51,2383,843,169,2062,0.8,1562,2.7
SAL50098,34,2080,960,385,2427,0.8,2206,2.8
SAL50099,34,0,850,125,1958,0.9,1916,3.3
SAL50100,46,2253,880,300,2374,0.8,2062,2.8
SAL50101,46,1517,680,375,1854,0.8,1562,2.6
SAL50102,37,1863,846,370,2175,0.7,1907,2.5
SAL50103,52,2184,704,500,2208,0.7,1850,2.8
SAL50104,40,1500,715,300,1630,0.7,1318,2.2
SAL50105,35,1733,868,350,2062,0.8,1561,2.3
SAL50106,47,675,908,109,1812,0.6,1357,2.1
SAL50107,45,1950,817,300,2812,0.8,1624,2.6
SAL50108,33,3059,850,175,2249,0.8,1687,2.4
SAL50109,43,1733,806,233,1708,0.7,1375,2.5
SAL50110,32,1800,766,420,2109,0.8,2073,3.4
SAL50111,32,1549,608,320,1576,0.8,1206,2.3
SAL50112,44,1517,897,250,1916,0.7,1453,2
SAL50113,39,9999,1062,0,2549,0.7,1937,2.3
SAL50114,0,0,0,0,0,0,0,0
SAL50115,31,1686,872,350,2136,0.8,1995,3.1
SAL50116,57,986,506,200,1303,0.7,934,2.1
SAL50117,43,1800,795,400,2227,0.7,1824,2.5
SAL50118,48,2600,794,350,2393,0.8,2241,2.9
SAL50119,45,2383,970,360,2907,0.7,1998,2.3
SAL50120,56,1108,366,250,900,0.8,1124,2.3
SAL50121,53,1559,595,175,1531,0.9,929,1.9
SAL50122,42,0,812,0,1624,0.7,1624,2.8
SAL50123,33,2400,1276,300,2847,0.9,2355,2.7
SAL50124,0,0,0,0,0,0,0,0
SAL50125,37,0,1140,200,2125,0.8,1875,2.8
SAL50126,49,1690,640,300,1739,0.7,1363,2.4
SAL50127,35,0,1843,250,0,0.5,1833,1
SAL50128,55,0,1374,0,2250,0.6,2250,3
SAL50129,43,1820,798,308,2036,0.7,1754,2.4
SAL50130,49,0,1024,160,2124,0.6,1625,2.4
SAL50131,47,2084,725,211,2250,0.7,1583,2.6
SAL50132,52,1733,850,260,2125,0.7,1363,2.1
SAL50133,56,728,556,166,1224,1,1083,2.1
SAL50134,49,2419,974,200,1624,0.6,1458,2.1
SAL50135,43,900,725,185,2249,0.9,1624,2.8
SAL50136,52,600,900,125,3166,0.7,1687,2.4
SAL50137,42,1517,1463,280,2150,0.7,1720,2.5
SAL50138,45,1400,1374,180,2624,0.7,2249,2.6
SAL50139,59,250,574,150,1166,0.8,1541,2.2
SAL50140,57,540,630,130,1874,0.7,1416,2.1
SAL50141,44,750,450,0,1375,1.3,1374,3.6
SAL50142,53,1250,615,285,1708,0.8,1463,2.5
SAL50143,34,2502,1731,775,3416,0.9,3360,3.1
SAL50144,41,0,1874,0,2999,0.5,1875,2
SAL50145,48,1760,643,225,1924,0.9,1541,2.5
SAL50146,45,0,1062,140,1624,0.6,1812,2.3
SAL50147,44,0,2182,250,725,0.2,725,1.5
SAL50148,43,2500,836,410,2571,0.7,1991,2.6
SAL50149,45,1300,1333,0,2250,0.9,2125,2.4
SAL50150,0,0,0,0,0,0,0,0
SAL50151,57,650,593,145,1199,0.7,914,2
SAL50152,48,1192,687,250,2124,0.8,1375,2.4
SAL50153,53,2000,1042,0,1875,0.7,1875,2.1
SAL50154,40,0,274,300,0,1,549,2
SAL50155,45,477,483,225,687,0.7,725,2.3
SAL50156,39,0,825,50,1875,0.7,1812,2.3
SAL50157,53,1657,662,260,1812,0.8,1291,2.2
SAL50158,50,750,1020,70,1875,0.7,1343,2.2
SAL50159,36,1304,1024,300,2337,0.8,1949,2.4
SAL50160,56,674,1050,200,1874,0.7,1458,2.3
SAL50161,56,1733,573,280,1391,0.7,1171,2.2
SAL50162,46,1975,777,480,2353,0.7,2146,2.9
SAL50163,49,1588,628,100,1812,0.9,1083,2.3
SAL50164,47,1000,525,275,1583,0.7,1593,2.6
SAL50165,60,1854,514,150,1166,0.7,966,2.2
SAL50166,53,462,949,100,3625,0.6,1437,2.4
SAL50167,41,1042,1053,215,1875,0.9,1875,3
SAL50168,40,1975,906,395,2571,0.7,2159,2.5
SAL50169,44,1733,727,320,2005,0.8,1595,2.6
SAL50170,30,0,1218,0,1875,0.7,1666,2.5
SAL50171,31,910,900,213,1499,0.8,1499,3
SAL50172,50,1088,615,231,1419,0.7,1085,2.2
SAL50173,29,1926,1041,370,2256,0.8,2152,3
SAL50174,43,2400,886,375,1924,0.8,1625,2.6
SAL50175,58,2383,710,0,1375,0.7,1374,2.4
SAL50176,42,1127,599,510,1375,0.7,1208,2
SAL50177,53,1496,764,230,1432,0.8,1267,2.1
SAL50178,37,2100,784,350,2426,0.8,1699,2.5
SAL50179,46,0,0,0,0,0.3,0,1
SAL50180,52,1400,576,300,1462,0.7,1086,2.2
SAL50181,42,2675,970,623,2989,0.8,2880,3.1
SAL50182,58,3018,364,0,899,0.9,1125,2.2
SAL50183,52,1733,657,370,1562,0.7,1246,2.3
SAL50184,34,2200,1502,333,3524,0.8,3523,3.3
SAL50185,41,1300,871,209,2055,0.8,1437,2.2
SAL50186,53,1950,575,125,1999,0.9,899,1.8
SAL50187,30,1434,605,300,1542,0.8,1394,2.9
SAL50188,49,1767,753,200,2055,0.8,1792,2.7
SAL50189,50,1300,562,200,1567,0.7,1211,2.2
SAL50190,40,1950,934,300,2281,1,1752,2.5
SAL50191,41,0,1012,150,2285,0.7,2281,2.6
SAL50192,49,782,506,200,1328,0.6,942,2.1
SAL50193,39,1625,1103,150,2562,0.8,2125,2.7
SAL50194,0,0,0,0,0,0,0,0
SAL50195,62,1311,553,260,1449,1,1107,2.4
SAL50196,44,737,774,160,1699,0.7,1243,2.4
SAL50197,43,1398,613,241,1660,0.8,1357,2.5
SAL50198,49,0,1125,100,2250,0.9,2749,2.5
SAL50199,54,1733,1025,230,1718,0.7,1674,2.1
SAL50200,34,1800,1561,388,3198,0.9,2756,2.6
SAL50201,44,2167,754,420,2378,0.8,1873,2.7
SAL50202,0,0,0,0,0,0,0,0
SAL50203,43,1580,979,0,2208,0.9,2125,2.9
SAL50204,55,2167,774,255,2374,1,1656,2.3
SAL50205,53,0,833,0,2749,0.7,949,1.8
SAL50206,60,0,724,0,900,0.7,1374,2
SAL50207,37,1950,843,350,2105,0.7,1904,2.8
SAL50208,69,0,900,0,4750,0.6,1625,2
SAL50209,48,542,1550,50,3624,1,3624,3.1
SAL50210,48,1733,988,331,2198,0.7,1597,2
SAL50211,32,0,900,0,1562,0.8,1875,3.3
SAL50212,46,0,1291,0,3124,0.8,1624,2.7
SAL50213,39,3000,1354,0,3125,0.8,1812,3.1
SAL50214,50,1083,1187,0,2750,0.7,2416,2.5
SAL50215,51,0,1041,0,2250,0.9,1874,2.9
SAL50216,0,0,0,0,0,0,0,0
SAL50217,38,1742,912,298,2333,0.8,2083,2.8
SAL50218,71,2011,1062,288,2999,0.5,1062,1.5
SAL50219,35,878,560,295,1062,0.6,725,2
SAL50220,36,0,2374,0,3750,0.3,3750,2
SAL50221,40,2883,1121,650,3488,0.8,3430,3.2
SAL50222,42,1934,846,420,2181,0.9,2107,2.9
SAL50223,41,1237,687,120,1833,0.7,1208,2.7
SAL50224,27,1400,687,50,1625,0.6,1187,2.8
SAL50225,49,0,1375,0,0,0,1999,1
SAL50226,41,2167,1148,430,2431,0.9,1976,2
SAL50227,32,2194,1386,480,2963,0.7,2735,2.5
SAL50228,55,1617,610,320,1362,0.7,902,1.9
SAL50229,32,1733,765,340,1992,0.8,1710,2.8
SAL50230,30,1898,921,380,2184,0.8,2059,3
SAL50231,45,2167,1096,400,2563,0.9,1990,2.7
SAL50232,39,0,612,150,1749,0.8,1375,2.8
SAL50233,54,0,474,0,0,1,849,1
SAL50234,38,521,911,180,2250,0.8,1446,2.4
SAL50235,48,1300,498,250,1345,0.7,951,2.1
SAL50236,62,1083,599,180,1625,0.7,1375,2
SAL50237,66,975,725,0,1374,0.7,1375,2.3
SAL50238,28,543,338,75,850,1.1,971,3.3
SAL50239,21,0,1104,0,2874,1.2,4749,4
SAL50240,37,1300,602,280,1475,0.7,1277,2.6
SAL50241,30,640,1125,150,2666,0.7,2583,2.8
SAL50242,52,0,866,0,1999,0.5,1749,2
SAL50243,46,2000,850,88,1625,0.8,1875,2.8
SAL50244,14,2383,537,200,3250,1.1,2499,4.5
SAL50245,37,2000,819,425,2376,0.8,2274,3.1
SAL50246,30,1512,769,350,1789,0.9,1552,2.5
SAL50247,57,0,1500,170,2250,0.5,2250,2
SAL50248,52,1700,729,280,2103,0.8,1364,2
SAL50249,53,0,1312,125,1625,0.6,1375,1.3
SAL50250,57,2210,788,154,1625,0.6,1452,1.6
SAL50251,42,1495,697,320,1735,0.7,1433,2.5
SAL50252,52,2167,744,375,1474,0.8,1562,2.5
SAL50253,41,0,1766,420,0,0.3,1125,1
SAL50254,69,0,762,148,1875,0.7,2124,2.4
SAL50255,43,2600,684,300,2441,0.8,2307,3.1
SAL50256,53,0,1531,150,2250,0.7,1708,2.3
SAL50257,62,0,1625,0,0,0,0,0
SAL50258,43,2383,985,375,2100,0.8,1937,2.5
SAL50259,51,1517,552,233,1437,0.7,1281,2.5
SAL50260,39,2383,922,500,2795,0.8,2645,3.1
SAL50261,40,1261,580,270,1335,0.7,1010,2.1
SAL50262,43,2340,968,450,2856,0.7,2442,2.8
SAL50263,35,1900,939,340,2375,0.7,1762,2.2
SAL50264,53,1800,575,300,1437,0.8,1312,2.5
SAL50265,45,2118,852,345,2486,0.8,2325,3
SAL50266,46,867,791,150,1875,0.7,1297,2
SAL50267,52,1900,693,250,1803,0.9,1233,2
SAL50268,52,0,725,0,0,0.1,725,1
SAL50269,37,2015,919,440,2583,0.8,2447,3.1
SAL50270,49,1679,1180,0,2250,0.8,2125,2.7
SAL50271,30,607,1178,150,2312,1,2187,3.2
SAL50272,36,0,1274,230,2833,0.7,2291,2.7
SAL50273,38,1700,820,300,2067,0.7,1609,2.4
SAL50274,35,2300,801,428,2336,0.8,2284,3
SAL50275,41,0,2083,208,2250,0.6,2250,2.2
SAL50276,49,1733,603,300,2036,0.8,1609,2.5
SAL50277,33,2000,965,390,2423,0.8,2257,3
SAL50278,50,1295,636,290,1295,0.7,867,1.7
SAL50279,56,1327,695,300,1401,0.6,1162,2
SAL50280,49,1500,738,166,1937,0.9,1333,2.4
SAL50281,41,1950,757,350,2077,0.8,1797,2.6
SAL50282,47,1300,1062,0,2624,1,2250,2.3
SAL50283,51,1600,743,200,1437,0.7,1275,2.4
SAL50284,47,1900,919,310,2083,0.8,1625,2.3
SAL50285,52,1813,811,225,2250,0.7,1812,2.5
SAL50286,45,1400,780,230,1937,0.7,1687,2.3
SAL50287,43,0,1083,150,2125,0.7,1874,2.8
SAL50288,51,1000,537,86,1249,1.1,850,2.3
SAL50289,38,0,2688,0,0,0,3250,0
SAL50290,44,1950,796,380,2313,0.7,1960,2.7
SAL50291,45,2000,826,330,2233,0.8,1981,2.7
SAL50292,43,3000,1031,150,2125,1,2125,3.4
SAL50293,40,2600,992,369,2898,0.8,2304,2.6
SAL50294,47,4000,1214,750,4592,0.7,3676,2.8
SAL50295,50,1500,627,235,1604,0.8,1343,2.3
SAL50296,44,2800,1098,460,3154,0.8,2063,2.2
SAL50297,33,1733,815,350,2011,0.7,1758,2.6
SAL50298,32,0,1187,0,1375,0.9,1375,3.5
SAL50299,65,1595,503,104,900,1,1081,1.8
SAL50300,0,0,0,0,0,0,0,0
SAL50301,34,1700,793,340,1897,0.8,1517,2.4
SAL50302,46,5758,725,0,2083,0.7,1749,2.6
SAL50303,0,0,0,0,0,0,0,0
SAL50304,31,1517,1001,355,2049,0.9,1626,1.9
SAL50305,36,1500,850,100,0,0.1,1791,1
SAL50306,55,2700,1270,200,2750,0.6,2624,2.2
SAL50307,49,2167,714,350,1625,0.8,1724,2.8
SAL50308,39,0,724,250,2499,1.1,2499,5
SAL50309,38,1556,730,370,2139,0.7,1879,2.7
SAL50310,43,1251,580,250,1524,0.7,1171,2.3
SAL50311,45,1690,900,220,1937,0.8,1792,2.5
SAL50312,38,1476,765,323,1875,0.8,1527,2.5
SAL50313,50,1750,776,323,1708,0.7,1402,2.3
SAL50314,47,921,675,0,1749,0.8,762,2.5
SAL50315,52,0,866,0,1875,0.7,1125,2.3
SAL50316,38,2037,988,351,2550,0.7,1775,2.1
SAL50317,40,1083,853,150,1468,0.8,1343,2.5
SAL50318,47,2167,951,418,2664,0.7,2302,2.7
SAL50319,51,0,1333,150,3249,0.8,1875,2.1
SAL50320,48,1300,487,240,1147,0.7,848,2.2
SAL50321,46,2500,847,445,2635,0.7,2157,2.6
SAL50322,46,1882,592,300,1761,0.8,1536,2.6
SAL50323,42,2200,2250,0,2250,1,2124,3.5
SAL50324,37,1600,761,300,1975,0.7,1377,2.1
SAL50325,40,2600,1194,350,4166,0.8,3215,2.8
SAL50326,47,0,725,0,1375,0.6,1562,3
SAL50327,46,940,964,250,1850,0.7,1259,2.1
SAL50328,55,0,1075,0,2250,0.6,2499,2.2
SAL50329,42,1312,582,300,1498,0.7,1204,2.4
SAL50330,37,2000,764,270,2125,0.8,2091,3.1
SAL50331,35,0,1262,0,2541,0.8,1937,2.8
SAL50332,54,100,937,250,1875,0.6,1666,2.2
SAL50333,52,1867,678,370,1708,0.8,1392,2.3
SAL50334,55,1400,600,330,1833,0.7,1375,2.2
SAL50335,53,625,741,150,1687,0.7,1292,2.1
SAL50336,34,0,350,0,0,0,900,0
SAL50337,38,1810,687,273,1812,0.7,1531,2.5
SAL50338,49,1625,890,372,2349,1.4,1710,2
SAL50339,50,0,749,120,1149,1,1125,2.3
SAL50340,50,867,802,185,1775,0.7,1190,2
SAL50341,37,0,2159,57,674,0.9,784,3
SAL50342,56,1052,425,0,2124,1.3,1042,2
SAL50343,44,3913,1443,550,4593,0.8,3326,2.5
SAL50344,36,1800,814,270,1812,0.8,1812,2.8
SAL50345,33,1667,1125,0,2124,0.6,1749,1.7
SAL50346,53,1797,774,225,2583,0.9,1499,2.1
SAL50347,38,1950,878,395,2128,0.8,1925,2.8
SAL50348,50,0,1375,0,2750,0.7,1625,3
SAL50349,49,694,1062,145,2750,0.8,2625,2.7
SAL50350,35,1733,914,375,2155,0.7,1782,2.4
SAL50351,35,0,1062,0,2624,0.9,2124,2.5
SAL50352,45,719,676,173,1518,0.7,1176,2.3
SAL50353,23,1975,412,350,1976,1,1373,2
SAL50354,49,2184,794,280,2250,0.8,2208,2.6
SAL50355,51,1733,877,302,2041,0.8,1812,2.6
SAL50356,56,1100,669,100,1875,0.7,1474,2.2
SAL50357,52,1300,599,280,1319,0.7,1183,2.3
SAL50358,32,1517,1374,0,1875,1.2,1874,2.6
SAL50359,61,725,629,120,1333,0.6,733,1.5
SAL50360,56,2004,743,200,2374,0.8,1437,2.2
SAL50361,34,0,361,150,850,1.9,849,3
SAL50362,64,825,900,260,1874,0.6,1374,1.8
SAL50363,36,0,2394,0,0,0,2250,0
SAL50364,32,1278,592,200,2052,0.7,1581,2.3
SAL50365,47,2000,857,205,1916,0.8,1833,2.4
SAL50366,55,824,1042,0,1937,0.8,1937,2.3
SAL50367,39,2000,863,400,2456,0.7,2214,2.8
SAL50368,45,1670,766,250,2025,0.9,1781,2.5
SAL50369,48,1733,900,300,1125,0.7,1062,2.4
SAL50370,43,0,2416,0,0,0,1125,0
SAL50371,39,2800,940,300,3109,0.9,2132,2.4
SAL50372,57,1733,590,215,1187,0.8,1187,2.3
SAL50373,60,944,489,550,1875,0.6,774,2.2
SAL50374,44,5000,1371,801,4861,0.7,4662,3
SAL50375,38,1083,1023,235,2206,0.8,1920,2.6
SAL50376,33,1733,877,350,2286,0.8,2066,2.9
SAL50377,42,1950,1031,175,2583,0.8,2049,2.5
SAL50378,37,2383,1545,450,3941,0.9,3447,2.9
SAL50379,63,0,1625,0,0,0,1625,0
SAL50380,37,1755,701,125,1042,1.2,1452,3
SAL50381,27,716,1375,225,2625,0.8,2624,3.1
SAL50382,48,1591,1042,205,2187,0.7,1899,2.4
SAL50383,52,1083,1375,0,3249,0.5,1625,1.6
SAL50384,35,2000,797,460,2475,0.8,2400,3.4
SAL50385,64,500,1031,0,2083,0.6,2083,1.8
SAL50386,39,1625,704,285,1960,0.7,1694,2.5
