SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,8,8,17,3,0,0,0,45
SAL50002,0,3,4,6,3,3,0,0,0,17,0,7,0,9,8,4,3,0,0,24,47,41,82,149,156,95,27,4,0,602
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,8,12,5,0,0,40
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,8,0,0,26
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,3,7,0,0,23
SAL50006,5,0,7,4,4,8,0,0,0,21,0,0,0,4,6,3,4,0,0,20,28,32,116,99,153,199,85,7,0,726
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,0,21
SAL50008,3,15,37,37,36,34,7,0,0,187,5,31,52,34,36,51,9,0,0,218,200,398,731,752,813,788,169,15,3,3857
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL50010,0,7,10,13,10,8,4,3,0,49,0,6,0,17,20,9,0,4,0,60,101,128,234,345,350,243,53,17,0,1472
SAL50011,15,23,99,63,39,22,0,0,0,250,9,24,56,65,31,22,3,0,0,212,247,449,1558,1369,991,465,87,3,0,5166
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,13
SAL50013,3,0,0,4,8,5,0,0,0,20,0,0,0,3,4,0,0,0,0,7,31,17,35,60,73,59,16,0,0,292
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,10,13,0,0,0,56
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8
SAL50016,0,0,3,4,3,4,0,0,0,16,0,0,0,0,5,3,0,0,0,10,26,20,31,68,74,67,21,0,0,305
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,3,9,0,0,47
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
SAL50019,0,0,0,0,0,4,0,0,0,9,0,0,5,0,3,0,0,0,0,10,8,9,20,22,28,20,17,0,0,128
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,0,0,23
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,3,10,16,26,20,21,14,3,0,109,8,12,41,45,31,23,13,9,0,176,183,344,624,729,719,611,261,54,3,3521
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,0,9,6,0,0,0,33
SAL50024,0,8,8,13,14,10,7,0,0,56,3,3,13,21,21,14,8,0,0,91,143,221,356,546,512,366,136,19,0,2303
SAL50025,0,0,5,6,6,5,0,0,0,16,4,0,0,6,4,5,0,0,0,14,21,11,31,57,79,79,16,0,0,297
SAL50026,4,26,55,41,35,25,13,0,0,200,24,40,72,72,60,36,13,3,0,321,230,507,1010,924,892,781,231,25,5,4602
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,9,3,0,0,19
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16,4,11,0,0,0,44
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,11,17,0,0,0,39
SAL50031,6,9,12,12,12,15,0,0,0,62,0,12,20,14,21,11,9,0,0,87,64,130,351,323,360,341,98,27,0,1688
SAL50032,3,0,14,11,12,10,0,0,0,50,0,6,25,18,7,12,0,0,0,67,52,118,304,305,295,164,43,9,0,1293
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,0,12,8,4,5,0,0,0,27,0,3,9,8,0,8,6,0,0,29,26,59,164,147,143,78,31,3,0,654
SAL50035,5,5,14,16,14,15,10,0,0,85,11,11,16,32,29,21,6,0,0,131,245,299,439,654,845,595,181,32,6,3290
SAL50036,21,27,35,38,48,12,8,0,0,192,21,24,44,48,59,30,12,0,0,236,451,511,847,1192,1379,653,118,7,0,5149
SAL50037,6,4,42,45,20,0,0,0,0,123,12,14,38,60,42,15,3,0,0,176,191,258,697,1252,721,265,79,5,0,3470
SAL50038,0,0,6,0,4,9,0,0,0,14,0,0,0,3,10,7,0,0,0,26,19,21,68,82,122,140,60,15,3,521
SAL50039,22,32,81,53,47,35,15,0,0,283,24,30,76,63,36,35,8,0,0,272,548,542,1491,1806,1512,1099,250,20,3,7279
SAL50040,20,32,131,71,56,18,9,0,0,336,14,40,88,82,53,25,7,0,0,305,410,652,2090,2040,1325,695,141,12,0,7361
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,9,3,3,0,0,23
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,14
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,0,0,0,24
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,11
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50048,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,7,11,29,21,23,21,12,5,0,125
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,6,4,0,0,25
SAL50051,3,5,6,12,9,0,3,0,0,39,3,5,6,5,3,0,0,0,0,30,29,35,72,103,135,82,41,3,3,504
SAL50052,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,0,0,0,6,13,8,15,8,21,24,0,4,0,103
SAL50053,8,21,78,59,34,38,10,3,0,249,12,22,64,63,39,31,7,4,0,243,223,433,1464,1353,969,709,232,26,0,5408
SAL50054,46,71,203,170,128,68,15,0,0,700,39,73,222,198,162,90,18,3,0,807,1194,1557,4742,4617,3424,1864,341,17,0,17752
SAL50055,10,44,121,64,37,25,7,0,0,309,13,52,166,107,68,40,9,0,0,459,172,663,2093,1495,920,575,155,13,0,6086
SAL50056,0,0,0,0,3,4,0,0,0,6,0,0,3,0,0,0,0,0,0,7,7,15,27,38,45,60,31,6,0,236
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,8,10,6,0,0,41
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,23,54,105,114,98,76,14,0,0,485,28,64,107,114,113,100,19,4,0,557,531,965,1668,1675,1892,1855,379,24,4,8984
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,3,4,0,16
SAL50063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,7,0,0,24
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,0,0,20
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,10,12,0,0,0,38
SAL50066,0,0,0,4,0,0,0,0,0,10,0,0,4,0,0,3,0,0,0,7,8,5,29,43,43,37,7,0,0,174
SAL50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,85,73,88,49,7,0,0,336
SAL50068,0,8,4,6,16,5,0,0,0,56,6,5,10,9,10,4,3,0,0,47,54,85,131,114,161,139,38,3,0,731
SAL50069,21,32,108,73,42,21,4,0,0,291,19,38,97,92,54,28,0,0,0,329,331,530,1768,1616,972,494,83,3,0,5794
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,4,3,4,0,39
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,15
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,3,0,0,16
SAL50075,0,0,3,4,0,9,0,0,0,22,5,5,0,0,0,0,0,0,0,9,48,37,43,67,105,90,23,0,0,424
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,0,0,18,29,39,13,0,0,0,104
SAL50077,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,11,17,9,12,34,36,37,12,11,0,160
SAL50078,6,20,49,42,28,23,8,0,0,186,7,19,47,62,50,41,11,0,0,248,243,437,1128,1300,1186,922,241,22,0,5476
SAL50079,4,3,13,16,15,4,3,0,0,67,4,12,12,17,9,5,0,5,0,64,124,176,276,430,449,294,88,20,0,1847
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,7,7,23,27,15,13,0,0,0,98,10,12,23,42,24,15,3,0,0,129,168,130,586,737,503,240,54,6,0,2412
SAL50082,3,4,11,15,16,11,3,0,0,61,5,3,9,12,8,6,0,0,0,54,123,106,267,289,327,260,71,10,0,1460
SAL50083,4,23,76,63,50,44,18,0,0,286,14,23,85,83,51,49,14,4,0,312,346,639,1925,2016,1686,1184,341,23,0,8156
SAL50084,6,0,6,4,0,4,0,0,0,17,0,0,0,0,7,4,0,0,0,16,39,36,159,130,140,105,22,0,0,641
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,17,19,4,0,0,64
SAL50086,12,7,20,15,25,12,7,3,0,104,4,11,30,27,17,16,9,0,0,118,138,194,465,583,614,440,139,6,3,2589
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,4,0,0,33
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,7,0,0,0,0,31
SAL50090,8,36,67,46,35,21,5,0,0,214,5,35,73,65,40,29,9,0,0,268,191,511,1245,1165,754,459,115,9,0,4445
SAL50091,5,6,14,25,33,25,8,0,0,113,7,11,38,30,16,18,4,4,0,115,135,234,603,739,641,455,118,9,3,2952
SAL50092,6,13,10,9,20,17,5,0,0,69,3,4,19,11,22,13,0,0,0,85,139,149,165,294,418,310,72,13,0,1564
SAL50093,11,20,51,57,40,36,9,0,0,222,9,28,61,63,49,44,10,0,0,267,216,401,803,874,812,717,209,10,0,4044
SAL50094,3,0,0,0,0,0,0,0,0,7,0,0,0,6,3,0,0,0,0,10,10,7,3,16,16,12,5,0,0,65
SAL50095,0,0,6,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,3,0,7,38,24,17,16,9,0,0,111
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,15
SAL50097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,16,13,0,0,55
SAL50098,20,23,79,46,33,26,3,0,0,237,9,25,53,49,38,20,4,0,0,197,294,407,1089,1195,957,570,115,4,0,4627
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,13
SAL50100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,3,14,10,11,0,0,59
SAL50101,0,0,0,0,0,0,0,0,0,8,0,0,4,0,5,0,0,0,0,7,0,0,6,8,24,10,11,6,0,62
SAL50102,5,11,27,25,7,13,0,0,0,92,8,3,23,22,26,11,4,0,0,97,114,142,487,537,389,347,94,7,0,2108
SAL50103,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,19,9,13,16,30,40,15,0,0,138
SAL50104,0,10,8,3,12,5,3,0,0,37,0,4,7,12,3,7,0,0,0,40,31,68,145,162,141,131,34,7,0,712
SAL50105,4,17,42,32,25,13,8,0,0,148,7,28,55,31,44,21,0,0,0,180,132,409,1107,830,632,438,119,7,0,3673
SAL50106,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,6,18,16,21,20,6,3,0,96
SAL50107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,3,11,14,30,20,7,4,0,96
SAL50108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,5,3,0,0,16
SAL50109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,14,14,14,8,11,0,78
SAL50110,6,12,38,42,30,16,3,0,0,147,13,20,60,51,30,26,4,0,0,210,184,297,635,716,600,387,92,0,0,2920
SAL50111,6,42,31,28,15,9,0,0,0,131,12,51,105,54,16,21,0,3,3,266,229,919,1493,733,344,252,68,16,3,4062
SAL50112,0,0,0,7,8,3,0,0,0,26,0,4,0,7,9,7,0,0,0,31,48,59,122,145,159,142,55,4,0,741
SAL50113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,4,0,0,31
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,3,15,35,41,19,9,0,0,0,121,7,16,55,48,34,11,0,0,0,180,183,281,715,937,599,235,46,0,0,2989
SAL50116,0,0,0,6,0,0,0,0,0,8,0,0,5,3,6,8,4,0,0,21,13,6,35,70,70,85,51,4,0,344
SAL50117,7,12,15,23,32,22,7,0,0,120,8,7,22,29,29,26,5,0,0,122,196,250,485,545,647,623,138,18,0,2903
SAL50118,0,0,0,5,0,4,0,0,0,10,0,0,3,0,4,0,0,0,0,10,23,34,39,56,93,81,29,0,0,365
SAL50119,3,7,19,28,24,8,9,0,0,97,13,4,22,31,41,32,8,4,0,161,237,301,522,663,780,666,212,25,0,3405
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL50121,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,5,0,5,11,21,18,9,0,0,75
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,10
SAL50123,0,6,6,11,8,3,0,0,0,29,6,6,10,18,8,7,0,0,0,52,39,62,247,239,140,104,22,9,0,862
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,8,8,0,0,0,32
SAL50126,0,3,5,4,0,0,0,0,0,14,0,0,3,9,4,5,0,0,0,20,17,21,57,78,119,123,41,9,0,474
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50129,4,0,3,5,3,4,5,0,0,16,0,0,7,5,5,0,3,0,0,18,41,40,104,130,145,126,36,0,0,618
SAL50130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,9,0,0,0,34
SAL50131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,12,3,3,0,0,33
SAL50132,0,3,4,4,3,0,0,0,0,12,0,6,3,6,8,0,3,0,0,31,39,42,86,105,151,130,53,8,3,621
