SAL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50001,3,0,3,0,30
SAL50002,100,106,25,14,647
SAL50003,8,5,0,0,39
SAL50004,0,5,0,0,17
SAL50005,5,4,0,0,32
SAL50006,201,194,59,18,927
SAL50007,0,0,0,0,11
SAL50008,586,336,105,26,3182
SAL50009,0,0,0,0,7
SAL50010,260,188,106,29,1599
SAL50011,409,193,66,13,4631
SAL50012,0,3,0,0,5
SAL50013,59,34,8,0,275
SAL50014,7,9,0,0,51
SAL50015,0,0,0,0,10
SAL50016,48,28,4,0,263
SAL50017,5,12,0,0,41
SAL50018,0,0,0,0,0
SAL50019,28,17,8,0,133
SAL50020,7,4,0,0,24
SAL50021,0,0,0,0,0
SAL50022,739,630,290,83,4272
SAL50023,0,0,0,0,26
SAL50024,417,334,160,54,2621
SAL50025,66,34,11,5,309
SAL50026,769,640,364,124,5543
SAL50027,8,5,3,0,25
SAL50028,5,5,5,0,37
SAL50029,3,0,0,0,25
SAL50030,8,3,0,0,24
SAL50031,345,212,125,91,1968
SAL50032,143,118,103,37,1239
SAL50033,0,0,0,0,0
SAL50034,75,56,30,14,717
SAL50035,669,421,268,110,3637
SAL50036,537,241,86,11,4381
SAL50037,222,150,58,60,3196
SAL50038,158,212,104,39,782
SAL50039,1047,702,312,64,6901
SAL50040,543,282,115,10,6275
SAL50041,0,3,0,0,0
SAL50042,0,0,0,0,4
SAL50043,12,4,0,0,30
SAL50044,4,4,0,0,14
SAL50045,9,0,0,0,22
SAL50046,0,0,0,0,7
SAL50047,0,0,0,0,4
SAL50048,19,18,4,0,97
SAL50049,0,3,0,0,14
SAL50050,3,3,4,0,25
SAL50051,79,107,24,0,544
SAL50052,13,7,3,0,70
SAL50053,636,425,295,168,5530
SAL50054,1600,891,494,67,15999
SAL50055,546,392,208,47,6382
SAL50056,67,86,35,8,332
SAL50057,3,7,0,0,11
SAL50058,0,5,0,0,8
SAL50059,7,11,0,0,42
SAL50060,0,0,0,0,4
SAL50061,1449,695,274,54,7633
SAL50062,0,5,3,0,15
SAL50063,4,3,0,0,18
SAL50064,10,8,0,0,34
SAL50065,16,5,0,0,38
SAL50066,22,17,14,0,171
SAL50067,101,11,0,0,717
SAL50068,153,72,33,10,732
SAL50069,398,167,48,5,4915
SAL50070,0,0,0,0,0
SAL50071,3,0,0,0,31
SAL50072,0,0,0,0,9
SAL50073,0,0,0,0,14
SAL50074,8,8,0,0,24
SAL50075,76,45,19,0,383
SAL50076,37,6,0,0,268
SAL50077,30,23,11,0,138
SAL50078,905,589,252,82,5665
SAL50079,335,276,153,35,2154
SAL50080,0,0,0,0,0
SAL50081,277,130,27,0,2489
SAL50082,245,188,116,22,1476
SAL50083,1160,756,349,171,8333
SAL50084,122,76,36,19,707
SAL50085,5,4,0,4,52
SAL50086,474,333,126,29,2848
SAL50087,0,0,0,0,0
SAL50088,5,0,0,0,24
SAL50089,0,0,0,0,20
SAL50090,365,296,139,32,4526
SAL50091,431,257,116,35,2999
SAL50092,289,155,86,14,1444
SAL50093,598,395,125,26,3719
SAL50094,8,6,0,0,52
SAL50095,20,21,4,0,147
SAL50096,4,3,8,0,31
SAL50097,15,6,0,0,44
SAL50098,475,229,64,21,4064
SAL50099,7,0,0,0,19
SAL50100,4,7,0,0,37
SAL50101,9,12,6,0,76
SAL50102,282,206,58,6,1959
SAL50103,41,23,9,0,140
SAL50104,121,68,24,13,678
SAL50105,412,261,100,40,3784
SAL50106,13,8,3,0,83
SAL50107,11,6,4,0,70
SAL50108,0,0,0,0,10
SAL50109,13,6,6,0,70
SAL50110,266,125,44,3,2383
SAL50111,286,314,442,466,5415
