SAL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SAL50001,25,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,81,5,..,32,81
SAL50002,454,1210,14,37,0,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,23,0,0,0,3,18,35,0,0,490,1288,147,..,637,1288
SAL50003,33,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,96,3,..,40,96
SAL50004,13,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,0,..,17,41
SAL50005,16,48,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,12,0,0,10,12,0,5,26,66,5,..,29,66
SAL50006,541,1109,25,37,57,72,83,107,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,16,18,0,0,20,18,4,3,654,1236,167,..,813,1236
SAL50007,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,..,15,31
SAL50008,2454,7195,244,438,3,8,247,450,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,8,2701,7665,111,..,2819,7665
SAL50009,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,..,11,9
SAL50010,864,2335,182,340,30,66,210,408,19,33,0,3,0,0,0,0,0,0,22,37,0,0,0,0,0,0,3,4,3,4,0,0,1097,2789,62,..,1159,2789
SAL50011,3534,9633,39,82,40,82,83,162,4,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,3,5,3629,9803,257,..,3883,9803
SAL50012,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,..,13,19
SAL50013,218,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,6,3,3,227,569,3,..,231,569
SAL50014,51,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,3,54,127,0,..,54,127
SAL50015,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,..,7,13
SAL50016,179,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,536,14,..,191,536
SAL50017,29,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,5,9,35,68,4,..,41,68
SAL50018,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,..,3,7
SAL50019,97,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,6,6,99,274,9,..,114,274
SAL50020,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,6,..,23,49
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL50022,1760,4863,286,561,330,741,616,1299,173,296,74,120,203,380,60,91,5,4,514,898,0,0,0,0,0,0,0,0,0,0,4,9,2887,7063,413,..,3304,7063
SAL50023,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50,0,..,21,50
SAL50024,1377,3711,151,332,133,346,281,681,12,21,0,0,43,81,0,0,0,0,55,108,0,0,0,0,0,0,0,0,0,0,0,4,1717,4504,134,..,1855,4504
SAL50025,215,562,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,216,567,21,..,234,567
SAL50026,3958,9537,1780,3220,26,35,1805,3259,66,92,28,44,0,0,0,0,5,13,101,152,0,0,0,0,29,31,7,16,32,45,11,22,5902,13007,645,..,6549,13007
SAL50027,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51,8,..,24,51
SAL50028,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,3,3,0,0,11,17,3,4,16,26,3,..,20,26
SAL50029,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,64,3,..,29,64
SAL50030,28,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,65,0,..,28,65
SAL50031,855,2110,40,85,129,258,169,342,36,56,10,31,80,117,73,124,3,4,205,331,15,30,7,8,0,0,0,0,28,37,10,16,1271,2841,157,..,1421,2841
SAL50032,1085,2637,40,76,3,3,41,84,0,0,39,45,0,0,0,0,0,0,38,48,0,0,0,0,0,0,0,0,0,0,0,0,1168,2764,63,..,1234,2764
SAL50033,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,4,3
SAL50034,517,1260,49,72,4,6,51,79,0,0,13,13,0,0,0,0,5,4,17,23,0,0,0,0,0,0,5,9,5,9,0,0,585,1372,42,..,627,1372
SAL50035,1813,5173,276,525,230,483,506,1012,35,58,64,92,6,8,0,0,5,17,115,177,0,0,0,0,0,0,0,0,0,0,3,13,2438,6373,194,..,2630,6373
SAL50036,2902,8771,48,87,11,15,53,94,56,86,70,103,0,0,0,0,0,8,132,201,0,0,0,0,0,0,0,0,0,0,3,4,3088,9071,158,..,3239,9071
SAL50037,1860,5979,260,515,31,50,288,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142,6540,114,..,2256,6540
SAL50038,612,1224,39,52,18,28,59,83,6,11,0,0,0,0,0,0,0,0,6,11,43,63,8,7,0,0,5,11,49,84,8,9,740,1405,487,..,1226,1405
SAL50039,5402,14649,253,394,6,9,260,399,43,81,0,0,0,0,0,0,0,0,43,81,57,69,53,67,46,49,3,3,160,200,5,12,5870,15337,496,..,6369,15337
SAL50040,4448,12798,302,708,42,98,335,799,18,27,0,0,0,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,0,0,0,0,4801,13628,245,..,5045,13628
SAL50041,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,5,5
SAL50042,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,3,8,11,..,17,8
SAL50043,24,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,7,..,25,59
SAL50044,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,16,3,..,16,16
SAL50045,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,4,..,15,39
