SAL_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50370,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50371,..,0,0,4,0,0,0,0,0,5,..,12,7,0,0,0,0,0,0,24,..,12,15,5,4,20,22,21,4,111,0,3,0,3,0,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,120,108,75,121,113,85,67,47,9,743,..,0,43,144,137,97,69,48,4,546,..,11,35,22,23,23,12,8,0,128,..,5,0,13,18,11,7,0,0,51,259,..,..,..,..,..,..,..,..,259,..,129,..,..,..,..,..,..,..,129,..,24,16,4,0,0,0,0,0,48,..,6,9,6,0,0,5,6,4,30,..,0,0,7,0,0,0,0,0,5,..,21,20,5,3,0,3,0,0,50,..,16,42,17,16,28,34,30,4,194,0,8,0,7,0,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,259,217,171,213,208,167,136,86,17,1466
SAL50372,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,6,4,4,21,22,12,3,0,72,..,0,4,0,30,21,19,7,3,86,..,0,0,0,6,8,0,0,0,18,..,0,0,0,0,0,0,0,0,5,7,..,..,..,..,..,..,..,..,7,..,0,..,..,..,..,..,..,..,0,..,8,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,6,6,0,0,16,0,0,0,0,0,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,7,11,11,4,36,38,34,13,3,152
SAL50373,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,20,..,0,0,0,7,10,4,0,0,20,..,0,0,0,0,0,4,0,0,6,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,4,13,13,3,0,47
SAL50374,..,0,5,0,0,0,0,0,0,10,..,3,14,0,0,3,0,0,0,22,..,4,0,3,7,15,34,33,29,122,5,4,10,8,3,0,0,3,0,31,0,4,0,0,0,0,0,0,0,9,385,285,122,248,349,281,257,149,50,2119,..,0,57,353,537,468,428,224,42,2102,..,4,33,26,33,23,17,0,0,132,..,0,5,16,34,20,9,8,3,92,789,..,..,..,..,..,..,..,..,789,..,483,..,..,..,..,..,..,..,483,..,91,96,20,12,0,3,0,0,225,..,10,6,3,0,3,13,10,8,55,..,7,13,0,0,0,0,0,0,25,..,14,25,0,0,3,3,0,0,43,..,10,4,13,15,20,50,46,35,190,10,11,11,16,3,3,0,8,0,59,0,4,3,4,0,0,3,0,0,17,802,634,253,445,630,551,525,298,89,4219
SAL50375,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,3,0,3,0,3,0,3,3,25,8,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,83,27,45,50,31,36,24,14,11,328,..,10,47,70,36,52,40,22,8,286,..,8,19,7,7,3,3,0,0,48,..,0,0,0,0,5,3,0,0,11,156,..,..,..,..,..,..,..,..,156,..,17,..,..,..,..,..,..,..,17,..,17,7,0,0,3,0,0,0,29,..,0,0,0,0,0,0,0,0,13,..,4,3,8,0,0,0,0,0,15,..,0,5,11,5,0,0,0,0,16,..,9,8,7,10,11,9,7,3,64,13,0,4,6,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,161,63,95,109,67,77,55,27,14,676
SAL50376,..,18,11,6,0,0,0,0,0,38,..,19,23,6,8,7,3,8,0,75,..,14,42,30,25,79,75,47,17,324,9,24,10,9,8,12,3,5,5,80,0,0,0,0,0,4,0,0,0,3,1155,635,640,758,706,428,298,145,23,4786,..,21,442,858,912,559,353,157,15,3321,..,142,294,187,129,78,13,4,0,850,..,17,85,158,137,43,20,6,3,471,2339,..,..,..,..,..,..,..,..,2339,..,534,..,..,..,..,..,..,..,534,..,397,99,28,12,3,5,0,0,540,..,31,28,9,15,24,28,11,0,155,..,38,32,10,9,5,0,0,0,91,..,31,43,25,16,7,8,6,0,144,..,36,83,68,81,118,107,65,13,573,24,47,29,27,24,19,3,8,5,181,0,0,6,0,0,4,0,0,0,8,2360,1289,1131,1364,1332,863,541,268,43,9195
SAL50377,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,5,3,9,7,3,0,0,55,..,0,0,12,17,17,4,0,3,50,..,4,9,0,0,0,0,0,0,18,..,0,0,0,0,0,0,0,0,0,18,..,..,..,..,..,..,..,..,18,..,7,..,..,..,..,..,..,..,7,..,3,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,3,0,0,0,3,0,0,0,13,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,19,13,12,27,21,10,0,3,126
SAL50378,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,11,0,4,0,18,0,0,3,0,7,4,10,4,0,27,0,0,0,0,0,0,0,0,0,0,150,33,63,102,95,55,24,13,0,537,..,0,46,155,151,76,18,4,0,447,..,7,41,28,22,16,4,0,0,124,..,4,5,6,3,3,0,3,0,19,323,..,..,..,..,..,..,..,..,323,..,36,..,..,..,..,..,..,..,36,..,27,9,0,4,0,0,0,0,41,..,4,3,0,0,4,0,0,0,8,..,0,0,0,0,0,0,0,0,4,..,4,9,3,0,0,0,0,0,11,..,4,14,7,10,20,0,3,0,56,0,3,4,0,8,8,16,8,0,45,0,0,0,0,0,0,0,0,0,0,322,87,118,203,197,129,49,16,0,1123
SAL50379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
