SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50001,22,8,8,11,15,9,3,4,0,81
SAL50002,307,124,99,175,186,148,167,63,22,1286
SAL50003,22,9,15,15,8,15,6,4,0,98
SAL50004,13,3,3,10,5,4,9,0,0,41
SAL50005,17,3,11,4,12,12,8,3,0,66
SAL50006,135,134,186,126,198,273,277,115,38,1475
SAL50007,11,0,3,9,3,5,0,0,0,31
SAL50008,1463,1017,925,980,1003,1154,699,313,103,7655
SAL50009,0,0,0,0,0,6,0,0,0,6
SAL50010,546,318,269,397,408,328,270,174,62,2778
SAL50011,2707,1151,1921,1649,1170,664,401,146,37,9853
SAL50012,3,5,0,4,0,0,4,0,0,19
SAL50013,101,70,40,69,94,101,64,23,3,569
SAL50014,25,5,6,25,17,25,23,13,0,127
SAL50015,5,0,0,5,3,0,0,0,0,12
SAL50016,126,68,40,75,86,76,56,12,3,536
SAL50017,8,7,13,9,14,5,19,3,0,77
SAL50018,0,0,4,0,0,0,0,0,0,7
SAL50019,51,32,25,34,32,48,33,11,0,274
SAL50020,12,3,6,0,9,8,5,4,0,49
SAL50021,0,0,0,0,0,0,0,0,0,0
SAL50022,1180,831,756,917,904,939,865,494,173,7059
SAL50023,8,8,9,0,15,8,0,5,0,50
SAL50024,868,565,417,641,608,530,487,255,103,4479
SAL50025,110,54,44,62,103,107,67,22,4,567
SAL50026,2439,1627,1851,1578,1554,1546,1409,853,337,13199
SAL50027,6,7,6,9,5,10,7,5,0,51
SAL50028,0,5,8,3,7,11,10,0,0,51
SAL50029,14,3,10,11,9,12,4,0,0,63
SAL50030,12,6,7,4,11,19,7,0,0,65
SAL50031,362,338,456,394,462,501,376,200,115,3201
SAL50032,573,283,359,376,334,236,254,259,90,2766
SAL50033,0,0,0,0,3,0,0,0,0,3
SAL50034,228,156,215,203,195,153,117,76,26,1367
SAL50035,1281,893,500,770,984,845,609,440,203,6534
SAL50036,2022,1442,1016,1417,1572,867,464,208,45,9053
SAL50037,1976,714,842,1434,801,366,275,125,84,6629
SAL50038,147,68,85,108,163,248,359,192,99,1458
SAL50039,3718,1754,1915,2179,1808,1708,1353,716,168,15325
SAL50040,3695,1659,2486,2401,1543,955,589,233,47,13608
SAL50041,0,0,0,0,0,0,3,0,0,5
SAL50042,4,0,0,0,5,0,0,0,0,8
SAL50043,11,6,6,6,15,12,9,0,0,59
SAL50044,0,3,0,0,8,8,3,5,0,35
SAL50045,3,0,5,3,10,12,0,0,0,39
SAL50046,11,0,5,4,0,3,0,3,0,22
SAL50047,0,0,0,0,0,0,0,3,0,8
SAL50048,26,25,38,24,23,22,25,10,0,193
SAL50049,0,0,3,0,0,6,5,0,0,18
SAL50050,5,0,7,4,8,11,7,3,0,47
SAL50051,254,113,100,161,172,149,187,71,4,1222
SAL50052,16,29,16,13,24,32,11,11,0,153
SAL50053,1662,1011,1779,1675,1249,1091,963,800,422,10654
SAL50054,10082,4445,6054,5699,4115,2752,1912,1035,166,36249
SAL50055,2917,1599,2901,2154,1426,1113,896,516,121,13639
SAL50056,62,42,39,52,65,102,136,56,13,567
