SAL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SAL50001,0,0,8,5,5,29,0,25
SAL50002,12,141,217,63,33,461,31,490
SAL50003,0,4,9,5,9,29,5,34
SAL50004,0,0,7,3,8,15,0,13
SAL50005,0,10,8,4,6,25,6,26
SAL50006,42,260,204,68,22,604,49,654
SAL50007,0,0,3,3,5,11,3,15
SAL50008,83,658,1110,480,295,2628,78,2701
SAL50009,0,0,4,0,0,3,0,3
SAL50010,40,357,483,124,74,1077,28,1097
SAL50011,74,1354,1565,376,145,3511,112,3629
SAL50012,0,4,6,0,4,9,0,9
SAL50013,0,42,74,54,45,219,6,227
SAL50014,0,12,12,12,10,46,9,54
SAL50015,0,0,0,0,3,5,0,5
SAL50016,0,23,64,53,34,170,5,175
SAL50017,0,6,12,3,7,28,6,35
SAL50018,0,0,0,0,0,3,0,3
SAL50019,4,22,33,15,27,94,5,99
SAL50020,0,0,6,3,0,15,0,20
SAL50021,0,0,0,0,0,0,0,0
SAL50022,105,966,1165,342,203,2789,100,2887
SAL50023,0,0,8,0,12,18,6,21
SAL50024,47,576,738,208,102,1676,44,1717
SAL50025,0,34,92,37,35,204,15,216
SAL50026,614,2492,1572,482,245,5406,498,5902
SAL50027,0,4,7,3,0,20,3,22
SAL50028,0,6,3,0,0,13,7,16
SAL50029,0,5,9,4,0,21,4,28
SAL50030,0,9,9,9,6,28,0,28
SAL50031,43,435,516,133,67,1193,74,1271
SAL50032,64,494,415,112,54,1146,24,1168
SAL50033,0,0,0,0,0,0,0,0
SAL50034,43,214,206,53,31,548,34,585
SAL50035,80,703,1044,341,213,2385,53,2438
SAL50036,60,809,1331,517,286,3009,76,3088
SAL50037,28,579,1087,314,101,2105,39,2142
SAL50038,31,298,267,76,26,700,42,740
SAL50039,138,1711,2469,895,405,5624,247,5870
SAL50040,53,1413,2268,671,281,4679,121,4801
SAL50041,0,0,3,0,0,0,0,0
SAL50042,0,0,0,0,0,3,0,3
SAL50043,0,0,8,0,7,14,9,23
SAL50044,0,5,4,0,0,10,0,10
SAL50045,0,4,6,0,3,15,0,14
SAL50046,0,0,0,5,0,8,0,8
SAL50047,0,0,0,0,0,5,0,7
SAL50048,5,7,22,10,6,51,8,58
SAL50049,0,4,4,0,0,3,4,7
SAL50050,0,4,3,5,8,16,3,20
SAL50051,5,77,173,91,71,422,51,474
SAL50052,0,9,23,17,7,57,4,55
SAL50053,347,1966,1602,420,210,4543,241,4783
SAL50054,231,3949,5560,1705,886,12329,513,12845
SAL50055,418,2339,1821,455,179,5202,512,5715
SAL50056,5,100,90,40,19,258,16,271
SAL50057,0,3,3,0,3,11,0,11
SAL50058,0,6,0,0,0,4,0,4
SAL50059,0,13,8,15,6,34,6,45
SAL50060,0,3,0,0,0,4,0,4
SAL50061,199,1713,2456,1073,702,6146,207,6349
SAL50062,0,5,5,0,3,15,5,13
SAL50063,0,13,12,12,0,37,0,36
SAL50064,0,5,6,4,3,21,3,25
SAL50065,0,4,8,6,7,26,0,27
SAL50066,0,30,60,22,19,128,9,140
SAL50067,3,3,0,0,0,13,0,13
SAL50068,3,67,167,81,127,447,5,455
SAL50069,98,1213,1687,496,214,3712,135,3851
SAL50070,0,0,0,0,0,0,0,0
SAL50071,0,4,3,6,8,23,0,26
SAL50072,0,3,4,0,0,9,0,6
SAL50073,0,3,0,0,0,6,0,6
SAL50074,0,0,9,5,5,10,4,18
SAL50075,3,47,83,80,77,295,19,309
SAL50076,5,0,0,0,0,4,0,7
SAL50077,3,22,33,29,25,109,5,114
SAL50078,305,1701,1661,486,219,4375,208,4586
SAL50079,29,392,575,181,95,1270,31,1299
SAL50080,0,0,0,0,0,0,0,0
SAL50081,30,373,649,228,126,1411,252,1666
SAL50082,33,409,520,179,98,1235,40,1277
SAL50083,387,2419,2415,585,278,6084,217,6298
SAL50084,89,270,203,51,19,630,57,686
SAL50085,0,14,21,3,7,48,6,56
SAL50086,169,781,826,198,110,2084,89,2171
SAL50087,0,0,0,0,0,0,0,0
SAL50088,0,0,9,8,3,22,4,26
SAL50089,0,3,10,0,3,16,0,17
SAL50090,130,1177,1225,431,230,3189,199,3386
SAL50091,113,819,937,234,95,2190,71,2263
SAL50092,5,103,351,244,242,951,17,970
SAL50093,172,1050,1211,494,270,3200,176,3370
SAL50094,0,4,12,17,5,43,0,46
SAL50095,0,4,3,0,0,9,0,11
SAL50096,0,0,0,3,3,13,7,20
SAL50097,0,3,14,13,3,41,5,45
SAL50098,88,785,1352,464,228,2914,100,3015
SAL50099,0,0,0,0,8,9,4,10
SAL50100,0,3,7,13,13,29,3,39
SAL50101,0,13,29,12,5,54,6,62
SAL50102,44,502,672,243,98,1556,40,1596
SAL50103,0,7,27,24,26,95,0,93
SAL50104,42,254,222,87,38,647,34,681
SAL50105,225,1186,979,323,141,2852,187,3040
SAL50106,0,39,28,13,11,89,7,96
SAL50107,0,8,21,20,11,59,0,63
SAL50108,0,0,3,5,0,11,0,11
SAL50109,0,8,26,9,6,51,9,57
SAL50110,34,361,742,342,222,1700,53,1746
SAL50111,478,1360,855,330,190,3209,285,3492
SAL50112,44,251,244,74,21,624,46,676
SAL50113,0,0,9,4,7,14,4,15
SAL50114,0,0,0,0,0,0,0,0
SAL50115,63,584,890,283,127,1945,73,2017
SAL50116,18,160,164,74,46,455,49,513
SAL50117,112,694,885,337,190,2216,91,2307
SAL50118,0,36,77,69,49,234,5,241
SAL50119,149,993,1095,317,190,2745,97,2842
SAL50120,0,4,0,0,0,8,0,9
SAL50121,4,44,37,16,4,102,8,114
SAL50122,0,0,0,0,4,4,0,4
