SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL51343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9
SAL51344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51345,26,333,356,522,49,570,277,9,289,338,5,341,133,3,133,51,0,50,1336,398,1732
SAL51346,29,576,600,470,67,535,240,28,263,283,11,293,103,4,115,29,0,26,1151,685,1837
SAL51347,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SAL51348,47,737,782,553,92,646,210,21,235,152,8,161,68,3,72,31,0,31,1069,864,1935
SAL51349,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL51350,0,11,11,13,0,13,0,0,0,5,0,5,0,0,0,0,0,0,12,10,28
SAL51351,15,138,155,221,29,244,83,3,91,54,0,56,29,0,29,7,0,7,409,171,585
SAL51352,24,174,200,284,32,309,206,8,215,206,5,213,83,3,84,47,0,47,849,218,1065
SAL51353,9,79,88,83,15,102,56,4,60,27,0,30,9,0,10,9,0,7,197,107,299
SAL51354,52,210,265,397,31,429,241,5,244,269,9,275,107,4,107,52,0,52,1109,262,1368
SAL51355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51357,0,4,4,7,0,7,3,0,10,3,0,3,0,0,0,0,0,0,16,9,23
SAL51358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51359,28,410,438,345,141,490,243,19,262,230,16,247,119,3,124,54,0,53,1018,595,1615
SAL51360,50,503,545,941,57,996,412,7,423,559,0,559,203,9,211,58,0,65,2224,571,2794
SAL51361,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
SAL51362,12,238,250,111,51,166,51,23,74,45,9,59,28,5,32,16,0,20,267,328,600
SAL51363,87,1325,1414,1146,173,1323,452,43,491,392,16,405,145,6,149,49,0,52,2275,1558,3839
