SAL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SAL50001,25,33,60,10,11,20,6,12,14,5,4,8,0,0,0,18,25,42,4,4,7,0,4,2.3,75,73.5,74.1,75,70.6,72.4,0,0,0,0,0,0,5,8,13,5,0,3,10,3,12,0,0,0,0,0,0,10,5,13,28,41,74,0,4,5,22,30,48,9,15,29
SAL50002,470,510,982,212,106,320,71,177,245,22,17,40,14,6,18,310,306,621,140,176,317,3.5,2.6,3.1,66.7,60.3,63.4,64.3,58.7,61.4,10,11,27,15,20,31,58,92,148,32,54,91,156,87,249,7,14,21,3,10,20,174,115,287,515,531,1048,84,92,172,337,339,677,222,257,476
SAL50003,39,35,80,16,8,19,9,15,21,0,0,0,0,0,0,24,20,40,8,17,24,0,0,0,60,50,55.1,60,50,55.1,0,0,0,0,0,0,0,7,6,3,4,7,8,0,15,0,4,4,0,0,0,8,6,19,39,39,71,8,8,16,38,38,71,7,6,13
SAL50004,19,12,30,11,5,19,0,4,5,0,0,0,0,0,0,15,10,26,4,4,4,0,0,0,88.2,84.6,86.7,88.2,84.6,86.7,0,0,0,0,0,0,7,6,9,0,0,3,0,3,6,0,0,0,0,0,0,0,3,6,18,14,34,0,0,3,19,14,32,3,4,5
SAL50005,36,19,52,8,4,13,0,4,4,4,3,5,4,0,0,18,10,23,15,7,22,18.8,11.1,16,47.1,42.9,45.5,38.2,38.1,38.2,0,0,0,0,0,0,0,0,0,5,0,3,3,0,9,0,0,0,3,0,4,11,5,14,33,19,59,5,5,10,21,16,36,14,7,24
SAL50006,675,663,1338,241,159,398,96,185,286,22,20,39,15,3,23,368,378,745,222,241,463,4.1,1.9,2.9,54.7,56.9,55.8,52.5,55.8,54.2,43,45,92,23,40,61,106,163,275,58,81,138,111,58,162,12,15,21,0,11,14,122,78,200,509,565,1069,144,118,261,333,370,704,296,297,597
SAL50007,16,9,26,11,0,13,0,3,4,0,0,0,0,0,0,13,7,23,0,0,3,0,12.5,4.8,92.9,72.7,84,92.9,63.6,80,0,0,0,0,0,0,0,5,5,3,0,5,6,3,10,0,0,0,0,0,0,6,3,10,19,15,32,0,0,0,15,11,23,0,0,0
SAL50008,3025,3170,6191,1457,817,2274,471,905,1366,103,105,211,143,123,268,2176,1952,4130,777,1153,1923,6.6,6.4,6.5,72,61.5,66.6,67.2,57.6,62.3,69,76,149,19,73,89,289,389,684,248,311,559,751,407,1156,51,69,121,37,79,113,840,554,1391,3341,3472,6813,291,302,594,2545,2593,5135,910,987,1903
SAL50009,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,0,0,0,100,25,40,100,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,5,6,0,0,0
SAL50010,1044,1195,2238,537,332,870,161,377,539,28,36,63,39,29,64,763,777,1536,258,389,646,5.1,3.5,4.3,73.2,65,68.8,69.5,62.7,65.8,91,90,183,31,66,98,260,343,609,100,119,218,203,99,303,8,10,16,25,36,57,234,146,377,1133,1242,2375,144,181,324,740,830,1564,478,523,1005
