SAL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,6,0,4,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,9,12,3,0,3,0,30
SAL50002,0,8,7,4,0,0,27,0,9,9,3,9,3,3,0,31,3,8,43,31,34,14,0,0,148,0,8,19,18,10,26,6,0,91,23,43,54,46,29,39,7,0,249,11,5,4,3,0,0,0,0,21,0,0,3,7,8,3,3,0,20,36,45,57,59,39,40,11,4,287,0,0,0,0,0,0,0,0,3,5,10,12,10,9,10,4,6,70,45,78,143,136,100,106,25,14,647
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,7,0,5,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,14,0,10,5,7,8,5,0,0,39
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,17
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,3,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,3,6,5,4,0,0,32
SAL50006,14,15,29,15,4,0,92,0,4,5,13,25,13,0,0,61,12,43,28,54,51,61,17,4,275,4,12,16,19,31,39,16,0,138,11,25,22,21,32,32,8,0,162,9,0,0,3,5,0,0,0,21,0,0,0,3,3,3,4,0,14,24,31,27,29,38,41,14,0,200,0,3,0,3,0,3,4,0,17,11,28,15,30,28,20,12,4,145,50,134,101,159,201,194,59,18,927
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11
SAL50008,52,27,22,14,4,0,149,0,22,25,14,18,11,0,0,89,76,167,186,98,91,49,19,0,684,52,93,114,107,108,68,15,4,559,119,240,184,217,231,127,31,9,1156,46,13,19,18,8,4,5,0,121,4,10,17,17,47,15,8,3,113,172,260,224,247,287,145,42,12,1391,0,7,4,6,10,7,4,4,56,22,40,44,30,52,41,19,10,254,329,620,646,528,586,336,105,26,3182
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL50010,45,55,34,15,8,0,183,0,15,26,21,18,10,5,0,98,30,122,173,130,84,46,19,6,609,13,22,37,45,41,47,15,3,218,24,43,55,52,62,40,19,9,303,11,3,0,3,3,0,4,0,16,7,3,8,17,13,10,3,0,57,37,45,63,72,76,49,30,7,377,0,0,3,3,6,3,0,0,23,0,12,11,7,9,14,23,6,85,93,238,363,334,260,188,106,29,1599
SAL50011,95,53,24,10,0,0,240,9,42,50,40,13,7,0,0,156,47,350,362,181,74,24,14,3,1058,58,229,269,173,88,43,9,0,866,169,590,405,261,157,81,15,10,1687,55,41,23,13,9,0,0,0,137,15,19,39,30,19,13,10,0,136,241,649,457,302,182,99,26,10,1966,0,16,21,14,4,0,0,0,55,57,76,54,58,33,7,13,3,296,412,1414,1311,814,409,193,66,13,4631
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,3,0,0,5
SAL50013,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,6,6,12,3,8,0,0,35,0,3,11,9,8,7,0,0,39,14,19,35,38,30,12,0,0,151,3,0,0,0,0,0,0,0,11,0,0,3,3,0,3,4,0,14,16,22,39,39,32,16,4,0,173,0,0,0,0,0,0,0,0,0,0,3,4,0,5,4,0,0,18,19,30,56,65,59,34,8,0,275
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,15,0,0,5,0,0,0,0,0,8,0,0,6,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,16,5,4,11,17,7,9,0,0,51
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,10
SAL50016,0,3,0,0,0,0,5,0,0,4,3,0,0,0,0,15,0,8,8,10,4,6,0,0,35,0,4,12,13,11,5,0,0,43,9,16,21,27,20,9,3,0,110,7,0,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,6,16,17,29,30,29,14,3,0,135,0,0,0,0,0,0,0,0,0,0,4,4,7,4,0,0,0,24,17,30,61,63,48,28,4,0,263
