SAL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SAL50001,0,3,0,3,3,0,0,9,0,3,0,3,4,0,0,3,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,15,10,0,24,26,5,0,60
SAL50002,6,21,0,29,116,11,0,148,0,31,0,35,125,10,0,167,0,3,0,9,59,0,0,63,0,0,0,0,21,0,0,22,254,82,19,351,582,45,6,980
SAL50003,0,0,0,0,11,5,0,15,0,4,0,4,5,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,13,13,0,28,40,8,0,80
SAL50004,0,0,0,0,4,0,0,4,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,18,0,0,30
SAL50005,0,0,0,0,10,0,0,12,0,0,0,0,6,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,8,0,15,33,0,0,52
SAL50006,4,35,0,48,204,21,3,277,0,36,0,38,227,13,0,277,0,8,0,8,100,10,0,117,0,0,0,0,32,0,0,38,140,105,11,254,951,127,7,1348
SAL50007,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,11,0,0,26
SAL50008,52,191,0,247,888,22,0,1154,12,134,0,145,534,26,0,699,0,24,0,24,268,21,0,313,0,0,0,0,102,4,0,103,1197,498,48,1741,4285,167,10,6199
SAL50009,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,9
SAL50010,22,31,0,58,272,7,0,328,4,66,0,69,200,3,0,273,0,18,0,15,153,3,0,177,0,0,0,0,60,6,0,68,529,159,11,705,1487,47,8,2240
SAL50011,44,115,0,164,490,17,6,668,5,88,3,91,297,6,4,400,0,9,0,8,123,12,0,146,0,0,0,0,35,0,0,39,2322,462,96,2890,4035,225,12,7157
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,0,0,16
SAL50013,4,11,0,15,85,5,0,101,0,6,0,6,51,3,0,64,0,0,0,0,19,0,0,23,0,0,0,0,3,0,0,3,84,50,7,139,316,5,0,469
SAL50014,0,0,0,0,20,0,0,25,0,0,0,0,13,3,0,23,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,12,3,0,24,76,13,0,110
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10
SAL50016,0,15,0,14,60,0,0,76,0,5,0,5,44,3,0,56,0,4,0,4,9,3,0,12,0,0,0,0,3,0,0,3,99,39,6,144,240,26,0,411
SAL50017,0,3,0,3,6,0,0,5,0,0,0,0,15,4,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,17,4,0,23,38,3,0,67
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
SAL50019,5,7,0,13,32,0,0,48,3,0,0,7,25,0,0,33,0,0,0,0,11,5,0,11,0,0,0,0,0,0,0,0,47,20,0,66,145,10,0,222
SAL50020,0,0,0,0,5,6,0,8,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3,13,23,4,0,37
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,67,122,0,186,715,33,6,946,15,227,0,242,599,26,5,872,0,60,0,60,412,15,7,494,0,3,0,7,162,6,0,173,1173,523,24,1720,3932,224,38,5914
SAL50023,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,9,3,0,9,35,3,0,47
SAL50024,34,71,0,105,414,9,4,532,9,134,0,147,331,4,4,488,0,43,0,45,209,4,0,257,0,4,0,4,90,8,0,98,838,314,26,1178,2348,79,19,3630
SAL50025,3,10,0,13,89,6,0,107,0,5,0,8,56,0,0,67,0,0,0,0,23,3,0,22,0,0,0,0,4,0,0,4,92,22,4,118,317,25,0,459
SAL50026,63,168,0,237,1206,106,8,1551,20,138,0,160,1179,76,0,1411,4,26,0,32,747,79,0,853,0,0,0,0,288,45,0,337,1733,629,78,2446,7314,999,8,10768
SAL50027,0,0,0,0,8,0,0,10,0,0,0,0,7,0,0,7,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,8,0,0,8,24,6,0,44
SAL50028,0,0,0,0,7,5,0,11,0,0,0,0,12,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,26,0,44
SAL50029,0,0,0,0,12,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,31,9,0,49
SAL50030,0,0,0,0,16,0,0,19,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,18,37,0,0,55
SAL50031,18,79,0,98,371,31,0,502,0,81,0,86,271,23,0,376,0,15,0,19,128,46,0,202,0,0,0,0,39,78,0,115,389,240,14,637,1870,327,34,2869
SAL50032,8,43,0,50,183,5,0,236,3,39,3,44,212,4,0,258,0,10,0,10,228,17,0,259,0,0,0,0,73,9,0,90,515,147,21,686,1430,75,6,2197
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50034,12,12,0,20,117,13,0,153,0,17,0,17,92,3,0,119,0,5,0,7,61,3,0,76,0,0,0,0,24,4,0,26,196,71,10,278,773,84,0,1143
