SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL50001,0,5,3,3,0,0,0,9,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,13,10,15,7,5,5,0,60
SAL50002,22,57,30,15,22,11,0,148,22,46,39,31,29,7,0,167,11,12,10,9,17,0,0,63,3,3,3,0,4,0,0,22,192,274,179,119,166,49,6,980
SAL50003,0,3,5,0,6,5,0,15,4,5,3,0,0,0,0,6,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,19,18,13,7,9,18,0,80
SAL50004,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,3,0,0,0,0,30
SAL50005,0,0,0,0,5,0,0,12,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,5,11,11,0,0,52
SAL50006,53,108,41,18,24,22,3,277,42,80,44,41,52,12,0,277,25,29,11,10,24,8,0,117,5,12,3,0,13,0,0,38,263,410,173,97,270,125,7,1348
SAL50007,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,3,0,0,26
SAL50008,213,378,123,111,305,25,0,1154,101,141,129,79,224,24,0,699,35,69,42,27,123,18,0,313,17,15,14,0,58,0,0,103,1372,1564,653,478,1947,181,10,6199
SAL50009,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9
SAL50010,62,143,55,27,37,6,0,328,37,83,49,40,57,4,0,273,16,53,22,24,57,3,0,177,9,19,4,4,25,7,0,68,566,710,289,201,425,47,8,2240
SAL50011,106,210,95,50,187,20,6,668,37,110,61,43,134,8,4,400,11,25,15,9,70,16,0,146,0,5,0,0,27,0,0,39,1534,2037,768,655,1914,242,12,7157
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16
SAL50013,12,25,19,18,19,5,0,101,5,8,9,19,12,7,0,64,4,6,3,3,5,0,0,23,0,0,0,0,0,0,0,3,105,128,82,72,77,8,0,469
SAL50014,3,5,3,5,0,0,0,25,0,0,6,8,6,3,0,23,3,4,0,3,3,0,0,13,0,0,0,0,0,0,0,0,25,30,18,19,12,13,0,110
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,10
SAL50016,14,24,23,3,5,0,0,76,8,20,10,10,4,0,0,56,0,5,4,0,5,5,0,12,0,0,0,0,0,0,0,3,99,111,78,45,54,23,0,411
SAL50017,0,4,0,0,0,0,0,5,6,9,3,0,4,4,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,17,29,6,3,3,3,0,67
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
SAL50019,8,12,8,11,8,0,0,48,0,9,6,5,14,0,0,33,0,0,0,0,3,5,0,11,0,0,0,0,0,0,0,0,46,49,22,30,53,18,0,222
SAL50020,3,0,0,0,0,6,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,12,3,4,0,4,0,37
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,184,325,150,90,141,39,6,946,128,292,158,121,145,26,5,872,67,137,102,62,113,19,7,494,30,34,18,14,71,4,0,173,1398,1771,783,569,1129,231,38,5914
