SAL_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
SAL50001,0,10,6,25,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,6,6,5,0,12,0,29,5,0,0,4,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,3,8,7,16,10,6,38,7,81
SAL50002,5,57,71,385,0,522,0,4,0,18,0,22,0,0,0,0,0,0,7,0,0,3,0,6,22,5,3,12,0,41,158,65,52,408,0,685,3,0,0,0,0,4,8,0,0,0,0,7,10,5,5,24,0,41,0,7,0,3,0,18,0,0,0,0,0,0,0,0,0,4,0,4,24,9,8,89,0,136,11,4,0,45,0,58,3,0,0,0,0,6,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,6,5,7,3,0,0,14,0,0,0,0,0,8,5,0,0,0,0,6,0,0,0,0,0,0,36,14,14,95,0,152,0,0,0,0,0,3,4,5,0,0,0,8,0,0,0,5,0,5,4,0,0,0,0,4,0,0,0,0,0,3,6,0,0,4,0,11,38,6,12,11,0,68,0,0,0,0,46,48,273,119,100,749,46,1286
SAL50003,0,0,3,28,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,3,21,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,0,0,8,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,13,13,23,8,5,47,13,98
SAL50004,0,0,4,29,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,3,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,4,29,0,41
SAL50005,0,0,0,21,0,26,0,0,0,20,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,4,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,54,4,66
SAL50006,7,60,60,286,7,414,0,0,0,12,0,12,24,0,0,0,0,27,3,0,0,4,0,6,30,4,3,3,0,38,218,57,60,349,0,689,33,0,0,0,0,33,9,0,0,0,0,8,29,7,5,23,0,64,5,5,0,3,0,11,0,0,0,0,0,8,13,0,0,0,0,14,38,12,14,106,0,165,25,0,7,13,0,49,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,6,0,3,0,0,0,6,15,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,47,13,10,94,0,166,0,0,0,0,0,0,10,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,5,0,20,110,15,11,14,0,148,8,0,3,3,123,131,523,103,94,617,135,1475
SAL50007,0,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,31
SAL50008,198,276,235,1147,12,1868,10,12,7,93,5,130,296,8,10,7,7,324,41,5,5,19,0,77,46,12,16,24,0,100,771,232,172,852,21,2046,118,0,8,0,0,130,28,0,4,3,0,39,52,14,11,71,0,155,38,20,4,27,0,94,14,0,3,8,0,18,183,8,6,11,0,206,171,29,33,209,3,447,214,54,33,204,4,511,8,0,0,0,0,9,4,0,0,0,0,15,184,19,8,24,4,238,19,10,0,0,0,23,59,14,3,0,0,79,23,12,9,5,0,57,60,13,8,25,0,95,17,0,0,0,0,20,6,0,0,0,0,9,165,45,41,228,3,480,74,9,0,0,0,91,40,3,4,0,0,45,17,6,4,10,0,41,8,7,0,0,0,16,712,7,12,10,4,753,12,7,0,4,0,23,1530,82,69,81,9,1779,99,3,0,17,140,253,4429,529,414,2082,202,7655
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
SAL50010,29,153,144,593,0,916,0,0,0,28,0,30,129,7,15,7,0,162,21,8,5,14,0,50,18,10,0,11,0,38,371,150,113,525,3,1168,16,0,0,0,0,20,29,0,0,0,0,28,42,6,10,40,0,101,9,5,0,13,0,19,4,0,3,0,0,11,52,0,5,7,0,62,93,28,14,183,3,313,102,32,14,122,0,272,11,0,3,0,0,15,0,0,0,0,0,5,3,0,3,7,0,8,0,0,0,0,0,7,4,0,0,0,0,4,9,8,3,0,0,27,7,4,3,14,0,31,4,0,0,0,0,10,0,0,0,0,0,0,102,27,24,130,0,288,5,0,3,0,0,6,35,5,4,0,0,41,9,5,0,0,0,14,5,0,0,0,0,9,6,0,0,0,0,3,16,4,0,7,0,30,219,23,25,27,0,296,0,0,0,0,48,55,1046,269,227,1180,61,2778
