SA3_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
50101,53,6437,3288,9724,18,10,28,316,472,789,3,5,3,334,489,821,407,387,794,20881,22030,42908,132,159,294,21419,22580,44000,87,87,173,4212,4489,8697,19,23,41,4318,4597,8925,229,209,442,13324,13812,27136,103,114,223,13657,14143,27799,200,229,428,10549,11489,22034,34,51,88,10780,11768,22549
50102,69,13172,7830,21007,38,66,103,689,1175,1863,0,0,0,731,1244,1971,1333,1413,2742,40032,41406,81432,209,242,456,41569,43059,84633,326,363,684,6806,7350,14155,31,30,62,7160,7745,14905,743,720,1473,27540,28137,55680,160,187,345,28449,29048,57495,728,884,1616,16729,18298,35027,65,68,134,17523,19251,36773
50103,32,2666,1425,4087,5,20,24,143,249,389,0,0,0,150,267,419,233,254,486,9009,8983,17988,93,74,165,9337,9310,18644,66,45,107,1370,1563,2934,0,12,18,1442,1619,3058,143,152,299,6518,6389,12901,66,52,122,6724,6597,13324,122,129,245,3410,3698,7101,25,31,49,3552,3851,7402
50201,87,12843,7116,19957,31,30,58,608,1002,1606,0,5,8,638,1038,1677,1106,1182,2282,39167,42424,81595,265,273,538,40538,43879,84415,317,341,655,6908,7808,14716,36,38,66,7260,8181,15442,571,549,1122,25352,26937,52284,179,196,378,26103,27682,53784,690,798,1492,18455,21008,39461,82,79,162,19230,21887,41115
50301,10,1949,1082,3032,5,3,11,149,212,367,0,0,0,157,222,377,152,152,303,27464,28948,56408,102,109,210,27711,29216,56924,63,94,150,5469,5893,11363,8,12,23,5546,5994,11540,73,57,133,17368,18610,35977,67,84,153,17511,18751,36262,127,170,298,14280,15003,29281,38,32,70,14444,15203,29647
50302,31,5371,2955,8328,12,17,30,341,459,802,0,0,0,355,480,836,288,308,597,39560,40205,79771,114,108,220,39961,40628,80590,152,146,297,10783,11303,22090,28,23,50,10958,11475,22436,124,133,259,21211,22022,43235,75,71,140,21410,22229,43638,278,304,585,26878,27409,54288,55,48,102,27214,27764,54974
50401,27,7129,3715,10839,16,17,29,388,553,943,0,5,5,401,571,979,545,555,1102,33026,34072,67100,116,115,235,33688,34749,68440,146,158,307,5312,5500,10814,13,8,22,5472,5673,11141,307,286,591,21449,22330,43780,84,95,181,21848,22706,44554,323,363,690,14810,15342,30153,24,29,56,15160,15740,30895
50402,26,5057,2422,7479,14,20,30,218,337,553,0,3,3,234,359,595,493,478,965,16667,17123,33785,90,79,174,17246,17680,34930,108,91,202,2042,2184,4223,11,13,21,2161,2289,4445,276,266,540,12188,12482,24676,69,67,140,12529,12817,25356,251,241,493,5634,6023,11654,21,23,47,5904,6291,12196
50403,64,15341,8809,24148,40,47,91,901,1162,2063,0,4,3,947,1211,2159,1887,1883,3774,57790,58768,116555,225,230,449,59901,60877,120778,411,452,864,8551,9042,17589,34,30,62,8990,9526,18519,1003,977,1986,37945,38134,76079,158,154,311,39107,39266,78374,1028,1103,2134,23874,25560,49431,80,71,149,24972,26737,51710
50501,69,16709,7496,24204,15,17,31,667,975,1635,0,0,0,676,990,1670,549,528,1079,66219,68159,134381,211,249,460,66983,68939,135927,125,131,256,8711,9129,17835,30,23,52,8862,9283,18140,325,312,637,47566,48802,96367,157,186,345,48042,49305,97345,288,280,565,23728,24990,48720,74,65,139,24088,25334,49424
