SA3_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
50101,96,1911,2005,20,237,259,6,46,54,4,0,6,0,8,8,30,291,327,136,5316,5457,125,7227,7355,49,4082,4129,6,378,383,316,17003,17324,483,20356,20841
50102,325,3485,3809,76,402,479,21,86,105,4,19,24,6,6,14,107,513,622,447,10023,10466,394,13932,14330,161,7751,7908,11,653,664,1013,32359,33368,1575,38405,39978
50103,78,954,1028,19,105,128,0,21,19,0,6,6,0,0,0,19,132,153,104,2329,2433,74,3213,3285,11,1552,1566,9,233,236,198,7327,7520,327,8817,9142
50201,258,3426,3682,65,345,416,24,70,91,3,7,17,0,0,4,92,422,528,424,10684,11106,381,14524,14902,145,8575,8718,8,708,718,958,34491,35444,1418,40319,41734
50301,49,4033,4088,4,310,317,0,19,19,0,6,6,0,0,0,4,335,342,56,7823,7879,27,7499,7527,6,3506,3517,4,940,941,93,19768,19864,173,25287,25459
50302,224,13981,14205,24,1144,1170,0,102,104,0,11,14,0,0,0,24,1257,1288,214,17920,18135,67,9502,9571,11,2103,2117,8,345,348,300,29870,30171,573,46731,47305
50401,174,4761,4935,42,536,578,14,82,96,0,14,14,5,5,3,61,637,691,241,10955,11195,138,11353,11496,44,3864,3905,3,414,415,426,26586,27011,720,33365,34084
50402,118,1445,1565,17,159,175,8,27,34,0,6,7,0,0,0,25,192,216,161,3618,3774,134,5298,5431,42,3069,3110,0,453,454,337,12438,12769,525,14794,15316
50403,381,5483,5863,113,798,917,30,179,206,11,44,50,5,12,20,159,1033,1193,588,13796,14385,482,17193,17676,206,8291,8488,20,719,736,1296,39999,41285,2012,48865,50874
50501,91,4212,4311,24,323,350,9,57,63,0,4,11,0,0,0,33,384,424,213,14164,14377,216,20720,20932,94,13312,13400,20,1607,1631,543,49803,50340,703,57047,57751
