SA3_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
50101,512,477,986,13,11,22,13,3,19,530,497,1030,25647,27131,52780,1905,1627,3529,28080,29249,57332
50102,1779,1793,3575,13,18,36,39,44,81,1838,1848,3689,48327,49863,98185,3116,2567,5680,53276,54279,107549
50103,293,287,575,15,17,29,4,7,8,306,301,611,10630,10787,21419,977,857,1830,11911,11949,23863
50201,1450,1522,2967,36,36,73,18,31,52,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
50301,213,250,462,3,4,13,0,9,12,215,261,479,33413,35348,68763,1278,1218,2495,34905,36829,71735
50302,440,450,886,15,10,27,6,8,18,461,474,937,51284,52397,103684,3370,2538,5908,55115,55410,110530
50401,677,688,1368,23,17,45,28,27,61,733,740,1472,39129,40380,79511,1929,1553,3483,41790,42676,84462
50402,1151,584,1732,24,6,28,37,5,41,1207,592,1802,20325,19720,40043,1103,839,1948,22643,21152,43792
50403,2275,2425,4702,64,54,119,53,62,113,2392,2542,4939,67818,69449,137271,3457,2654,6111,73672,74650,148324
50501,650,639,1288,34,24,59,23,21,41,706,682,1384,76182,78542,154724,2619,1915,4536,79502,81136,160641
50502,1125,1209,2332,38,23,61,26,32,58,1184,1266,2453,95066,101627,196695,4790,4218,9005,101037,107110,208149
50503,1797,1945,3745,61,60,121,51,51,103,1910,2061,3969,96132,100611,196744,4478,3316,7794,102522,105984,208506
50601,1314,1372,2682,21,21,43,27,32,64,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184
50602,806,837,1638,26,19,48,22,7,25,854,865,1717,34930,34404,69329,2393,1881,4266,38172,37142,75312
50603,577,650,1231,20,9,31,21,26,43,618,689,1301,46884,47516,94392,1894,1542,3438,49396,49742,99139
50604,1713,1616,3332,29,16,45,36,32,71,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376
50605,639,670,1306,12,10,23,14,8,26,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762
50606,442,419,864,13,14,26,18,14,36,472,448,920,14864,15128,29997,770,557,1326,16103,16138,32242
50607,315,292,604,3,11,13,12,10,25,335,312,644,20063,21010,41076,877,856,1733,21275,22177,43448
50701,1066,1078,2153,22,7,27,26,25,42,1111,1113,2224,53471,55707,109180,2471,1954,4424,57054,58771,115824
50702,290,305,591,10,7,18,6,12,11,301,321,621,17864,19332,37197,1163,933,2092,19324,20592,39910
50703,1198,719,1916,21,16,36,50,20,62,1267,751,2016,21030,20712,41740,1194,912,2107,23482,22379,45867
50704,420,450,872,9,10,22,13,16,30,445,481,927,48779,53262,102037,1693,1469,3163,50918,55210,106127
50705,1663,1726,3391,42,53,89,62,58,117,1771,1829,3605,61083,63892,124966,4230,2872,7108,67085,68591,135678
50901,1257,1168,2427,18,25,44,18,8,28,1295,1202,2497,27449,27968,55412,2090,1882,3973,30830,31049,61880
50902,1288,1261,2550,16,12,24,15,13,26,1315,1285,2597,24376,23233,47606,3185,2547,5732,28873,27059,55937
50903,386,423,804,4,3,9,10,9,18,398,435,829,8497,8078,16571,1019,936,1954,9908,9448,19357
51001,6893,7125,14019,33,40,71,145,170,312,7073,7331,14408,7952,8138,16096,2283,2310,4590,17306,17780,35092
51002,2157,2144,4300,96,67,170,98,94,195,2351,2310,4657,9176,7125,16301,2960,1528,4486,14487,10955,25443
51003,1643,1446,3089,74,59,132,82,57,140,1806,1565,3365,11623,9796,21416,2907,1900,4809,16330,13262,29594
51101,338,327,668,5,4,13,3,0,3,347,339,684,6894,6797,13686,854,742,1600,8093,7881,15970
51102,559,563,1119,5,6,8,7,9,12,563,577,1139,3656,3403,7057,735,608,1339,4954,4578,9537
51103,2160,2091,4254,36,20,55,46,43,81,2240,2153,4397,15496,13611,29109,2909,1851,4761,20641,17624,38267
51104,2484,2618,5098,16,19,29,40,25,64,2536,2664,5200,21992,21720,43708,3360,2716,6076,27893,27096,54981
59797,7,3,9,0,0,0,0,0,0,7,3,9,256,32,293,193,19,218,455,58,514
59999,786,677,1464,11,0,11,13,5,19,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
