SA3_CODE_2021,Ind_15_19_PD_GD_GCL_M,Ind_15_19_BDL_M,Ind_15_19_ADip_DipL_M,Ind_15_19_Ct_III_IV_M,Ind_15_19_Ct_I_II_M,Ind_15_19_CL_nfd_M,Ind_15_19_LoE_NS_M,Ind_15_19_Tot_M,Ind_20_24_PD_GD_GCL_M,Ind_20_24_BDL_M,Ind_20_24_ADip_DipL_M,Ind_20_24_Ct_III_IV_M,Ind_20_24_Ct_I_II_M,Ind_20_24_CL_nfd_M,Ind_20_24_LoE_NS_M,Ind_20_24_Tot_M,Ind_25_34_PD_GD_GCL_M,Ind_25_34_BDL_M,Ind_25_34_ADip_DipL_M,Ind_25_34_Ct_III_IV_M,Ind_25_34_Ct_I_II_M,Ind_25_34_CL_nfd_M,Ind_25_34_LoE_NS_M,Ind_25_34_Tot_M,Ind_35_44_PD_GD_GCL_M,Ind_35_44_BDL_M,Ind_35_44_ADip_DipL_M,Ind_35_44_Ct_III_IV_M,Ind_35_44_Ct_I_II_M,Ind_35_44_CL_nfd_M,Ind_35_44_LoE_NS_M,Ind_35_44_Tot_M,Ind_45_54_PD_GD_GCL_M,Ind_45_54_BDL_M,Ind_45_54_ADip_DipL_M,Ind_45_54_Ct_III_IV_M,Ind_45_54_Ct_I_II_M,Ind_45_54_CL_nfd_M,Ind_45_54_LoE_NS_M,Ind_45_54_Tot_M,Ind_55_64_PD_GD_GCL_M,Ind_55_64_BDL_M,Ind_55_64_ADip_DipL_M,Ind_55_64_Ct_III_IV_M,Ind_55_64_Ct_I_II_M,Ind_55_64_CL_nfd_M,Ind_55_64_LoE_NS_M,Ind_55_64_Tot_M,Ind_65ov_PtgdDe_GdDp_GdCt_M,Ind_65ov_BDL_M,Ind_65ov_ADip_DipL_M,Ind_65ov_Ct_III_IV_M,Ind_65ov_Ct_I_II_M,Ind_65ov_CL_nfd_M,Ind_65ov_LoE_NS_M,Ind_65ov_Tot_M,Ind_Tot_PD_GD_GCL_M,Ind_Tot_BDL_M,Ind_Tot_ADip_DipL_M,Ind_Tot_Ct_III_IV_M,Ind_Tot_Ct_I_II_M,Ind_tot_CL_nfd_M,Ind_Tot_LoE_NS_M,Ind_Tot_Tot_M,NonI_15_19_PD_GD_GCL_M,NonI_15_19_BDL_M,NonI_15_19_ADip_DipL_M,NonI_15_19_Ct_III_IV_M,NonI_15_19_Ct_I_II_M,NonI_15_19_CL_nfd_M,NonI_15_19_LoE_NS_M,NonI_15_19_Tot_M,NonI_20_24_PD_GD_GCL_M,NonI_20_24_BDL_M,NonI_20_24_ADip_DipL_M,NonI_20_24_Ct_III_IV_M,NonI_20_24_Ct_I_II_M,NonI_20_24_CL_nfd_M,NonI_20_24_LoE_NS_M,NonI_20_24_Tot_M,NonI_25_34_PD_GD_GCL_M,NonI_25_34_BDL_M,NonI_25_34_ADip_DipL_M,NonI_25_34_Ct_III_IV_M,NonI_25_34_Ct_I_II_M,NonI_25_34_CL_nfd_M,NonI_25_34_LoE_NS_M,NonI_25_34_Tot_M,NonI_35_44_PD_GD_GCL_M,NonI_35_44_BDL_M,NonI_35_44_ADip_DipL_M,NonI_35_44_Ct_III_IV_M,NonI_35_44_Ct_I_II_M,NonI_35_44_CL_nfd_M,NonI_35_44_LoE_NS_M,NonI_35_44_Tot_M,NonI_45_54_PD_GD_GCL_M,NonI_45_54_BDL_M,NonI_45_54_ADip_DipL_M,NonI_45_54_Ct_III_IV_M,NonI_45_54_Ct_I_II_M,NonI_45_54_CL_nfd_M,NonI_45_54_LoE_NS_M,NonI_45_54_Tot_M,NonI_55_64_PD_GD_GCL_M,NonI_55_64_BDL_M,NonI_55_64_ADip_DipL_M,NonI_55_64_Ct_III_IV_M,NonI_55_64_Ct_I_II_M,NonI_55_64_CL_nfd_M,NonI_55_64_LoE_NS_M,NonI_55_64_Tot_M,NonI_65ov_PtgdDe_GdDp_GdCt_M,NonI_65ov_BDL_M,NonI_65ov_ADip_DipL_M,NonI_65ov_Ct_III_IV_M,NonI_65ov_Ct_I_II_M,NonI_65ov_CL_nfd_M,NonI_65ov_LoE_NS_M,NonI_65ov_Tot_M,NonI_Tot_PD_GD_GCL_M,NonI_Tot_BDL_M,NonI_Tot_ADip_DipL_M,NonI_Tot_Ct_III_IV_M,NonI_Tot_Ct_I_II_M,NonI_tot_CL_nfd_M,NonI_Tot_LoE_NS_M,NonI_Tot_Tot_M,IS_NS_15_19_PD_GD_GCL_M,IS_NS_15_19_BDL_M,IS_NS_15_19_ADip_DipL_M,IS_NS_15_19_Ct_III_IV_M,IS_NS_15_19_Ct_I_II_M,IS_NS_15_19_CL_nfd_M,IS_NS_15_19_LoE_NS_M,IS_NS_15_19_Tot_M,IS_NS_20_24_PD_GD_GCL_M,IS_NS_20_24_BDL_M,IS_NS_20_24_ADip_DipL_M,IS_NS_20_24_Ct_III_IV_M,IS_NS_20_24_Ct_I_II_M,IS_NS_20_24_CL_nfd_M,IS_NS_20_24_LoE_NS_M,IS_NS_20_24_Tot_M,IS_NS_25_34_PD_GD_GCL_M,IS_NS_25_34_BDL_M,IS_NS_25_34_ADip_DipL_M,IS_NS_25_34_Ct_III_IV_M,IS_NS_25_34_Ct_I_II_M,IS_NS_25_34_CL_nfd_M,IS_NS_25_34_LoE_NS_M,IS_NS_25_34_Tot_M,IS_NS_35_44_PD_GD_GCL_M,IS_NS_35_44_BDL_M,IS_NS_35_44_ADip_DipL_M,IS_NS_35_44_Ct_III_IV_M,IS_NS_35_44_Ct_I_II_M,IS_NS_35_44_CL_nfd_M,IS_NS_35_44_LoE_NS_M,IS_NS_35_44_Tot_M,IS_NS_45_54_PD_GD_GCL_M,IS_NS_45_54_BDL_M,IS_NS_45_54_ADip_DipL_M,IS_NS_45_54_Ct_III_IV_M,IS_NS_45_54_Ct_I_II_M,IS_NS_45_54_CL_nfd_M,IS_NS_45_54_LoE_NS_M,IS_NS_45_54_Tot_M,IS_NS_55_64_PD_GD_GCL_M,IS_NS_55_64_BDL_M,IS_NS_55_64_ADip_DipL_M,IS_NS_55_64_Ct_III_IV_M,IS_NS_55_64_Ct_I_II_M,IS_NS_55_64_CL_nfd_M,IS_NS_55_64_LoE_NS_M,IS_NS_55_64_Tot_M,IS_NS_65ov_PtgdDe_GdDp_GdCt_M,IS_NS_65ov_BDL_M,IS_NS_65ov_ADip_DipL_M,IS_NS_65ov_Ct_III_IV_M,IS_NS_65ov_Ct_I_II_M,IS_NS_65ov_CL_nfd_M,IS_NS_65ov_LoE_NS_M,IS_NS_65ov_Tot_M,IS_NS_Tot_PD_GD_GCL_M,IS_NS_Tot_BDL_M,IS_NS_Tot_ADip_DipL_M,IS_NS_Tot_Ct_III_IV_M,IS_NS_Tot_Ct_I_II_M,IS_NS_tot_CL_nfd_M,IS_NS_Tot_LoE_NS_M,IS_NS_Tot_Tot_M,Tot_15_19_PD_GD_GCL_M,Tot_15_19_BDL_M,Tot_15_19_ADip_DipL_M,Tot_15_19_Ct_III_IV_M,Tot_15_19_Ct_I_II_M,Tot_15_19_CL_nfd_M,Tot_15_19_LoE_NS_M,Tot_15_19_Tot_M
50101,0,0,0,6,4,0,0,9,0,0,0,5,4,0,0,16,0,0,0,24,0,0,0,31,3,0,4,27,0,0,4,33,0,3,5,15,0,0,3,25,0,0,5,12,0,0,3,22,0,0,5,7,0,0,0,14,4,3,10,99,18,4,15,148,0,0,0,70,77,6,51,206,0,26,20,306,64,13,20,455,88,341,181,970,51,27,74,1739,161,525,326,1287,34,48,81,2451,201,519,371,1209,36,72,108,2511,153,440,354,1102,21,68,103,2240,284,619,607,1370,31,110,286,3310,882,2477,1867,6308,316,344,725,12914,0,0,0,0,0,0,75,75,0,0,0,0,0,0,49,49,0,0,0,5,0,0,238,242,0,0,0,0,0,0,304,309,0,0,0,4,0,3,332,342,0,0,0,10,0,0,211,217,0,0,3,15,0,0,293,324,0,5,11,34,3,3,1501,1548,0,0,0,76,81,6,127,298
50102,0,0,0,15,13,0,8,33,0,0,0,41,10,0,8,65,5,0,11,78,9,3,14,113,5,0,11,45,3,0,7,78,0,7,6,45,4,0,7,77,0,3,3,22,4,3,14,49,3,0,3,13,0,0,9,32,7,18,36,265,38,17,62,448,0,0,12,223,160,10,52,466,7,84,69,762,204,25,61,1206,130,520,308,2340,148,49,142,3624,249,644,506,2486,60,83,190,4222,265,638,575,2378,45,88,187,4180,245,523,558,2285,38,116,206,3967,253,592,653,2384,34,173,626,4705,1140,2998,2677,12862,689,542,1466,22372,0,0,0,3,0,0,136,144,0,0,0,0,0,0,147,146,0,0,0,4,0,0,387,391,0,0,3,8,0,0,436,446,0,0,0,8,0,0,479,489,0,0,3,11,0,0,418,433,3,3,0,18,0,3,477,505,4,3,7,49,0,3,2482,2555,0,0,12,241,177,16,203,643
50103,0,0,0,6,4,0,0,7,0,0,0,12,0,0,0,19,0,0,0,9,0,0,3,13,0,0,0,13,0,0,0,13,0,0,4,6,0,0,0,15,0,5,0,8,0,0,0,17,0,4,0,6,0,0,4,12,5,6,6,60,5,5,16,101,0,0,0,50,30,5,22,104,0,10,6,138,27,0,5,193,14,85,43,344,31,14,24,561,38,111,77,401,15,22,25,683,49,120,110,466,5,28,40,819,57,132,157,540,13,29,56,988,95,224,203,648,10,62,188,1434,245,684,597,2583,143,151,374,4775,0,0,0,0,0,0,40,40,0,0,0,4,0,0,33,35,0,0,0,6,0,0,86,86,0,0,0,0,0,0,104,103,0,0,0,4,0,0,163,169,0,0,0,3,0,0,125,129,0,0,0,4,0,4,199,206,0,0,3,18,0,4,746,773,0,0,0,50,31,5,62,149
50201,0,0,0,9,9,3,9,32,0,0,6,23,10,0,0,37,0,0,0,73,3,0,11,95,0,4,10,46,5,3,4,65,0,0,5,29,5,0,7,52,0,0,10,41,0,0,4,64,0,4,3,25,0,3,6,44,11,18,39,238,31,13,45,389,0,0,22,208,162,12,70,470,12,122,91,653,145,22,44,1087,86,382,286,1918,105,47,121,2946,194,456,460,1936,54,68,171,3349,223,465,574,2116,40,91,159,3673,242,464,643,2271,43,93,192,3942,330,747,1041,3432,52,241,916,6770,1079,2635,3110,12540,608,571,1686,22232,0,0,0,3,0,0,114,117,0,0,0,0,0,0,166,168,0,0,5,3,0,0,389,396,0,5,0,6,0,0,482,492,0,0,3,10,0,0,499,515,0,0,6,6,0,0,387,402,0,0,4,27,0,0,503,542,3,7,12,67,0,6,2536,2631,0,0,20,215,170,13,195,619
50301,0,0,0,3,6,0,0,7,0,8,0,5,0,0,4,17,0,3,4,0,0,0,0,17,4,6,0,9,0,0,0,13,10,7,0,4,0,0,3,17,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,13,23,4,20,5,0,10,74,0,3,16,92,43,4,31,187,87,828,102,153,33,5,44,1249,772,1475,176,299,23,11,80,2828,1041,1448,258,252,14,26,92,3130,1358,1960,349,300,13,36,104,4126,1166,1617,350,317,14,31,92,3594,1388,2117,698,511,8,91,351,5175,5824,9449,1948,1919,149,210,794,20291,0,0,0,0,0,0,70,70,0,3,0,0,0,0,72,73,0,4,0,0,0,0,191,196,0,4,0,0,0,0,165,170,0,0,0,0,0,0,145,144,3,7,0,4,0,0,140,155,0,14,5,0,0,0,279,296,3,31,13,7,0,0,1060,1115,0,3,16,92,45,4,102,265
50302,0,0,0,0,0,0,0,5,0,10,3,11,3,0,0,34,3,23,7,19,7,0,3,56,0,19,8,21,0,0,3,47,8,13,10,9,0,0,3,41,10,4,5,5,0,0,4,26,0,8,0,6,0,0,3,24,23,70,29,72,12,0,23,232,0,0,13,95,79,6,16,205,130,923,282,420,74,22,89,1937,2239,4442,907,1301,83,64,284,9331,2206,3470,897,992,47,66,237,7916,1396,2112,652,756,15,88,163,5185,988,1609,602,825,28,80,160,4292,961,1458,784,887,16,113,485,4701,7917,14018,4145,5273,341,445,1420,33564,0,0,0,0,0,0,61,63,0,4,0,0,0,0,258,261,0,5,0,0,0,0,952,957,3,0,3,7,0,0,598,611,0,4,0,4,0,0,433,446,0,0,0,6,0,0,341,349,4,0,0,6,0,0,398,414,8,20,3,21,0,3,3038,3095,0,0,13,96,81,6,81,277
50401,0,0,0,5,0,0,0,11,0,10,3,15,3,0,3,35,4,12,9,33,5,0,5,65,0,7,10,27,3,0,3,48,0,8,5,13,0,0,5,32,0,3,3,11,0,0,5,27,0,0,6,4,0,0,3,16,8,37,33,112,16,3,19,229,0,0,15,97,79,10,20,227,54,332,207,402,91,16,75,1184,657,1865,658,1420,79,60,170,4911,845,1741,677,1284,40,68,170,4822,504,1056,619,1107,49,68,141,3545,381,661,464,1149,25,71,131,2882,297,646,594,1545,21,113,333,3553,2741,6309,3240,7000,388,409,1037,21122,0,0,0,0,0,0,64,64,0,0,0,0,0,0,113,116,0,0,0,0,0,0,358,360,0,0,0,0,0,0,326,329,0,0,0,0,0,0,249,249,0,5,5,9,0,0,208,221,0,0,5,9,0,0,274,290,0,3,11,21,0,0,1590,1625,0,0,21,107,83,10,86,304
50402,0,0,0,3,0,0,0,6,0,0,3,15,10,0,5,22,0,0,3,38,4,0,6,51,4,0,4,25,0,0,4,42,0,4,3,18,0,0,3,39,0,3,3,6,0,0,4,23,0,0,4,7,0,0,6,19,0,16,21,111,14,0,31,204,0,0,4,82,56,3,24,166,8,67,42,279,51,10,22,480,83,253,135,853,45,21,71,1458,152,385,206,801,26,30,61,1670,189,400,310,884,18,44,78,1920,200,305,295,909,10,60,92,1868,214,377,424,1117,11,86,234,2464,848,1798,1425,4920,218,257,573,10039,0,0,0,0,0,0,51,51,0,0,0,0,0,0,39,44,0,0,0,7,0,0,135,146,0,0,0,0,0,0,169,174,0,0,0,3,0,0,167,172,0,0,0,4,0,0,163,170,0,0,0,8,0,0,150,160,0,6,7,23,0,0,880,915,0,0,4,88,61,3,74,227
50403,0,0,0,21,9,0,12,43,0,3,4,49,13,0,10,83,3,12,14,132,9,5,13,185,0,10,13,74,4,0,8,112,5,8,11,46,3,9,5,93,0,0,10,32,5,6,21,68,0,0,6,15,0,0,4,29,15,32,58,363,40,13,87,609,0,0,21,326,203,27,97,673,27,365,209,970,217,50,131,1970,470,1421,927,3410,197,118,286,6836,777,1614,1257,3078,121,133,334,7314,438,1041,939,2698,76,139,261,5584,294,667,748,2398,53,127,209,4505,265,575,607,2050,36,155,485,4177,2273,5689,4712,14940,901,748,1797,31060,0,0,0,0,0,0,145,141,0,0,0,5,0,0,181,180,0,0,3,5,0,0,593,603,0,3,4,3,0,0,580,584,0,0,0,5,0,0,545,556,0,3,4,5,0,0,372,380,0,0,4,7,0,0,307,325,0,8,11,40,0,5,2712,2779,0,0,21,344,213,29,251,860
50501,0,0,0,3,4,0,3,9,0,0,0,15,0,0,4,21,0,10,3,37,7,0,5,61,3,5,9,24,0,0,7,50,9,5,7,18,0,0,5,51,3,4,11,15,0,3,0,33,4,4,10,14,0,0,0,27,14,32,34,122,15,5,24,248,0,0,35,371,205,16,63,686,51,713,257,899,155,49,86,2200,592,1804,630,2554,92,74,191,5941,1077,2363,1203,2988,65,133,259,8087,1269,2326,1413,2877,49,170,295,8399,987,1699,1371,3188,42,170,230,7691,829,1616,1712,3668,56,276,662,8820,4801,10521,6622,16542,667,883,1792,41828,0,0,0,4,0,0,99,97,0,0,0,5,0,0,133,140,0,0,0,3,0,0,334,339,3,4,0,4,0,0,432,441,0,5,0,7,0,0,452,472,0,3,4,15,0,0,365,384,4,4,7,12,0,0,368,401,6,16,14,50,0,4,2182,2278,0,0,35,376,209,16,165,798
