SA3_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
50101,..,81,12,0,0,0,96,..,..,49,60,34,26,173,..,28,50,18,8,7,116,..,3,0,0,0,0,3,..,117,108,84,43,32,389,..,..,..,0,5,7,15,..,117,108,84,46,43,401,63,..,..,..,..,..,63,..,18,0,0,0,0,20,63,130,117,87,46,43,483,..,6422,189,41,10,0,6656,..,..,1884,2613,1014,273,5794,..,836,672,265,56,12,1838,..,90,16,0,0,0,111,..,7350,2764,2919,1084,288,14406,..,..,..,65,98,97,257,..,7350,2764,2984,1179,383,14663,5094,..,..,..,..,..,5094,..,432,112,51,6,5,601,5094,7780,2881,3033,1183,391,20356
50102,..,244,20,7,0,0,272,..,..,143,211,100,79,525,..,117,133,67,52,34,400,..,10,9,0,0,0,20,..,380,298,282,150,113,1220,..,..,..,12,17,48,68,..,380,298,295,163,157,1294,214,..,..,..,..,..,214,..,59,9,0,4,3,70,214,435,308,291,163,160,1575,..,11145,342,58,10,6,11564,..,..,3595,4644,1992,655,10894,..,1920,1317,547,146,69,3997,..,259,39,5,0,0,311,..,13328,5295,5253,2162,731,26764,..,..,..,153,132,189,478,..,13328,5295,5405,2295,922,27238,10166,..,..,..,..,..,10166,..,818,127,33,6,17,994,10166,14136,5421,5438,2298,942,38405
50103,..,53,7,0,0,0,67,..,..,23,36,22,23,100,..,16,32,13,6,5,70,..,0,0,0,0,0,6,..,75,65,50,29,22,232,..,..,..,4,3,4,13,..,75,65,53,34,30,245,58,..,..,..,..,..,58,..,14,0,0,0,0,20,58,90,62,55,34,30,327,..,3150,87,8,0,0,3254,..,..,686,822,396,142,2047,..,348,170,86,18,7,626,..,59,3,0,0,0,68,..,3561,952,917,414,147,5995,..,..,..,27,28,35,83,..,3561,952,939,445,177,6079,2568,..,..,..,..,..,2568,..,149,19,3,0,5,175,2568,3711,969,945,445,185,8817
50201,..,221,26,8,0,0,256,..,..,118,139,114,65,437,..,120,131,82,48,30,404,..,25,3,0,0,0,28,..,361,277,230,161,99,1121,..,..,..,23,18,37,76,..,361,277,246,174,133,1198,155,..,..,..,..,..,155,..,42,11,5,0,0,69,155,409,285,254,180,131,1418,..,12683,368,35,6,0,13101,..,..,3426,4167,1695,601,9891,..,1996,1419,596,172,84,4267,..,267,41,4,0,0,309,..,14949,5262,4807,1869,683,27571,..,..,..,153,156,230,535,..,14949,5262,4964,2023,917,28109,11317,..,..,..,..,..,11317,..,759,103,17,13,0,894,11317,15710,5365,4980,2036,917,40319
50301,..,25,3,0,0,0,26,..,..,13,17,16,3,49,..,15,13,6,3,0,31,..,4,0,0,0,0,7,..,39,26,29,13,3,112,..,..,..,0,0,3,4,..,39,26,30,13,8,114,35,..,..,..,..,..,35,..,11,4,3,0,0,18,35,49,28,32,13,7,173,..,6690,142,36,5,3,6878,..,..,2556,4131,1925,381,9002,..,914,671,211,40,7,1847,..,168,37,12,4,0,221,..,7775,3402,4388,1972,401,17934,..,..,..,65,55,87,210,..,7775,3402,4455,2030,484,18148,6200,..,..,..,..,..,6200,..,548,231,127,26,7,947,6200,8327,3633,4585,2056,487,25287
50302,..,130,7,0,0,0,134,..,..,30,37,7,6,85,..,38,20,12,4,0,71,..,12,0,0,0,0,18,..,179,54,51,15,7,312,..,..,..,0,0,0,3,..,179,54,53,13,8,309,196,..,..,..,..,..,196,..,41,16,6,0,0,64,196,220,75,56,13,8,573,..,12291,521,113,23,8,12957,..,..,3881,4525,1305,211,9922,..,1670,890,221,41,13,2839,..,451,86,17,4,0,554,..,14412,5380,4877,1370,229,26271,..,..,..,66,62,71,192,..,14412,5380,4941,1429,300,26466,17168,..,..,..,..,..,17168,..,2138,695,213,37,15,3101,17168,16554,6075,5148,1466,312,46731
50401,..,95,17,0,0,0,115,..,..,61,58,36,21,176,..,64,59,40,14,17,192,..,17,0,0,0,0,23,..,168,145,98,52,41,505,..,..,..,9,0,9,17,..,168,145,107,50,55,519,146,..,..,..,..,..,146,..,39,6,0,3,0,52,146,202,150,106,55,51,720,..,8348,399,57,13,8,8836,..,..,3575,3958,1154,376,9067,..,1671,1031,321,79,32,3137,..,363,68,10,9,3,459,..,10378,5078,4352,1264,427,21496,..,..,..,131,105,148,381,..,10378,5078,4482,1369,576,21886,10008,..,..,..,..,..,10008,..,1061,282,84,28,18,1471,10008,11445,5360,4563,1401,587,33365
50402,..,85,9,0,0,0,97,..,..,53,55,51,37,197,..,37,36,26,12,6,121,..,8,3,0,0,0,18,..,127,107,83,60,46,429,..,..,..,9,11,18,34,..,127,107,90,74,58,462,41,..,..,..,..,..,41,..,10,3,0,0,0,18,41,143,109,96,74,58,525,..,4402,198,10,4,0,4618,..,..,1624,2011,844,245,4726,..,688,490,177,53,11,1424,..,96,17,5,0,0,114,..,5184,2342,2201,900,258,10885,..,..,..,76,90,123,295,..,5184,2342,2278,990,386,11178,3328,..,..,..,..,..,3328,..,242,38,10,0,0,291,3328,5434,2374,2285,990,387,14794
50403,..,226,33,9,3,0,270,..,..,187,252,130,103,671,..,162,158,118,74,48,558,..,33,10,4,3,0,50,..,418,391,380,204,146,1547,..,..,..,17,26,65,109,..,418,391,406,225,216,1653,268,..,..,..,..,..,268,..,60,10,5,5,0,85,268,481,405,408,233,215,2012,..,11088,570,88,16,5,11759,..,..,5939,7682,3073,1384,18079,..,2550,2030,782,239,109,5715,..,439,106,23,3,0,566,..,14073,8649,8575,3332,1496,36122,..,..,..,238,305,585,1126,..,14073,8649,8805,3638,2081,37247,10306,..,..,..,..,..,10306,..,1044,192,48,20,8,1309,10306,15121,8840,8855,3654,2088,48865
50501,..,121,15,0,0,0,137,..,..,85,103,56,28,275,..,31,66,24,6,9,140,..,11,0,0,0,0,12,..,166,163,131,75,40,573,..,..,..,7,9,12,30,..,166,163,138,77,49,599,84,..,..,..,..,..,84,..,14,9,4,0,0,19,84,179,173,142,77,50,703,..,16265,590,72,13,12,16939,..,..,6971,10338,3577,791,21674,..,2517,1952,663,150,48,5329,..,359,72,5,6,0,436,..,19139,9576,11083,3741,848,44384,..,..,..,275,242,297,816,..,19139,9576,11356,3988,1149,45202,10658,..,..,..,..,..,10658,..,903,184,71,22,14,1189,10658,20034,9761,11429,4007,1164,57047
