SA3_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
50101,0,26,20,311,69,13,70,523,88,346,187,999,53,27,316,2009,161,527,326,1314,34,48,379,2796,205,519,373,1222,36,74,440,2872,153,441,361,1127,21,68,317,2478,284,622,614,1390,34,110,583,3639,888,2482,1888,6437,334,350,2237,14613,0,0,0,0,4,0,0,11,0,0,0,8,3,0,0,15,7,4,0,20,4,0,0,30,3,10,4,17,0,0,3,47,4,5,9,14,0,0,0,33,3,3,0,3,0,0,0,12,0,0,0,6,0,0,5,14,18,20,19,68,10,5,13,158,0,0,9,101,64,14,45,234,8,76,58,197,55,20,22,431,181,716,337,555,56,52,95,1997,368,1130,529,757,70,99,119,3075,322,858,592,683,79,121,112,2774,259,604,580,541,73,135,157,2344,268,698,675,365,71,172,583,2827,1411,4088,2771,3202,472,606,1137,13684,0,0,0,0,0,0,67,74,0,0,0,0,0,0,52,52
50102,7,84,73,806,217,26,216,1415,132,522,312,2417,152,50,544,4131,251,644,520,2543,65,86,636,4748,269,644,582,2435,46,88,678,4741,246,530,562,2320,39,122,637,4453,254,598,658,2410,34,178,1112,5242,1154,3018,2714,13172,731,562,4017,25372,0,0,0,18,14,0,15,49,0,0,7,43,11,4,10,78,5,10,16,66,15,4,12,128,10,16,13,46,3,3,15,106,4,21,13,26,8,3,16,99,8,17,8,24,10,3,8,77,6,8,8,12,0,4,17,54,17,72,69,244,66,25,83,579,3,0,23,389,179,22,68,682,34,189,102,775,190,42,49,1374,317,1118,581,1647,244,94,142,4138,439,1366,771,1598,186,158,195,4705,409,1148,801,1452,147,257,195,4419,352,778,877,1076,124,239,272,3716,253,740,837,622,107,235,954,3748,1801,5339,3992,7566,1175,1046,1869,22781,0,0,0,3,0,0,129,131,0,0,0,0,0,0,132,139
50103,0,10,7,152,32,0,43,246,14,85,43,359,39,13,113,665,38,112,76,408,15,18,129,807,50,120,110,484,5,28,206,998,57,133,157,552,13,28,190,1134,98,226,208,656,10,67,390,1653,251,689,613,2666,150,165,1128,5657,0,0,0,0,3,0,5,10,0,0,0,4,5,0,0,10,0,0,3,4,3,0,0,8,0,0,3,11,3,0,0,19,0,5,0,9,0,0,3,20,0,0,4,11,0,0,3,18,4,4,3,0,0,0,3,14,5,8,17,42,20,3,13,102,0,0,4,58,51,8,19,138,3,35,20,86,34,5,4,194,57,183,97,236,39,20,24,662,96,283,175,257,26,31,38,894,100,251,167,266,31,44,38,901,96,235,224,283,27,60,89,1015,102,275,299,181,37,67,278,1234,444,1264,980,1368,249,232,489,5036,0,0,0,0,0,0,52,52,0,0,0,0,0,0,31,31
50201,12,123,87,671,156,24,219,1292,86,390,291,1995,112,48,520,3442,193,457,470,1988,60,72,654,3906,226,466,580,2161,41,91,666,4235,241,464,663,2319,44,96,587,4412,329,757,1052,3491,52,244,1429,7352,1096,2657,3163,12843,638,592,4270,25253,0,0,4,15,10,0,3,28,0,8,4,25,13,3,9,68,0,12,19,64,3,0,7,104,0,15,11,52,3,4,9,85,0,9,11,37,6,0,6,71,8,7,12,22,0,5,9,57,4,6,4,9,0,6,10,34,16,50,65,220,30,24,52,447,0,0,17,265,125,39,61,509,28,222,176,609,170,46,72,1319,255,940,623,1388,171,109,169,3651,376,1094,836,1342,151,169,201,4167,393,952,913,1304,109,202,209,4087,327,687,977,1131,127,244,324,3809,289,850,1093,837,157,363,1671,5246,1666,4735,4631,6880,1002,1176,2709,22799,0,0,0,0,0,0,134,132,0,0,0,0,0,0,143,147
50301,87,834,106,159,32,8,114,1344,772,1478,181,306,21,11,272,3042,1048,1456,258,255,14,26,262,3311,1364,1968,354,305,13,36,251,4293,1173,1627,352,321,14,31,235,3748,1390,2132,706,511,8,91,626,5475,5838,9506,1960,1949,157,207,1860,21485,0,0,0,7,0,0,0,14,0,4,6,5,0,0,0,15,4,14,0,4,0,0,0,21,4,3,0,0,0,0,0,8,4,4,0,3,0,0,0,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,14,30,8,25,3,4,6,89,0,0,13,112,59,11,27,234,92,891,97,117,27,13,38,1269,895,1630,184,144,13,15,62,2943,1205,1911,287,169,16,33,105,3722,1415,2238,507,159,20,95,123,4554,1052,1541,665,169,28,108,126,3683,983,1954,1114,190,47,265,619,5174,5648,10164,2854,1055,212,538,1098,21577,0,0,0,0,0,0,83,83,0,4,0,0,0,0,88,92
50302,127,931,284,435,77,23,342,2229,2244,4471,913,1321,90,69,1233,10349,2216,3488,908,1016,47,66,833,8579,1404,2126,661,776,15,88,600,5662,996,1619,612,827,28,80,508,4666,969,1467,784,892,16,112,888,5134,7950,14105,4177,5371,355,448,4482,36892,0,0,0,3,9,0,0,11,0,8,6,15,4,0,0,35,12,23,16,20,6,0,5,80,10,11,9,13,3,0,0,42,9,7,10,5,0,5,5,38,6,8,0,3,0,0,4,23,0,3,0,0,0,0,4,14,37,61,35,62,17,9,14,239,0,6,35,146,96,11,16,302,182,1279,411,410,83,33,91,2490,2730,5289,1008,728,62,88,258,10168,2258,3622,871,494,53,101,173,7579,1503,2208,774,451,49,142,162,5278,997,1510,803,364,46,175,201,4088,833,1414,854,294,68,222,761,4442,8492,15321,4759,2888,459,775,1657,34350,0,0,0,0,0,0,67,69,0,5,0,0,0,0,262,270
50401,57,347,205,419,98,16,192,1333,662,1884,663,1449,84,62,534,5333,843,1746,686,1304,50,66,495,5193,506,1059,628,1123,50,69,386,3827,381,666,470,1169,25,70,341,3124,301,650,607,1557,21,119,609,3857,2749,6347,3283,7129,401,413,2647,22973,0,0,0,4,0,0,0,7,0,0,4,18,9,0,6,35,3,15,6,35,11,3,6,79,9,4,3,15,0,4,6,49,6,10,9,12,0,3,6,50,0,6,7,3,0,0,6,23,0,4,3,0,0,3,0,21,27,43,34,85,17,17,41,258,0,3,12,106,60,16,25,221,62,506,210,342,113,32,48,1315,1035,2491,714,864,94,58,167,5422,1142,2068,735,727,77,123,161,5035,713,1235,681,643,67,155,138,3638,431,741,629,511,70,175,195,2754,323,690,654,414,72,227,603,2985,3702,7734,3641,3616,553,785,1339,21368,0,0,0,0,0,0,64,63,0,0,0,0,0,0,80,81
50402,8,74,44,289,59,10,67,549,78,261,135,894,45,21,212,1657,161,387,210,826,29,30,236,1887,193,411,317,909,18,42,251,2131,200,310,302,919,10,60,258,2065,214,385,430,1129,14,86,385,2640,853,1821,1449,5057,234,255,1481,11153,0,0,0,4,8,0,4,10,0,0,0,19,8,0,3,28,0,4,11,20,4,0,0,49,7,3,5,9,0,3,6,34,4,9,12,7,4,0,4,37,0,4,6,8,0,0,0,28,0,0,3,7,0,0,3,14,11,29,44,72,20,5,25,204,0,0,11,89,60,10,18,187,12,133,68,202,45,17,19,496,167,490,227,475,48,26,51,1476,273,643,352,458,44,61,78,1900,306,619,396,473,57,80,80,2009,257,405,406,406,37,121,116,1746,183,510,480,244,54,132,412,2010,1193,2803,1935,2350,337,446,771,9833,0,0,0,0,0,0,38,39,0,0,0,0,0,0,41,37
50403,29,363,212,1023,232,56,319,2235,473,1436,943,3550,203,118,895,7622,780,1628,1275,3160,123,133,916,8017,445,1046,952,2749,80,144,812,6223,299,670,768,2442,53,132,594,4957,265,579,615,2071,36,158,803,4521,2287,5730,4784,15341,947,765,4598,34443,0,0,0,18,10,3,9,40,0,8,0,48,9,0,8,79,4,30,40,134,13,3,22,251,6,16,24,56,4,5,11,124,10,18,24,34,3,3,11,111,0,13,13,24,4,8,12,75,0,7,10,10,0,3,14,41,25,91,119,323,47,21,97,722,0,5,22,317,178,44,72,640,76,568,374,940,191,72,117,2348,924,2622,1385,2239,235,176,338,7917,1041,2398,1526,1849,217,275,344,7647,600,1454,1286,1523,164,343,296,5666,373,810,943,1047,95,302,349,3925,223,610,617,544,78,219,851,3134,3246,8462,6148,8461,1162,1428,2368,31275,0,0,0,0,0,0,148,154,0,0,0,0,0,0,166,167
50501,51,719,256,916,155,49,228,2362,593,1817,630,2594,97,74,527,6333,1080,2374,1214,3020,64,133,700,8584,1276,2340,1422,2903,48,173,760,8922,992,1709,1383,3213,42,171,594,8104,830,1626,1729,3692,56,276,1033,9246,4828,10573,6668,16709,676,889,4004,44351,0,0,0,6,0,0,5,11,0,0,0,19,0,0,0,22,7,9,12,26,6,4,6,59,3,17,5,14,7,0,6,60,6,8,11,15,0,0,5,52,6,3,0,6,0,3,0,18,3,10,0,0,0,0,0,15,22,45,34,81,17,9,23,235,3,3,43,356,166,34,56,655,93,911,341,604,133,53,81,2224,976,2900,935,1253,87,107,187,6456,1655,3792,1447,1466,132,233,279,8999,1416,2973,1845,1524,117,415,336,8629,986,1925,1795,1314,158,439,406,7027,575,1579,1537,877,175,552,1237,6540,5706,14076,7944,7396,975,1842,2588,40524,0,0,0,0,0,0,75,75,0,0,0,0,0,0,91,89
