SA3_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
50101,14395,29513,76,90,165,15528,14805,30339,22,9,34,881,850,1733,1753,1438,3191,2658,2300,4956,19,10,24,375,382,756,0,6,4,395,395,788,128,124,251,3660,3426,7092,27,21,51,3816,3580,7394,35,32,67,1087,995,2080,5,9,16,1129,1033,2170,4,6,7,171,192,361,0,0,0,174,195,366,3,29,33,426,1158,1585,3,0,0,433,1183,1622,126,140,260,10499,12582,23085,51,63,113,10673,12783,23453,41,48,88,2490,2472,4960,10,18,31,2542,2539,5080,95,88,180,5419,5246,10662,29,30,59,5539,5362,10902,31,30,62,1053,905,1954,13,10,21,1096,946,2039,16,6,18,584,508,1092,5,10,12,604,523,1127,0,3,4,75,49,129,0,0,0,78,51,131,457,425,880,21247,22894,44145,1034,1132,2171,22738,24454,47194,0,0,0,21,10,31,0,0,3,18,14,33,21,37,54,1542,1814,3351,157,158,313,1722,2011,3727,479,458,936,22802,24727,47530,1197,1293,2490,24478,26478,50957
50102,23399,48676,114,104,218,26538,24669,51203,179,76,252,1922,1333,3251,2877,2283,5156,4980,3686,8667,47,39,92,802,724,1526,5,4,5,850,767,1621,440,384,822,6633,6160,12794,32,35,67,7103,6578,13680,113,137,255,2123,2125,4248,8,6,16,2247,2276,4520,11,24,33,391,540,929,0,0,0,402,561,967,22,71,88,782,1897,2677,0,5,9,804,1972,2775,300,376,675,15647,19490,35132,54,72,129,15999,19937,35939,179,233,413,5151,5301,10452,21,26,42,5351,5561,10908,470,426,900,12865,11692,24553,69,57,127,13406,12173,25584,127,122,246,2659,2182,4839,18,24,36,2798,2324,5125,45,43,90,1358,1283,2651,21,34,52,1428,1361,2787,16,7,20,144,116,261,0,0,3,162,126,282,1479,1551,3026,41086,43023,84106,1607,1634,3236,44172,46204,90373,0,0,0,22,7,33,12,3,16,31,16,45,121,158,279,3105,3860,6964,354,368,720,3576,4390,7966,1595,1710,3304,44210,46893,91105,1969,2010,3976,47777,50607,98384
50103,5383,11248,62,48,106,6121,5621,11749,23,19,36,392,332,723,873,766,1644,1292,1112,2407,11,3,10,133,135,267,3,3,5,140,147,286,64,72,141,1242,1143,2384,13,10,20,1319,1224,2546,13,29,40,365,388,757,0,9,12,385,427,807,0,6,0,47,57,106,3,0,3,53,62,110,6,5,7,101,298,403,4,0,5,110,312,420,57,76,129,3591,4498,8088,20,30,50,3671,4593,8271,29,37,70,1069,1166,2233,9,10,19,1102,1217,2323,84,69,152,2912,2417,5335,30,20,44,3024,2506,5535,17,12,29,655,502,1148,8,0,9,681,514,1189,3,9,8,362,290,659,11,10,14,382,308,689,0,0,0,54,35,95,0,0,0,57,37,98,259,270,525,9271,9550,18819,692,692,1386,10230,10506,20732,0,0,0,13,13,28,0,0,0,13,13,28,24,16,40,258,284,538,33,26,62,316,326,642,286,286,568,9547,9839,19382,729,717,1449,10563,10849,21408
50201,23342,47784,127,121,249,25549,24503,50053,63,47,117,1523,1622,3141,2906,2241,5150,4497,3908,8404,43,43,87,739,727,1467,7,0,5,791,772,1565,381,394,776,5775,5699,11475,30,40,65,6188,6125,12312,101,121,219,1941,2050,3991,9,7,21,2049,2179,4233,18,27,48,544,758,1304,0,0,7,564,789,1354,23,35,58,783,1934,2716,0,12,12,808,1976,2787,274,335,607,16486,19664,36156,77,80,158,16834,20086,36927,161,143,301,4892,5474,10363,27,31,52,5080,5646,10720,307,341,648,12017,12581,24596,70,77,149,12389,12996,25383,99,98,199,2791,2618,5407,28,20,48,2921,2733,5658,40,42,81,1519,1446,2966,25,20,40,1586,1507,3092,16,10,25,128,110,236,0,5,6,141,119,264,1265,1348,2615,39152,43091,82240,1467,1581,3044,41885,46024,87904,0,0,0,26,18,42,0,0,0,28,26,49,103,114,214,4077,5142,9215,308,338,652,4482,5596,10082,1364,1464,2830,43251,48250,91502,1776,1922,3699,46393,51639,98035
50301,14786,30791,31,32,65,16149,14964,31117,13,19,34,951,878,1827,1181,1105,2280,2150,1996,4140,3,4,7,557,516,1072,0,0,0,564,516,1078,37,49,86,4678,4387,9060,12,13,19,4723,4446,9173,47,54,101,2650,2699,5344,10,5,12,2701,2759,5459,27,32,52,1750,1750,3493,6,3,12,1780,1780,3562,11,12,27,1272,1703,2975,0,0,9,1286,1723,3007,102,116,215,22435,23779,46216,69,63,129,22605,23960,46564,9,20,27,1437,1524,2960,12,6,16,1457,1554,3012,24,27,55,2020,2740,4760,3,10,23,2053,2783,4831,9,17,29,733,768,1499,5,8,5,743,793,1536,3,9,9,217,275,486,0,4,6,223,282,500,9,0,10,33,52,85,0,0,0,42,55,98,83,95,179,24218,25085,49302,368,430,798,24667,25616,50282,0,0,0,0,0,0,0,0,0,0,0,0,45,51,94,6485,7512,13999,323,386,704,6851,7952,14799,123,154,281,30705,32601,63308,689,811,1502,31520,33567,65086
50302,24815,51864,51,37,91,27389,25124,52514,26,12,39,1481,1170,2647,3244,2421,5668,4755,3597,8351,9,5,12,829,699,1528,0,0,0,833,702,1539,50,58,108,4694,4555,9248,12,5,16,4752,4624,9372,16,25,46,1754,1835,3596,5,0,3,1774,1867,3645,15,27,43,1787,2287,4075,3,0,5,1806,2318,4122,46,38,84,3216,4262,7479,8,9,13,3267,4310,7579,214,232,450,34929,36042,70979,60,58,117,35202,36340,71545,39,46,84,2600,2407,5002,7,5,17,2648,2457,5106,74,75,149,3962,4160,8119,22,26,47,4057,4256,8315,15,10,28,953,851,1800,8,3,13,977,870,1840,18,14,28,594,874,1468,4,8,14,616,899,1512,0,0,3,189,288,483,5,0,5,194,292,486,141,153,285,22149,23144,45287,394,383,777,22684,23677,46354,0,0,0,0,0,0,0,0,0,0,0,0,240,238,478,25034,25364,50398,1483,1320,2807,26752,26928,53688,376,392,769,47184,48503,95687,1881,1707,3585,49439,50603,100038
50401,16219,33785,54,27,86,18081,16673,34751,21,23,43,1034,886,1926,1804,1423,3228,2862,2333,5195,10,11,26,749,657,1407,0,0,0,760,671,1437,157,117,268,4153,3817,7971,9,7,21,4325,3938,8261,47,47,90,1502,1490,2999,4,5,8,1550,1540,3090,18,12,29,998,1006,2002,0,0,0,1013,1016,2035,21,34,56,1620,2316,3931,9,5,11,1644,2359,4002,203,234,439,20974,22394,43369,41,48,84,21214,22674,43892,63,76,137,2836,2573,5411,6,10,22,2909,2661,5568,134,137,269,5541,5647,11188,37,32,59,5704,5809,11522,33,42,75,1267,1217,2484,7,5,16,1306,1263,2573,32,33,64,1070,1435,2506,6,0,12,1111,1469,2583,7,10,11,268,382,647,0,4,4,274,385,661,486,479,963,29798,30479,60278,860,753,1618,31150,31709,62854,0,0,0,0,0,0,0,0,0,0,0,0,191,213,404,7504,8230,15730,421,420,846,8116,8866,16980,677,694,1371,37302,38706,76011,1285,1177,2457,39260,40574,79839
50402,9773,20299,35,55,87,10952,10161,21109,617,28,647,1864,520,2389,1010,734,1751,3495,1284,4785,22,23,45,282,279,563,0,5,0,307,305,612,144,132,266,2416,2229,4641,12,10,25,2565,2366,4939,49,31,77,927,915,1849,4,6,9,978,951,1932,3,16,19,309,344,653,0,0,3,317,364,680,9,19,28,395,800,1195,0,6,6,397,827,1229,192,176,374,8183,9346,17535,30,44,74,8410,9570,17979,55,53,111,1879,1792,3672,13,6,23,1945,1860,3808,597,95,689,4889,3812,8695,20,20,39,5502,3927,9428,42,34,72,841,749,1589,9,8,15,891,786,1673,44,15,58,439,427,862,0,6,9,485,440,924,39,4,40,118,46,161,0,0,0,158,49,199,539,528,1069,17415,18190,35613,584,597,1183,18540,19323,37863,0,0,0,0,0,3,0,0,0,0,0,3,37,30,63,459,642,1101,41,66,106,536,730,1265,573,561,1131,17874,18837,36709,628,661,1289,19071,20055,39131
50403,26933,56213,104,77,174,30933,28471,59408,83,191,276,1978,1922,3901,3211,2430,5642,5275,4546,9816,76,82,168,1556,1341,2891,5,3,6,1636,1429,3065,629,573,1204,9803,9128,18930,33,30,62,10457,9734,20196,139,150,291,3381,3216,6595,11,14,25,3529,3382,6914,22,29,54,1320,1543,2862,4,5,5,1343,1574,2924,32,94,123,1847,3331,5176,4,12,14,1885,3432,5316,510,606,1120,28986,32446,61432,75,76,154,29574,33125,62701,229,227,452,6047,5837,11884,16,15,27,6288,6079,12365,437,578,1017,12233,11313,23542,54,52,106,12725,11936,24664,129,124,250,2533,2334,4869,16,16,30,2675,2475,5151,61,74,133,1438,1660,3101,20,13,33,1522,1749,3265,7,23,28,489,685,1175,6,4,4,498,708,1208,1996,1987,3981,60046,61849,121896,1787,1786,3576,63834,65614,129446,3,0,3,6,7,13,3,4,10,13,10,27,205,265,467,4238,4952,9193,357,374,733,4801,5587,10391,2204,2249,4451,64296,66807,131099,2150,2159,4311,68644,71219,139862
50501,33490,70893,122,81,200,37964,33988,71950,31,25,59,1872,1647,3528,2384,1653,4033,4288,3328,7619,17,13,36,1423,1338,2760,4,0,6,1446,1352,2795,158,174,333,10506,9822,20323,36,23,59,10701,10020,20720,50,47,95,4216,4139,8352,11,17,26,4273,4203,8478,12,19,26,1971,1989,3962,5,9,10,1986,2018,3999,18,21,38,1913,3153,5064,5,11,15,1931,3185,5114,211,213,421,38609,42074,80677,103,95,203,38916,42384,81305,59,61,122,6347,6163,12511,17,19,36,6418,6245,12669,125,105,234,12187,11925,24114,40,56,98,12351,12087,24446,41,18,59,2397,2221,4613,10,15,25,2441,2257,4700,23,11,32,877,1110,1985,4,10,17,897,1131,2033,0,7,7,140,178,316,8,0,10,144,184,330,587,601,1186,67454,69388,136842,1091,1095,2184,69130,71083,140210,0,0,0,0,0,0,0,0,0,0,0,0,60,44,104,4982,6192,11174,211,253,468,5248,6490,11743,638,646,1286,72437,75585,148015,1300,1349,2651,74382,77570,151949
