SA3_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
50101,..,117,104,82,38,33,381,..,..,..,5,6,11,22,..,..,..,..,..,0,0,..,117,104,87,48,48,399,..,7317,2764,2913,1082,287,14369,..,..,..,129,195,178,506,..,..,..,..,..,20,20,..,7317,2764,3041,1276,496,14901
50102,..,381,290,271,144,111,1197,..,..,..,18,24,70,112,..,..,..,..,..,5,5,..,381,290,287,171,182,1312,..,13259,5293,5253,2159,735,26697,..,..,..,315,266,363,949,..,..,..,..,..,41,41,..,13259,5293,5567,2433,1140,27686
50103,..,72,57,52,23,18,227,..,..,..,7,3,3,20,..,..,..,..,..,0,0,..,72,57,58,27,29,242,..,3543,946,913,422,144,5973,..,..,..,50,57,64,167,..,..,..,..,..,0,0,..,3543,946,961,480,207,6145
50201,..,363,269,219,157,88,1102,..,..,..,25,29,43,98,..,..,..,..,..,0,0,..,363,269,246,182,135,1197,..,14886,5254,4811,1867,692,27506,..,..,..,320,320,460,1100,..,..,..,..,..,37,37,..,14886,5254,5131,2189,1183,28638
50301,..,37,27,23,17,3,105,..,..,..,5,0,6,6,..,..,..,..,..,0,0,..,37,27,28,17,10,116,..,7759,3401,4385,1971,396,17914,..,..,..,132,111,164,409,..,..,..,..,..,13,13,..,7759,3401,4521,2085,571,18333
50302,..,181,53,47,16,5,300,..,..,..,0,0,0,3,..,..,..,..,..,0,0,..,181,53,47,12,9,310,..,14399,5379,4870,1374,228,26254,..,..,..,129,119,130,382,..,..,..,..,..,15,15,..,14399,5379,5003,1487,375,26648
50401,..,169,135,101,48,43,496,..,..,..,13,0,14,28,..,..,..,..,..,5,5,..,169,135,110,49,57,522,..,10356,5081,4351,1265,431,21478,..,..,..,267,213,277,755,..,..,..,..,..,31,31,..,10356,5081,4618,1477,732,22263
50402,..,129,102,87,66,46,418,..,..,..,11,11,22,43,..,..,..,..,..,0,0,..,129,102,97,75,66,466,..,5175,2336,2194,901,260,10867,..,..,..,160,187,247,585,..,..,..,..,..,19,19,..,5175,2336,2354,1086,524,11477
50403,..,422,381,378,194,144,1518,..,..,..,31,39,91,161,..,..,..,..,..,15,15,..,422,381,404,230,256,1698,..,14032,8642,8571,3336,1499,36082,..,..,..,479,622,1079,2176,..,..,..,..,..,168,168,..,14032,8642,9048,3960,2748,38433
50501,..,165,162,131,68,33,556,..,..,..,12,12,14,32,..,..,..,..,..,7,7,..,165,162,133,74,46,592,..,19101,9571,11077,3741,852,44343,..,..,..,560,491,579,1628,..,..,..,..,..,43,43,..,19101,9571,11637,4239,1475,46016
