SA3_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
50101,0,152,254,412,17,18,31,322,334,651,1711,1410,3121,2041,1761,3800,199,216,414,6036,6493,12530,1752,1449,3200,7988,8154,16143
50102,4,316,445,760,150,53,204,1074,693,1774,2818,2234,5049,4040,2981,7025,783,712,1493,11800,12143,23944,2864,2288,5154,15452,15142,30594
50103,0,56,74,135,11,6,14,134,134,272,858,749,1614,1007,890,1905,96,126,222,2030,2156,4185,881,772,1659,3010,3063,6064
50201,7,317,507,816,45,38,81,780,883,1665,2852,2219,5070,3670,3141,6815,606,655,1268,10560,12051,22617,2899,2281,5177,14070,14990,29061
50301,0,205,283,484,5,3,7,240,288,523,1157,1094,2251,1396,1379,2776,131,158,286,11142,11330,22472,1181,1117,2297,12451,12605,25056
50302,4,549,765,1315,18,6,23,440,429,873,3198,2380,5583,3661,2816,6473,152,162,316,12721,14070,26790,3221,2403,5624,16090,16641,32725
50401,3,385,471,857,19,26,43,367,353,719,1770,1405,3179,2158,1785,3944,275,246,518,9389,9642,19031,1796,1424,3217,11460,11305,22771
50402,0,129,226,353,608,18,624,1479,229,1704,991,733,1723,3079,972,4053,830,230,1064,5809,4802,10611,1009,753,1766,7652,5787,13440
50403,0,639,910,1541,68,199,265,708,957,1662,3150,2349,5503,3923,3501,7422,968,1135,2098,18604,19510,38121,3202,2404,5610,22774,23055,45831
50501,5,544,758,1305,11,4,20,487,567,1055,2354,1625,3979,2856,2201,5058,267,279,548,20513,21008,41514,2413,1689,4102,23196,22972,46168
50502,14,869,1241,2118,35,35,72,901,1046,1945,4368,3764,8138,5313,4848,10158,411,407,817,24189,25985,50174,4439,3835,8277,29040,30228,59272
50503,7,873,1306,2177,46,49,98,1043,1151,2191,4050,2912,6963,5146,4107,9257,807,864,1675,27519,29324,56847,4126,2984,7114,32463,33176,65637
50601,4,391,604,999,47,39,86,504,527,1034,2143,1746,3889,2697,2312,5014,541,592,1136,11903,12679,24587,2172,1761,3939,14626,15041,29664
50602,3,433,488,924,45,31,76,432,459,886,2225,1695,3920,2702,2182,4878,295,296,591,8418,9071,17488,2241,1717,3958,10954,11079,22038
50603,0,533,634,1168,22,32,51,604,841,1442,1719,1378,3093,2344,2249,4591,239,292,534,14645,14876,29522,1752,1404,3156,16637,16577,33211
50604,4,639,768,1406,380,136,513,1438,930,2371,2527,2124,4646,4342,3187,7535,869,666,1534,17172,17462,34628,2577,2165,4742,20621,20292,40907
50605,5,204,266,470,27,30,59,259,278,541,1096,831,1931,1387,1136,2521,291,296,585,6934,7262,14196,1122,850,1971,8347,8413,16762
50606,0,122,172,291,61,0,65,414,133,548,686,489,1174,1163,631,1796,242,184,422,4341,4314,8658,710,498,1209,5287,5001,10292
50607,0,157,200,360,16,10,32,229,305,536,814,772,1582,1058,1087,2148,180,133,314,5678,5495,11173,824,786,1610,6681,6418,13093
50701,0,424,568,996,28,26,57,448,465,911,2273,1736,4012,2744,2226,4971,433,426,859,13767,15045,28810,2297,1767,4066,16499,17244,33741
50702,0,136,190,324,15,4,17,201,250,455,1068,846,1912,1284,1105,2388,113,123,233,4102,4861,8962,1077,854,1934,5295,5837,11131
50703,3,211,293,509,508,12,523,922,202,1128,1077,815,1889,2511,1029,3543,806,292,1096,6258,5871,12123,1094,836,1924,8160,6993,15150
50704,0,308,466,770,15,35,50,382,450,835,1518,1261,2780,1919,1754,3668,176,203,377,13680,14412,28094,1547,1294,2835,15404,15906,31307
50705,5,522,735,1262,47,40,89,674,813,1489,3870,2550,6423,4590,3402,7995,746,787,1531,16402,17811,34212,3921,2598,6523,21066,21196,42267
50901,4,180,239,426,204,87,290,713,447,1165,1836,1614,3453,2755,2152,4902,557,476,1032,6228,6427,12649,1896,1666,3560,8674,8567,17240
50902,0,107,169,277,57,52,112,729,378,1104,2863,2273,5140,3658,2707,6358,485,475,962,4792,4835,9629,2927,2336,5268,8207,7643,15853
