SA3_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
50101,24,24,52,1979,3323,5300,17,28,48,2016,3378,5398,57,61,113,1741,2254,3993,16,12,30,1809,2328,4140,15,9,19,934,991,1925,9,6,16,952,1010,1961,0,5,7,172,253,427,6,4,10,181,260,442,18,16,32,1095,882,1976,17,16,28,1125,910,2036,19,10,23,1377,811,2186,15,8,26,1413,828,2238,0,8,10,236,204,436,3,3,7,240,208,445,11,12,19,456,487,944,10,3,10,474,496,972,47,70,122,1821,2866,4688,16,20,39,1884,2961,4852,6,3,6,276,252,532,4,3,8,287,254,545,43,46,88,1699,2236,3938,8,8,17,1752,2288,4040,341,303,643,16667,16599,33271,91,105,194,17101,17010,34105,48,37,83,987,1009,1996,1747,1448,3197,2782,2490,5272,530,497,1030,25647,27131,52780,1905,1627,3529,28080,29249,57332,358,329,689,17607,17681,35288,97,105,199,18060,18109,36172,85,86,168,4965,5749,10712,36,44,83,5089,5877,10967,22,29,53,1440,1845,3291,12,17
50102,74,145,215,3969,6785,10755,30,63,98,4070,6993,11066,200,270,470,3795,4898,8695,12,27,39,4004,5192,9200,30,46,69,1593,1747,3338,13,15,21,1632,1806,3432,6,10,17,315,444,756,6,17,24,332,467,792,108,137,246,2982,2390,5372,25,24,46,3120,2553,5669,58,47,113,2527,1542,4071,15,17,34,2601,1610,4215,15,16,31,471,399,871,8,6,12,491,421,909,23,33,55,1057,1047,2103,9,8,20,1086,1090,2177,184,263,441,3862,6254,10112,24,19,45,4062,6537,10604,10,13,26,530,466,996,7,3,11,549,487,1036,134,136,268,3494,4572,8069,29,28,51,3653,4742,8394,1061,1046,2109,29663,28666,58332,134,151,286,30862,29861,60723,208,138,348,2551,2044,4592,2883,2287,5167,5638,4468,10105,1838,1848,3689,48327,49863,98185,3116,2567,5680,53276,54279,107549,1136,1106,2241,31506,30652,62155,148,161,309,32793,31912,64703,365,382,746,9795,11268,21057,50,66,117,10209,11712,21919,75,137,216,2953,3938,6891,24,28
50103,28,28,55,1002,1657,2665,8,17,21,1040,1703,2739,26,36,69,684,1019,1705,10,10,15,720,1066,1789,0,9,10,429,437,862,6,3,10,433,449,888,0,3,3,65,111,177,3,0,3,63,117,180,20,11,34,654,505,1154,14,10,19,687,521,1211,16,8,30,670,397,1069,11,3,16,701,409,1107,5,0,12,94,83,173,0,0,0,96,88,185,6,11,17,260,234,498,0,4,6,264,250,512,38,51,90,863,1306,2167,8,12,20,907,1374,2283,0,3,4,144,114,258,6,0,6,151,120,268,23,25,49,854,969,1824,7,3,10,890,1000,1887,185,176,360,6496,6180,12675,48,54,108,6736,6411,13139,13,15,29,381,362,740,881,762,1643,1271,1144,2414,306,301,611,10630,10787,21419,977,857,1830,11911,11949,23863,201,186,383,6941,6586,13529,55,54,107,7198,6827,14017,65,74,140,2244,2476,4719,29,24,53,2340,2575,4910,18,22,40,720,910,1630,9,10
50201,66,120,188,4696,7951,12642,44,71,117,4806,8144,12953,158,243,406,3472,5041,8504,19,38,57,3649,5313,8965,32,36,67,2265,2067,4331,23,27,49,2316,2130,4440,0,7,11,358,454,810,8,12,19,370,469,837,90,96,183,3398,2645,6043,35,29,55,3518,2764,6281,52,42,91,3617,2108,5728,30,24,56,3697,2172,5872,13,13,27,637,582,1222,0,3,6,650,601,1253,22,34,53,1373,1482,2853,9,19,23,1404,1539,2935,163,268,435,3939,6215,10158,17,36,49,4122,6517,10636,15,18,27,766,636,1402,10,7,17,782,663,1444,160,150,300,3780,5053,8836,23,37,62,3961,5237,9198,900,894,1790,27638,28381,56019,139,126,266,28676,29400,58075,116,113,220,2166,2301,4467,2928,2249,5176,5205,4664,9868,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641,980,951,1933,29438,30495,59934,149,136,286,30569,31585,62149,292,328,617,10058,11864,21927,59,82,140,10408,12277,22687,79,122,206,3524,4478,8006,33,44
50301,3,14,19,1701,3132,4835,5,26,29,1718,3169,4885,22,29,53,2140,2371,4515,6,13,14,2173,2413,4580,4,0,6,1239,1320,2558,7,12,18,1247,1340,2585,0,4,4,223,304,528,0,0,0,223,310,535,3,11,12,1062,701,1761,7,7,9,1070,710,1780,3,8,6,1793,987,2783,9,5,19,1804,1004,2809,0,6,8,213,176,384,5,4,6,222,175,399,0,3,8,352,462,813,9,5,13,358,469,824,26,41,62,1869,2804,4671,11,8,15,1904,2851,4752,0,3,3,297,229,532,3,3,8,302,238,542,18,23,40,2206,2826,5028,4,14,23,2226,2860,5089,148,173,318,23064,23438,46495,58,62,125,23272,23667,46936,11,8,19,1080,1129,2211,1179,1102,2285,2270,2240,4504,215,261,479,33413,35348,68763,1278,1218,2495,34905,36829,71735,155,176,331,24399,25004,49405,64,69,133,24615,25253,49868,37,51,91,5864,6824,12686,13,27,46,5914,6905,12822,11,13,30,1448,1759,3204,6,10
50302,16,30,44,2177,3828,6002,17,24,42,2211,3882,6088,47,79,121,3455,3811,7265,6,7,17,3507,3902,7410,3,12,18,1254,1412,2661,4,10,10,1266,1427,2694,0,5,4,337,584,915,17,5,16,353,590,941,25,26,51,1662,1294,2959,10,8,18,1692,1332,3028,18,12,27,1873,1098,2969,17,7,21,1901,1120,3018,4,7,12,327,246,573,0,0,0,330,256,586,9,12,19,538,599,1133,3,3,10,545,614,1157,67,105,177,3990,5805,9796,16,18,34,4077,5932,10002,0,4,3,406,284,694,3,0,6,414,288,699,33,51,84,3298,4368,7667,9,8,19,3341,4424,7765,267,246,510,36106,34938,71043,69,56,129,36441,35241,71685,47,12,61,1526,1458,2984,3232,2421,5659,4806,3890,8700,461,474,937,51284,52397,103684,3370,2538,5908,55115,55410,110530,275,265,541,38036,37179,75210,71,63,133,38382,37502,75888,100,127,235,8790,10038,18833,44,33,75,8938,10200,19145,24,41,68,2048,2692,4738,7,16
50401,18,47,69,2218,4122,6342,5,19,31,2253,4190,6442,71,122,198,2767,3478,6247,3,11,21,2844,3614,6465,6,9,13,1087,1251,2337,0,6,5,1088,1270,2360,3,7,13,257,436,692,7,5,9,263,445,709,31,48,79,2102,1799,3907,10,7,20,2144,1858,4002,11,31,43,1886,1240,3122,8,9,21,1908,1286,3193,3,9,12,388,309,697,0,0,0,389,326,714,8,14,26,687,702,1390,4,7,10,702,727,1430,91,139,228,2945,4655,7601,8,12,20,3044,4802,7843,6,10,16,406,331,735,3,6,6,412,344,753,68,67,141,2890,3929,6815,13,9,21,2971,4004,6976,453,412,867,25831,24626,50461,71,60,129,26359,25095,51457,46,47,95,1360,1306,2669,1814,1431,3246,3221,2791,6009,733,740,1472,39129,40380,79511,1929,1553,3483,41790,42676,84462,493,439,925,27489,26502,53991,81,62,140,28057,27005,55064,147,154,296,7310,8639,15944,29,29,57,7484,8821,16302,33,66,105,1992,2660,4653,8,23
50402,23,41,58,1421,2437,3857,7,18,26,1450,2490,3938,51,86,140,1469,1897,3366,4,11,22,1530,1992,3525,8,23,30,670,761,1429,3,7,11,683,789,1470,0,0,4,131,159,284,3,3,3,136,161,297,35,31,69,1051,835,1886,5,5,7,1094,875,1961,18,19,36,1082,631,1712,3,10,12,1110,664,1764,10,11,20,151,171,326,3,0,3,163,185,349,9,12,19,415,420,832,0,0,7,429,430,854,48,71,117,1522,2296,3818,3,8,11,1573,2379,3950,8,9,15,212,181,396,0,0,0,224,185,412,45,40,93,1549,2027,3578,10,16,22,1604,2086,3683,405,348,746,11873,11427,23300,55,55,111,12328,11830,24161,637,41,678,2009,713,2722,1019,744,1758,3662,1497,5159,1207,592,1802,20325,19720,40043,1103,839,1948,22643,21152,43792,431,362,795,12697,12370,25071,59,61,120,13184,12793,25982,103,124,230,3916,4488,8406,15,24,45,4036,4637,8674,26,39,72,1150,1480,2622,4,11
50403,72,138,210,3438,6029,9468,19,45,67,3531,6212,9745,246,326,571,4778,6358,11141,11,20,34,5042,6706,11742,22,24,50,1414,1728,3142,9,9,24,1448,1763,3213,5,10,13,289,431,719,4,6,12,301,443,745,135,134,266,3714,3044,6758,14,27,38,3867,3200,7068,79,77,153,2647,1680,4319,17,12,34,2739,1767,4508,27,28,52,539,484,1022,6,5,7,565,516,1086,26,33,63,1012,1000,2014,11,8,14,1048,1041,2094,203,311,516,4558,7527,12081,15,17,36,4775,7860,12633,18,27,44,561,432,998,4,5,10,588,462,1052,212,189,397,4598,5790,10385,17,14,34,4828,5991,10820,1509,1467,2977,46039,44247,90287,156,132,290,47703,45849,93556,175,282,456,2700,2731,5433,3221,2431,5656,6098,5447,11545,2392,2542,4939,67818,69449,137271,3457,2654,6111,73672,74650,148324,1631,1550,3179,48723,47059,95782,167,140,302,50520,48744,99259,426,468,897,12006,13425,25429,45,48,96,12481,13934,26417,115,152,267,2961,4286,7251,10,21
50501,40,44,79,4750,8190,12942,25,38,65,4813,8267,13079,90,80,173,5303,6472,11777,18,20,32,5411,6575,11979,8,13,16,2366,2628,5000,10,19,22,2384,2660,5040,3,5,6,395,595,992,0,4,7,404,601,1003,29,36,66,3452,2570,6023,12,12,26,3498,2623,6118,30,12,43,3853,2119,5976,25,12,37,3907,2147,6058,3,6,9,575,435,1015,4,0,5,582,440,1021,16,6,22,1019,1169,2186,10,4,16,1034,1181,2221,88,93,178,4732,7415,12150,18,24,47,4844,7526,12366,3,3,7,677,529,1204,5,7,11,686,536,1219,53,48,99,5232,7018,12248,18,31,48,5303,7100,12398,421,427,852,50810,49155,99970,131,133,269,51365,49720,101086,47,40,92,2735,2845,5581,2401,1676,4075,5181,4561,9749,706,682,1384,76182,78542,154724,2619,1915,4536,79502,81136,160641,447,449,898,53879,52829,106707,137,152,289,54466,53425,107892,154,129,279,14275,16286,30565,51,59,107,14476,16477,30951,32,38,71,3746,4680,8427,13,17
