SA3_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
50101,20,44,44,579,763,761,1487,1477,1477,1733,1733,1733,350,360,360,0.9,0.7,0.7,3.2,2.4,2.5,6.4,1.4,1.6
50102,22,42,41,538,752,745,1559,1550,1550,1560,1625,1616,295,300,300,0.9,0.7,0.7,3.2,2.4,2.5,6.5,1.3,1.5
50103,23,49,49,551,658,655,1305,1233,1236,1300,1391,1387,260,250,250,0.9,0.7,0.7,3,2.3,2.3,6.7,1.5,1.7
50201,20,46,45,513,633,630,1432,1280,1286,1733,1733,1733,315,300,300,0.9,0.7,0.7,3.3,2.4,2.4,6.6,1.1,1.3
50301,20,42,42,413,1127,1122,2083,2798,2790,3364,3293,3293,400,455,450,1,0.8,0.8,2.9,2.6,2.6,4.1,1.3,1.3
50302,30,36,36,935,1156,1155,1864,2095,2093,2250,2167,2167,383,390,390,1,0.9,0.9,2.1,2.1,2.1,4.4,2.7,2.7
50401,24,39,39,605,872,868,1564,1741,1737,1900,1854,1855,302,340,340,1,0.8,0.8,2.9,2.3,2.3,8.3,1.9,2
50402,28,44,43,606,811,806,1812,1839,1838,2050,1950,1950,305,330,330,1,0.7,0.7,3.4,2.6,2.6,6.1,1.3,1.4
50403,22,35,35,662,848,844,1751,1862,1858,1950,1842,1842,320,340,340,0.9,0.8,0.8,3.3,2.8,2.8,8,2.1,2.3
50501,23,41,41,814,908,907,2302,2164,2166,2020,2080,2080,400,400,400,0.9,0.7,0.7,3.2,2.7,2.7,4.5,0.7,0.7
50502,27,38,38,632,907,904,1436,1789,1784,1950,1950,1950,300,350,350,0.9,0.8,0.8,2.6,2.4,2.4,6.7,2,2.1
50503,19,35,35,557,821,816,1685,1897,1892,1885,1898,1898,333,359,350,0.9,0.8,0.8,3.5,2.8,2.8,7.9,1.9,2
50601,21,35,35,565,822,815,1531,1782,1774,1733,1755,1750,300,310,305,1,0.8,0.8,3.4,2.7,2.8,8.6,1.9,2.2
50602,27,36,36,626,954,948,1534,1765,1758,1972,1842,1842,318,350,350,0.9,0.8,0.8,2.6,2.2,2.3,6.8,2.7,2.8
50603,23,36,36,480,763,760,1362,1807,1800,1692,1828,1820,330,350,350,0.9,0.8,0.8,3,2.7,2.7,8.1,2.6,2.7
50604,25,36,36,528,731,727,1447,1662,1656,1733,1733,1733,300,330,330,0.9,0.8,0.8,3.3,2.8,2.8,8,3,3.2
50605,21,41,40,661,838,835,1903,1865,1866,1950,1907,1907,370,370,370,0.9,0.7,0.7,3.3,2.6,2.6,6,1.3,1.4
50606,18,34,34,902,909,909,2187,2092,2096,2000,1959,1971,400,375,380,0.9,0.8,0.8,3.6,3,3,2.9,1.4,1.5
50607,21,39,39,504,1016,1009,1608,2010,2004,2167,2200,2200,300,360,360,0.9,0.8,0.8,2.7,2.2,2.2,7.2,1.2,1.3
50701,22,37,36,645,924,919,1712,1994,1988,1922,1950,1950,350,370,370,0.9,0.7,0.8,3.2,2.6,2.6,8.1,1.4,1.6
50702,27,43,43,518,996,988,1439,1964,1955,2167,2167,2167,288,380,379,1,0.8,0.8,2.7,2.2,2.3,8.6,1.6,1.8
50703,25,34,33,540,819,812,1484,1727,1716,1582,1733,1724,300,320,315,0.9,0.8,0.8,3.2,2.7,2.7,8.5,2.2,2.5
50704,24,42,42,577,912,909,1875,2106,2104,2340,2197,2200,330,400,400,0.9,0.7,0.7,2.9,2.6,2.6,6.4,0.9,1
50705,20,37,36,677,789,786,1793,1722,1724,1733,1733,1733,330,330,330,0.9,0.7,0.7,3.4,2.6,2.6,4.2,1.1,1.2
50901,26,46,45,463,718,709,1180,1329,1323,1434,1491,1490,240,280,280,1,0.7,0.7,3.1,2.3,2.4,7.7,1.6,1.8
50902,25,48,47,474,724,709,1251,1354,1349,1300,1430,1425,210,240,231,1,0.7,0.7,3.1,2.3,2.3,8.7,1.5,1.9
50903,27,46,46,446,791,774,987,1397,1372,1070,1105,1105,215,200,200,0.9,0.7,0.7,2.8,2.3,2.3,4.2,1.2,1.4
51001,26,37,33,361,1292,864,1022,2247,1762,2061,2167,2167,121,304,200,1.2,0.9,1,3.4,2.4,2.8,21.1,3.5,10.6
