SA3_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
50101,0,3,5,9,0,0,0,3,0,5,0,0,0,3,0,5,50,42,96,1772,1890,3669,320,336,661,2149,2274,4422,50,47,97,1871,1983,3860,324,340,667,2249,2375,4619,487,453,936,23905,25094,48993,144,177,328,24535,25723,50256,25,24,44,0,7,5,0,0,0,24,28,47,8,4,11,1483,1776,3260,11,10,21,1505,1787,3289,0,0,0,0,0,0,0,0,0,0,0,0,20,24,41,0,7,5,0,0,0,20,28,47,7,5,12,231,357,579,3,6,7,234,363,595,157,155,308,9091,11217,20307,68,86,161,9319,11459,20772,0,0,0,87,77,159,0,0,0,84,81,163,0,0,0,121,99,230,0,0,3,129,107,229,0,0,0,23,10,31,0,0,0,24,10,32,3,10,9,0,0,0,0,0,0,3,10,9,0,0,0,104,119,226,0,0,0,105,123,227,0,9,10,104,119,226,0,0,0,110,126,239,344,315,659,15116
50102,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,82,94,178,1867,1395,3273,335,195,529,2292,1690,3979,86,99,186,2001,1524,3525,342,200,542,2429,1817,4255,1586,1686,3270,43823,45180,89003,228,260,483,45637,47124,92765,65,88,146,4,9,21,0,0,0,68,96,168,29,26,53,3634,4194,7835,19,22,42,3687,4246,7938,4,0,7,0,0,0,0,0,0,4,0,7,60,83,140,4,9,21,0,0,0,62,94,158,7,8,14,250,489,736,0,5,4,253,498,758,498,581,1073,20042,23768,43813,123,172,296,20663,24519,45187,0,0,0,244,222,469,0,0,0,244,220,465,4,3,7,344,342,685,0,0,0,353,345,694,0,0,0,13,29,39,0,0,0,15,29,40,5,4,10,0,4,4,0,0,0,3,9,9,7,19,21,224,284,507,0,5,5,226,302,531,8,18,30,225,287,511,0,5,5,235,313,544,1148,1159,2311,25273
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,36,758,571,1328,122,68,192,898,656,1553,22,17,37,796,609,1402,122,70,189,936,691,1627,289,285,574,10014,10126,20136,104,94,198,10397,10500,20901,12,12,29,0,7,3,0,0,0,14,15,32,0,4,4,531,572,1107,3,3,4,536,579,1114,0,0,0,0,0,0,0,0,0,0,0,0,11,12,26,0,3,3,0,0,0,11,15,30,3,0,5,51,106,163,0,5,5,51,113,167,86,88,172,4185,4823,9009,34,41,79,4309,4952,9259,0,0,0,17,10,24,0,0,0,17,10,24,0,0,0,72,53,128,0,0,0,72,53,128,0,0,0,7,4,9,0,0,0,7,4,9,0,0,0,0,0,0,0,0,0,0,6,6,0,9,9,38,70,110,3,6,5,40,77,121,0,3,3,38,69,112,3,6,5,40,82,122,198,194,394,5865
50201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,61,117,1241,1341,2586,118,136,253,1425,1536,2958,64,65,135,1375,1471,2850,130,154,278,1570,1688,3262,1365,1454,2819,43849,47084,90938,274,289,561,45485,48827,94318,54,72,132,0,5,4,0,0,0,53,77,134,17,9,23,2841,3689,6528,13,15,28,2871,3710,6585,0,0,0,0,0,0,0,0,0,0,0,0,52,75,129,0,5,4,0,0,0,52,80,130,8,5,11,305,639,943,0,7,12,318,653,969,436,487,929,20325,25072,45389,140,173,313,20897,25730,46632,4,0,6,252,273,525,0,0,0,254,275,529,3,0,3,176,210,389,3,0,3,184,212,393,0,0,0,26,19,46,0,0,0,26,19,46,0,3,3,0,0,0,0,0,0,0,3,3,7,13,19,241,348,591,6,4,7,251,362,615,11,13,24,241,348,591,6,4,7,251,368,615,980,1036,2014,24440
50301,0,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,51,67,120,1158,1321,2478,294,343,641,1505,1728,3234,57,67,123,1202,1381,2586,299,343,641,1559,1793,3352,190,235,427,28500,29445,57945,92,108,200,28781,29787,58567,18,13,34,0,0,0,0,0,0,17,13,37,5,0,9,4705,5623,10329,12,11,27,4720,5642,10362,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,0,0,0,0,0,0,17,15,29,0,0,0,507,707,1216,0,0,0,508,710,1220,78,97,174,14757,17783,32542,65,82,144,14901,17961,32862,0,0,0,442,459,896,0,0,0,441,454,899,0,0,0,365,392,754,0,0,0,365,395,757,0,0,0,180,152,328,0,0,0,180,152,328,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,214,196,402,0,0,0,213,197,407,4,0,4,214,196,402,0,0,0,216,197,411,114,150,266,16004
50302,18,28,25,54,0,0,0,4,3,11,0,0,6,3,6,11,179,187,367,2612,2162,4773,1175,711,1889,3965,3063,7029,183,189,368,2713,2258,4974,1191,731,1923,4085,3177,7266,389,418,808,38701,37783,76487,100,92,194,39188,38295,77482,26,25,57,0,5,11,0,0,0,34,30,64,21,15,36,12114,14125,26242,23,26,57,12162,14164,26328,0,0,0,0,0,0,0,0,0,0,0,0,26,25,57,0,3,5,0,0,0,34,26,61,4,4,6,1890,2491,4383,0,0,0,1899,2493,4390,145,180,315,17751,20914,38660,69,74,138,17954,21159,39117,0,0,0,1488,1447,2939,0,0,0,1494,1449,2942,3,0,5,984,860,1845,3,0,3,993,863,1855,0,0,5,286,308,594,0,0,0,288,316,600,0,4,4,0,0,0,0,0,0,0,4,9,0,5,6,345,395,743,0,0,0,350,399,750,3,8,10,345,398,741,0,0,0,348,405,753,285,275,554,27053
50401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,38,96,803,746,1542,62,42,99,921,821,1744,60,42,102,851,801,1655,62,38,101,975,878,1856,671,656,1323,29045,29065,58109,108,99,196,29819,29820,59632,28,39,64,0,0,3,0,0,0,26,41,71,16,20,34,9757,10963,20722,18,30,45,9789,11012,20801,0,0,0,0,0,0,0,0,0,0,0,0,28,42,62,0,0,3,0,0,0,26,42,66,0,0,4,1244,1717,2966,4,4,6,1252,1727,2971,238,283,528,16357,18854,35214,59,84,144,16663,19220,35883,0,0,0,999,874,1874,0,4,5,1001,876,1882,0,3,7,1240,1101,2344,7,7,8,1247,1112,2362,0,0,0,255,278,531,0,6,6,255,277,533,0,5,5,0,0,0,0,0,0,0,5,4,6,6,9,432,448,880,0,0,4,431,454,887,6,7,12,432,448,880,4,0,4,435,454,893,457,421,883,17564
50402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,32,385,473,859,23,37,58,427,525,951,22,18,37,424,503,925,25,40,62,466,558,1025,552,519,1076,17635,17952,35592,90,100,186,18280,18576,36855,33,47,79,0,0,0,0,0,0,33,47,79,14,5,17,1279,1580,2857,0,3,6,1294,1587,2885,0,0,0,0,0,0,0,0,0,0,0,0,32,47,77,0,0,0,0,0,0,32,47,77,9,7,12,130,258,384,0,0,0,141,260,399,191,215,406,7555,8858,16417,53,54,107,7801,9128,16928,0,0,5,70,84,151,0,0,0,73,83,152,0,0,0,56,66,119,0,0,0,57,66,122,0,0,0,17,34,46,0,0,0,22,34,50,3,7,4,0,0,0,0,0,0,3,7,4,0,0,0,107,133,238,0,0,0,108,130,237,5,7,12,107,133,238,0,0,0,108,138,248,386,340,728,10527
50403,0,0,3,6,0,0,0,4,3,5,0,0,0,4,3,5,292,280,574,1572,1439,3009,157,129,284,2021,1853,3875,298,288,582,1675,1538,3212,163,131,297,2137,1953,4094,2137,2194,4333,50618,50575,101190,227,197,424,52984,52964,105946,115,129,239,0,9,11,0,0,0,118,139,248,46,23,67,16467,17917,34383,34,41,72,16542,17981,34526,3,0,3,0,0,0,0,0,0,3,0,3,104,129,229,0,9,11,0,0,0,109,139,239,9,9,17,1547,2116,3669,7,3,3,1561,2128,3685,725,859,1584,27878,31546,59430,125,134,260,28731,32543,61274,0,0,0,2378,2265,4646,4,3,6,2383,2265,4650,14,11,19,3063,2952,6018,14,12,21,3082,2976,6058,0,0,0,74,82,157,0,0,0,74,82,157,6,3,5,0,0,0,0,0,0,6,3,5,3,9,12,1615,1632,3249,6,6,5,1616,1648,3264,11,10,17,1615,1632,3249,6,6,5,1621,1648,3271,1554,1464,3018,29279
50501,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,50,35,91,1410,1416,2824,221,234,457,1682,1694,3376,50,44,90,1487,1501,2986,221,234,459,1763,1780,3540,661,629,1294,67962,68686,136648,226,222,446,68849,69538,138390,16,24,40,3,4,6,0,0,0,15,29,50,9,11,23,7767,9378,17147,18,46,65,7797,9432,17236,0,0,0,0,0,0,0,0,0,0,0,0,12,24,37,3,4,6,0,0,0,17,29,41,0,6,4,652,1027,1676,5,13,12,650,1043,1692,228,231,459,34423,40414,74836,111,172,282,34758,40822,75580,0,0,0,733,676,1404,0,0,5,738,676,1415,4,0,4,680,739,1424,0,0,0,685,742,1432,0,0,0,94,117,203,0,0,0,94,118,209,4,0,4,0,0,0,0,0,0,4,0,0,0,7,6,318,429,746,0,0,0,327,432,753,4,7,8,318,426,748,0,0,0,327,432,756,438,411,851,37400
