SA3_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
50101,118,10434,51,10602,36,2246,9,2292,84,5139,29,5250,23,783,10,817,12,555,5,570,0,75,0,78,9,392,1490,1891,288,19630,1588,21504,140,12506,63,12706,42,2234,21,2296,80,4950,32,5060,18,687,9,717,6,484,10,495,3,49,0,51,9,464,1162,1632,301,21376,1290,22966,263,22940,114,23310,72,4484,31,4584,161,10087,57,10312,42,1473,19,1535,16,1033,12,1070,4,129,0,131,25,853,2649,3527,589,41001,2886,44470
50102,296,15525,54,15872,154,4736,19,4906,443,12273,66,12784,96,2166,17,2278,42,1301,21,1362,16,144,0,162,39,819,2479,3338,1087,36957,2658,40702,371,19357,72,19797,208,4831,21,5063,391,11088,52,11534,96,1694,19,1811,33,1225,34,1292,7,116,0,126,43,840,1928,2813,1149,39149,2135,42431,671,34883,129,35672,362,9564,42,9970,834,23360,124,24317,192,3862,34,4085,75,2526,52,2652,20,261,3,282,83,1657,4408,6149,2229,76112,4794,83134
50103,60,3567,20,3649,28,986,9,1024,81,2821,28,2930,15,567,8,585,3,355,11,367,0,54,0,57,11,194,739,946,200,8549,818,9566,68,4463,28,4560,32,1081,10,1122,66,2317,17,2397,0,401,0,410,4,288,10,302,0,35,0,37,7,194,651,859,179,8786,720,9681,128,8029,48,8211,63,2071,20,2148,144,5137,42,5326,20,968,9,996,13,640,14,671,0,95,0,98,21,387,1393,1803,382,17333,1539,19246
50201,264,16376,76,16712,136,4455,27,4617,276,11574,69,11917,82,2383,28,2496,36,1467,25,1529,16,128,0,141,27,979,2529,3538,841,37363,2750,40945,330,19562,82,19975,119,5035,26,5182,311,12101,71,12487,68,2240,16,2327,30,1392,20,1441,10,107,5,123,30,1274,1879,3182,902,41716,2100,44711,594,35939,156,36688,255,9491,47,9794,591,23671,144,24406,149,4623,47,4816,68,2862,40,2974,25,234,6,262,66,2253,4403,6718,1744,79074,4846,85660
50301,102,22351,69,22514,3,863,9,877,17,1527,3,1550,3,252,0,255,4,163,0,167,9,31,0,40,5,322,1054,1383,141,25504,1137,26783,116,23709,63,23887,11,1001,11,1016,25,2190,13,2227,3,324,3,328,9,213,4,220,0,52,0,55,0,409,980,1391,159,27895,1075,29129,220,46056,129,46404,13,1865,14,1891,40,3718,16,3775,8,575,5,584,6,370,6,384,10,87,0,98,9,732,2036,2776,298,53402,2215,55910
50302,214,34863,60,35137,38,2245,11,2289,66,3585,17,3667,13,585,9,610,12,557,4,574,0,189,5,194,14,705,3032,3749,364,42728,3129,46225,232,35981,59,36275,40,2029,9,2079,66,3803,26,3897,7,546,3,555,6,838,8,849,0,291,0,291,17,737,2224,2975,375,44224,2323,46923,449,70844,115,71409,82,4276,11,4364,136,7388,44,7563,21,1136,12,1169,28,1388,14,1424,3,483,5,489,27,1440,5252,6722,741,86949,5455,93149
50401,203,20886,38,21126,55,2520,8,2579,116,5173,35,5316,29,981,8,1019,29,1034,6,1066,7,268,0,274,12,501,1576,2084,447,31353,1663,33471,233,22294,47,22571,72,2244,13,2325,120,5326,32,5478,27,964,3,994,32,1397,0,1436,10,382,4,385,20,559,1246,1820,514,33161,1340,35016,436,43183,86,43699,127,4762,20,4905,242,10497,62,10798,56,1945,10,2016,65,2430,12,2502,11,647,4,661,28,1058,2816,3907,963,64519,3007,68491
50402,195,8145,30,8376,50,1681,13,1743,581,4636,14,5236,30,635,9,676,40,407,0,452,39,118,0,158,23,489,876,1391,954,16121,952,18028,176,9313,44,9537,55,1578,6,1639,87,3603,19,3708,22,557,8,584,17,394,6,417,4,46,0,49,15,309,631,951,368,15804,705,16884,371,17461,74,17906,102,3265,23,3388,670,8236,40,8946,47,1194,15,1259,56,809,9,870,40,161,0,199,41,803,1506,2343,1328,31924,1660,34915
50403,504,28755,75,29340,192,5267,15,5480,398,11374,43,11816,95,1888,16,1997,61,1371,19,1446,7,489,6,498,54,848,2706,3603,1313,49998,2880,54182,595,32211,76,32880,189,5139,10,5346,538,10588,49,11168,88,1716,12,1816,67,1597,12,1677,23,683,4,703,41,975,1959,2976,1542,52901,2124,56569,1100,60967,148,62219,384,10410,25,10825,931,21965,98,22992,180,3600,24,3814,127,2963,33,3122,28,1170,4,1209,99,1823,4655,6575,2861,102899,4999,110753
50501,209,38430,99,38736,43,5460,15,5518,107,11205,40,11352,28,1500,6,1531,15,749,4,770,0,133,8,148,7,690,2173,2870,421,58172,2343,60929,206,41889,98,42195,51,5236,18,5303,98,11000,50,11160,15,1423,14,1445,14,1015,10,1034,7,178,0,183,11,858,1439,2304,396,61600,1627,63620,415,80318,199,80934,95,10698,32,10822,211,22214,91,22508,40,2918,22,2979,26,1764,17,1807,4,309,10,325,19,1547,3611,5171,813,119767,3978,124554
