SA3_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
50101,6,289,295,8,137,143,17,250,269,12,430,440,24,1201,1222,16,1011,1025,25,1427,1446,34,1283,1314,40,1584,1624,46,1520,1563,28,1075,1107,24,1035,1061,49,2097,2144,28,1388,1417,29,1087,1114,47,2179,2220,52,2020,2073,14,356,369,483,20356,20841
50102,20,565,585,8,230,240,33,476,504,32,1002,1034,77,2587,2662,85,1707,1796,79,2678,2755,95,2386,2482,122,2627,2752,119,2576,2692,101,1978,2086,97,2060,2153,163,4153,4310,110,2700,2808,79,2399,2477,162,4348,4506,161,3264,3430,27,674,703,1575,38405,39978
50103,6,159,164,3,112,112,3,160,161,6,239,242,21,746,768,19,454,472,24,733,760,21,697,719,32,697,729,27,641,667,12,431,441,12,456,468,40,811,853,22,512,527,16,405,416,25,654,682,33,718,747,0,205,208,327,8817,9142
50201,24,788,817,7,293,296,22,584,603,32,1134,1168,67,3119,3187,84,2411,2497,94,3416,3510,99,2905,3007,101,2909,3012,96,2597,2693,78,1795,1874,68,1778,1849,133,3625,3762,82,2189,2273,72,2025,2102,145,4175,4320,164,3726,3892,35,853,884,1418,40319,41734
50301,4,449,458,5,212,210,5,267,275,6,431,435,7,871,876,3,808,816,4,814,816,7,959,966,11,1161,1172,13,1153,1167,8,915,923,8,987,988,14,1967,1982,6,1107,1115,7,1330,1341,50,9884,9931,8,1701,1712,3,267,273,173,25287,25459
50302,16,882,895,9,254,261,16,594,604,23,1073,1098,18,1880,1897,18,1693,1710,24,1700,1726,29,2031,2062,40,2746,2791,41,2909,2946,32,2604,2633,22,2497,2519,72,5431,5512,31,2620,2653,33,3072,3104,114,11808,11924,34,2471,2502,11,455,466,573,46731,47305
50401,13,590,601,11,215,225,28,407,432,23,811,834,35,2046,2080,33,1381,1410,52,1858,1905,33,1914,1946,48,2197,2246,47,2283,2331,46,1787,1834,42,1778,1819,65,3756,3825,49,2303,2354,45,2277,2317,85,5273,5355,55,2047,2103,14,452,465,720,33365,34084
50402,7,205,211,5,72,74,10,211,217,13,288,302,21,858,876,13,543,555,25,805,833,25,781,805,38,930,969,30,962,986,24,656,684,15,756,771,49,1532,1580,42,1075,1120,25,1036,1062,88,2445,2528,72,1400,1474,15,248,259,525,14794,15316
50403,41,712,752,11,264,271,27,451,475,61,820,878,74,1959,2028,71,1566,1638,98,2376,2476,105,2525,2627,155,3355,3514,120,3625,3739,124,3007,3133,110,2956,3064,240,6394,6631,146,4270,4416,119,3298,3411,270,6411,6681,199,4221,4423,47,662,709,2012,48865,50874
50501,7,771,780,0,342,342,9,480,490,9,879,891,19,2330,2351,20,1824,1843,20,2669,2688,21,2723,2740,43,3290,3339,47,3299,3346,31,2706,2735,27,2654,2682,88,5939,6024,67,4475,4538,66,4535,4602,147,12929,13082,64,4541,4603,11,663,669,703,57047,57751
50502,35,1394,1428,13,541,552,34,1170,1208,51,1903,1956,77,4809,4888,52,3374,3428,71,4129,4199,85,4423,4510,83,5319,5400,95,5467,5559,63,4470,4532,41,4220,4263,107,8791,8897,75,5038,5112,71,5102,5176,192,15155,15346,86,4934,5022,39,1097,1140,1281,81328,82612
50503,33,976,1009,9,307,313,29,629,660,32,1167,1196,78,2895,2970,77,2381,2455,99,3455,3555,109,3694,3802,99,4339,4437,117,4785,4905,100,4039,4142,92,3981,4073,200,8536,8730,127,6052,6185,104,5001,5101,214,9795,10012,188,6268,6455,22,985,1014,1739,69283,71023
50601,26,441,472,5,145,147,22,318,344,21,598,624,52,1476,1528,66,1166,1225,78,1621,1702,69,1764,1831,100,2194,2296,79,2316,2390,64,1956,2023,61,1923,1985,141,3864,4003,92,2562,2653,56,2231,2288,118,3906,4026,111,2435,2550,25,452,480,1182,31370,32549
